,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Restructuring and Reorganization Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Income,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.00934402188967001,-0.004112345502133786,-0.012121117145447113,-0.0890588090624505,-0.08954843620834145,-0.007990651277561659,-0.007933852869648862,-0.001956494325947835,-0.010074558954460931,0.0009487605356853297,-0.13933985745430794,-0.13933985745430794,-0.11050969698618669,-0.1028000160118285,-0.1385223292205705,-0.13925284476066588,-0.12040417470267638,-0.07666733687299795,-0.11672956547840002,-0.11672956547840002,-0.11430984419754617,-0.11527731307447045,-0.03901370014531025,-0.11043823417521174,-0.11090280239791911,-0.1107951877105466,-0.1107951877105466,-0.10973529688009377,-0.1026226583236144,-0.10117299676886508,-0.03632956511325777,-0.036165222862455104,-0.01137668682809547,-0.09260954698000026,-0.11050969698618669,-0.15027496421698328,-0.12241951038794655,-0.1224909731989215,-0.08329138034001567,-0.08914194645929989,-0.08285915950795832,-0.08761304556281521,-1.950564984537842e-05,-0.0022365163977607606,-0.0017193476908192607,-0.04158683119086959,-0.041849070230088964,-0.11082151689215906,-0.1017390650594783
Revenue per Share,0.1441839066407471,0.37764192951336784,0.3475851845753671,0.14323700331001976,0.02171339442188598,0.16693217816237665,0.14974773757371884,0.08821188002817984,0.08220983094354611,0.11084836469917525,-0.015378945034113231,-0.0020113391604227654,0.05250661178504024,0.00985816488173674,0.07129878161381797,0.07721237835608517,-0.024600891522168086,0.13184663877561667,0.05560549419612139,-0.014834542912193896,0.04950480198167838,0.022634420342431967,0.07362171298886772,0.006029304408654858,0.008457209350712293,0.008658611070044108,0.009421787101553386,0.052730369598506195,0.05622905072288558,0.04124837717860203,0.05780217783130816,0.1011292301357221,0.3433974226303505,0.036219301174138185,0.05923684754947527,0.052334129791398794,-0.0021637377039077097,0.07508321583649971,0.03521851206513051,0.05670866594028935,0.03484583792258966,0.04571752053972211,0.10697284212358954,0.10557639090483144,0.05639356284744968,0.02039933507412845,0.020500997234844692,-0.020994969709777836,-0.014273325549646238
EBITDA per Share,0.05437526083380633,0.1509307013043917,0.15352843180830683,0.09903302044663474,0.1000641487516571,0.14772469139287003,0.1481451148130003,0.15178117080911613,0.15064641063938858,0.18120110832863678,0.019626022547450606,0.035694036661881076,0.021236773652309145,-9.470289388174933e-05,0.025353972920106577,0.026946117363329893,0.022294200980573622,0.09409920553610578,0.02499951942446075,0.02789182114595407,0.027964826046495493,0.012052700773782461,0.06168780678082222,0.015351728868995187,0.010201491384552973,0.002974861741277696,0.00454988751449114,0.0033067212150479294,0.005434056610006186,-0.007228375517320489,0.010615999227182283,0.015698627911639774,0.15112420815574662,0.02206091539237047,0.011658139234299753,0.043481657334440045,0.03118735177019217,0.028894260198206997,0.0516495373212886,0.07452695959470874,0.04907246692218725,0.06635108428004055,0.07507530010295191,0.08768571614177531,0.05437776211461579,0.01847104658512649,0.024185384820313738,0.000518165136346626,0.002166376760870686
EBIT per Share,0.05504285484420729,0.153664922075644,0.15997271322476256,0.09785421162821152,0.10294206748485558,0.15335438178192976,0.15707099460174612,0.16090472320090038,0.1540617345932278,0.17819565344167732,0.02138138559252496,0.03550695321166231,0.007896515284980235,0.00022366926646994346,0.022868868486460102,0.03106845112114446,0.02205256843037713,0.09384096783709435,0.035767743775904554,0.027098043863212552,0.026701111348451764,0.011199281624869474,0.06275819852217786,0.015429784296121723,0.007214129164636003,0.003267288946918403,0.004677615789485237,0.004296585728430261,0.002115167317106632,-0.00775713135041974,0.02081855470464246,0.016291381136642337,0.1501311327395112,0.011821154320015084,0.01010003840753437,0.041144742972264226,0.03161344309926077,0.028966923799149075,0.06478628006231152,0.07453919502171555,0.06222970756977703,0.06268696698452392,0.07615693311762431,0.08101656706504146,0.06158273810429737,0.025983188601044187,0.04164907760730493,0.0011174449242606589,-0.026765249332790064
Earnings per Share (Diluted),0.25366698149433436,0.1993374833304099,0.20838800869502236,0.10676809908194014,0.14146323400161268,0.23013742994602948,0.13963569143588114,0.14827283226590018,0.16168555495962414,0.15589255120456239,0.038469839232192014,0.045506627146480176,0.11997203958634531,0.06727548671192238,0.133064002721909,0.13721035344836938,0.03789568494575458,0.1885721178961289,0.08940865236000038,0.09697445453018864,0.06053894744267328,0.06127382002749015,0.08714974370618896,0.033017852427104276,0.06123424211447758,0.12258200068414048,0.1006851877248256,0.11524556073599083,0.07210100049650832,0.1734048025053634,0.11848011443988568,0.16651737446858839,0.21066571648569007,0.057329030857391924,0.1313785488328897,0.03457835170229033,0.06633541754061414,0.15171916135241076,0.06456065047219432,0.11929774889089845,0.12148568034524948,0.1401702590824095,0.3018462517338848,0.2997740061428577,0.1503145782269496,0.07640496548045969,0.13584558588072576,-0.007026717439204013,0.09073328609651347
EPS without NRI,0.1528316365439844,0.11781885991929444,0.10962112605324155,0.10992605912330594,0.10499705336776184,0.06760483707144331,0.05713619808421037,0.09903719986363431,0.06642833312137904,0.13716080988555537,0.037294692027034726,0.05031109966075719,0.027773556328201117,-0.037275890400609184,0.010310436543875555,0.04517273693636636,0.002768075973870426,0.10773145144354349,0.010871312553448597,-0.025030397518181292,0.030779716395057548,0.001652924955525754,0.08349335961671876,0.03618179845796508,0.014723984926348004,-0.004159615510247434,-0.02060759991051589,-0.011008918766299093,-0.012922647431331476,-0.008958911956223642,0.04741445202964575,0.06939169572577299,0.0711562189715063,0.014813754295217151,0.023599425733112342,0.0004382257220560508,0.06359619074446951,0.04607316115426579,0.09708088054051135,0.1624565016347247,0.1646526015089695,0.15090004301880547,0.1427051935925715,0.14846449498365966,0.16774975719014035,0.15274181365426182,0.1937620423993776,0.06322053945729461,0.04081288184821619
Owner Earnings per Share (TTM),0.11607942243666723,0.12174432862445822,0.16441907468563136,0.11745996581855989,0.16364085718173244,0.27483780632758126,0.20177915592434448,0.20853196797774132,0.20157389747942697,0.11020953600105386,0.08081800872519605,0.08605160265723703,0.11690983354954516,0.04977542388590554,0.07844460429204803,0.059839640904096714,0.05000728883844476,0.11890944882116396,0.14012448965490804,0.07435338874639538,0.07029620961133509,0.05411586360418273,0.12184251250405961,0.00782363042672978,0.056276535124789404,0.06224377114006084,0.06657927735233804,0.06239262295456703,0.1015352235249955,0.09777005691270128,0.05646328321413947,0.05342758866314196,0.1821749252523898,0.16621318486708703,0.12076883242902924,0.09139667912873299,0.08133754634777299,0.07574040775241794,0.07182555109855042,0.12652303486135302,0.047095722328964106,0.1177854389612544,0.17153704804122089,0.17223257410679127,0.0676155919418613,0.013485079156433388,0.03312436427881049,-0.016414989022219557,-0.011007518615593157
Free Cash Flow per Share,0.03318659713201749,0.1597539811739106,0.16144697341036174,0.137242533746934,0.14062675122240167,0.16230977951527237,0.1716885186718922,0.16738409362124032,0.1710630835026144,0.17784281116264522,0.04429928763106369,0.05302845335037986,0.007367520806241232,0.011951906612515236,0.02628329315113109,0.02595490301698738,0.012030018016803702,0.04302730342056141,0.04038548482577836,0.054028437808632916,0.02471805467055371,0.0215754983598766,0.08116328791285696,-0.0029074541076934517,0.009876803629626417,-0.006948894067609995,-0.00163316058121722,-0.004968134012185323,0.06318185654903162,0.06304366084543755,0.010134691034469507,0.005663357478006661,0.1639229326736824,0.09625364504909255,0.006863526091740121,0.06266369290416961,0.02778005185239979,0.01643189576643217,0.04217822273595926,0.07783292091636008,0.03130986535403292,0.06952748348079871,0.05035822999489461,0.049610016391308194,0.011732601743377702,-0.013981109164460756,-0.001178189322811888,-0.03702626978468147,-0.034958528190844634
Operating Cash Flow per Share,0.16630101851460657,0.20893207284513024,0.22286852965976836,0.08815244222980603,0.10413623571271177,0.30835686408646046,0.16769789905471974,0.1831724299475191,0.18478141304379186,0.17861530724494357,0.03873239007636296,0.0384744865430637,0.09562456521474051,0.09469644486774507,0.08329607864484706,0.03333281887183138,0.02516780728070078,0.07076928269929814,0.09548208382557832,0.09651456130773471,0.023376187789665666,0.02476682194505266,0.09392068881693218,-0.004931063294119926,0.009468417097528114,0.09143969028407914,0.09065928747616413,0.004833481587868843,0.06342215906007213,0.06348535842348704,0.010591553417338345,0.09399781826990698,0.22045493000722083,0.12836868574107868,0.09557788252857159,0.05025559305286637,0.02472766091314347,0.12479506099708253,0.02979080415402977,0.11359134049962477,0.02429981935234384,0.10581158177832903,0.18725704412825664,0.15918027102277432,0.01558071143275464,-0.04004442462571889,-0.04619062778568468,-0.01940976149975849,-0.007260744336639958
Cash per Share,0.19365018782163193,0.18736744649606735,0.11382726135228942,0.08118255930342008,0.06840566916012128,0.13073328829075517,0.10386052494977421,0.10488219387064243,0.10540869384364944,0.1328138301648843,-0.0014656734832329795,0.01652329598648825,0.01595758460055538,-0.024697471651442957,0.021713450703333487,0.03325005311812674,-0.013896594681367901,0.10198228444416431,-0.00254928740140435,-0.010933242414854886,0.012142058404423268,0.007669329186132859,0.05732241800434318,0.009404232786304732,0.007264733952037263,-0.016213771414962747,-0.007340839567296812,-0.001971327758428752,0.047901846896367443,0.03124660306807827,0.038403090146634365,0.03786948577355904,0.10609181417698411,-0.029808846127942837,0.0051031485654037916,0.009822314494446108,0.019702071380611197,0.019395705647529952,0.07836539120776169,0.04817932355029247,0.05515843637409785,0.0610287859543558,0.16005668722799432,0.15419333896807694,0.0615298100526244,0.0366728985768289,0.023782835880307225,-0.018082271048394834,0.01449997458498575
