,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Interest Received, Direct","Dividends Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct","Taxes Paid, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Cash Dividends and Interest Paid,Cash Dividends Paid,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,1.74,1.74,47.49,47.31,0.06,0.13,-45.76,-42.83,,-0.01,-0.3,-2.62,-0.99,-0.99,,,-0.35,-0.35,-0.45,-0.45,,,-2.7,-2.7,2.5,-3.72,-3.72,-0.15,-0.15,-0.15,,,,-3.57,-3.57,2.77,-2.97,5.75
2019,0.06,0.06,51.27,51.17,0.04,0.06,-51.22,-50.31,,-0.2,0.06,-0.77,-4.68,-4.68,,,-0.26,-0.26,-0.68,-0.68,-3.74,-3.74,,,,3.66,3.66,5.19,5.19,-1.97,7.15,,,-1.52,-1.52,1.82,-0.96,2.77
2020,-0.6,-0.6,41.5,41.48,0.02,,-42.1,-42.83,,-0.5,0.73,0.5,-1.82,-1.82,,,-0.32,-0.32,-0.87,-0.87,-0.63,-0.63,,,,2.43,2.43,-2.58,-2.58,-4.7,2.12,5.01,5.01,,,1.83,0.01,1.82
2021,5.52,5.52,48.74,48.46,0.01,0.28,-43.22,-45.22,,-0.33,2.33,,-0.96,-0.96,,,-0.36,-0.36,-0.49,-0.49,-0.11,-0.11,,,,-2.71,-2.71,-2.71,-2.71,-2.71,,,,,,3.69,1.86,1.83
2022,-0.3,-0.3,59.7,59.7,0.01,,-60.0,-14.7,-40.99,-0.33,-3.81,,-1.98,-2.01,-1.07,-1.07,,,,,,,,,,-0.55,-0.55,-0.44,-0.44,-0.44,,,,,,0.86,-2.83,3.69
TTM,-0.3,-0.3,59.7,59.7,0.01,,-60.0,-14.7,-40.99,-0.33,-3.81,,-1.98,-2.01,-1.07,-1.07,-0.34,-0.34,-0.42,-0.42,,,,,,-0.55,-0.55,-0.44,-0.44,-0.44,,,,,,0.86,-2.83,3.69
