,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Changes in Inventories,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,Staff Costs,Pension and Other Employee Benefits Costs,Directors' Remuneration,Other Staff Costs,"Legal, Accounting, Auditing and Consulting Fee",Auditor Fees,Legal Fees,Rent Expense,"Other Income/Expense, Operating","Other Expenses, Operating","Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,"Other Income/Expense, Non-Operating",Net Investment Income,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental","Rent Expense, Supplemental","Employee Costs and Professional Fees, Supplemental Section","Stock-Based Compensation, Supplemental","Directors' Remuneration, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental","Pension and Other Employee Benefits Costs, Supplemental",Reported Normalized and Operating Income/Expense Supplemental Section,Reported Normalized EBITDA,Discontinued Operations,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,2.22,3.15,3.15,-0.93,-0.93,,-8.65,-6.02,,-0.76,-4.75,-0.32,-0.18,-4.25,-0.11,-0.11,,-0.41,-2.24,-2.24,-0.38,-0.38,-0.04,-0.34,-6.43,0.65,0.13,0.13,,,0.13,0.5,0.01,0.01,0.01,0.01,,-5.78,0.02,-5.75,-5.17,-5.17,-5.17,,,,,,,,-0.75,,-0.74,,-0.01,,,,0.59,-0.022125,-0.024594,0.002469,-0.022125,-0.024594,0.002469,233.81,233.81,-0.0221,-0.022125,233.81,233.81
2019,1.6,7.12,7.12,-5.52,-5.52,,-8.37,-7.15,-3.17,-3.98,,,,,,,,,,,-1.22,-1.22,-0.09,-1.12,-6.77,0.84,0.16,0.16,,,0.16,0.58,0.1,0.1,0.01,0.01,,-5.93,-0.07,-6.0,-6.0,-6.0,-6.0,,-6.13,,,,,-0.58,-7.03,,-0.63,-0.06,-0.02,-0.38,,,,-0.016001,-0.016001,,-0.016594,-0.016594,,374.81,374.81,-0.016,-0.016594,374.81,374.81
2020,6.87,23.33,23.33,-16.46,-16.46,,-25.62,-22.38,-14.3,-8.08,,,,,,,,,-3.24,-3.24,,,,,-18.75,0.28,-0.09,-0.09,-0.09,-0.09,,0.52,-0.16,-0.16,0.01,0.01,,-18.47,0.23,-18.24,-18.24,-18.24,-18.24,,-19.7,-3.24,-3.24,-1.22,-2.02,,-27.11,-3.15,-2.93,-0.22,-0.2,,,-12.09,,-0.029039,-0.029039,,-0.029039,-0.029039,,627.61,627.61,-0.029,-0.029039,627.61,627.61
2021,20.57,48.55,48.55,-27.98,-27.98,,-32.33,-26.28,-14.13,-12.14,,,,,,,,,-6.06,-6.06,,,,,-11.77,-0.26,-0.29,-0.29,-0.29,-0.29,,0.03,,,,,,-12.03,-0.47,-12.5,-12.5,-12.5,-12.5,,-27.36,-6.99,-6.99,-5.52,-1.48,,-35.41,-0.95,-0.8,-0.3,-0.01,,,-4.49,,-0.0122,-0.0122,,-0.0122,-0.0122,,1027.17,1027.17,-0.0122,-0.0122,1027.17,1027.17
2022,25.09,53.44,53.44,-28.36,-28.36,,-37.77,-29.21,-15.84,-13.37,,,,,,,,,-8.56,-8.56,,,,,-12.68,-0.1,-0.21,-0.21,-0.21,-0.21,,0.11,,,,,,-12.79,-0.41,-13.2,-13.2,-13.2,-13.2,,-32.32,-8.16,-8.16,-5.16,-3.0,,-40.16,-1.48,-1.84,-0.4,-0.03,,,,,-0.0112,-0.0112,,-0.0112,-0.0112,,1182.34,1182.34,-0.0112,-0.0112,1182.34,1182.34
TTM,25.09,53.44,53.44,-28.36,-28.36,,-37.77,-29.21,-15.84,-13.37,,,,,,,,,-8.56,-8.56,,,,,-12.68,-0.1,-0.21,-0.21,-0.21,-0.21,,0.11,,,,,,-12.79,-0.41,-13.2,-13.2,-13.2,-13.2,,-32.32,-8.16,-8.16,-5.16,-3.0,,-40.16,-1.48,-1.84,-0.4,-0.03,,,,,-0.0112,-0.0112,,-0.0112,-0.0112,,1182.34,1182.34,-0.0112,-0.0112,1182.34,1182.34
