,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Stock-Based Compensation,Other Staff Costs,Rent Expense,"Legal, Accounting, Auditing and Consulting Fee",Legal Fees,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,"Other Income/Expense, Operating","Other Expenses, Operating",Exploration Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Income,Interest Expense Net of Capitalized Interest,Gross Interest,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Investments and Other Financial Instruments,Gain/Loss on Derivatives,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,"Other Income/Expense, Non-Operating",Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,"Employee Costs and Professional Fees, Supplemental Section","Directors' Remuneration, Supplemental","Auditor Fees, Supplemental","Non-Audit Fees Paid to Auditor, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-0.8,-0.65,-0.27,,-0.27,,,,,,,-0.53,-0.53,,-0.8,0.05,0.16,0.16,0.16,,,-0.11,-0.11,,,,,,,,,-0.76,0.0,-0.76,-0.76,-0.76,-0.76,,-0.3,-0.27,-0.04,,-0.0018,-0.0018,-0.0018,-0.0018,425.29,425.29,-0.0018,-0.0018,425.29,425.29
2018,-0.94,-0.64,-0.25,,-0.25,,,,,,,-0.67,-0.67,-0.02,-0.94,0.25,0.13,0.13,0.13,,,0.12,0.11,0.01,,,,,,,,-0.69,0.0,-0.69,-0.69,-0.69,-0.69,,-0.33,-0.3,-0.03,,-0.0016,-0.0016,-0.0016,-0.0016,425.29,425.29,-0.0016,-0.0016,425.29,425.29
2019,-10.45,-1.64,-1.16,-0.7,-0.46,,,,,,,-0.91,-0.91,-8.37,-10.45,0.18,0.07,0.07,0.07,,,0.07,0.07,0.0,,,,,0.03,0.03,,-10.27,0.0,-10.27,-10.27,-10.27,-10.27,,-0.65,-0.61,-0.03,,-0.0218,-0.0218,-0.0218,-0.0218,470.77,470.77,-0.0218,-0.0218,470.77,470.77
2020,-1.08,-0.7,-0.25,,-0.25,,,,,,,-0.58,-0.58,-0.25,-1.08,0.04,0.03,0.03,0.03,,,0.0,0.0,,,,,0.01,,,,-1.04,0.0,-1.04,-1.04,-1.04,-1.04,,-0.32,-0.29,-0.03,,-0.002,-0.002,-0.002,-0.002,525.29,525.29,-0.002,-0.002,525.29,525.29
2021,-6.31,-1.99,-1.81,-1.79,-0.02,,,,-0.01,-0.01,-0.01,-4.49,-4.49,,-6.31,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,-6.31,0.0,-6.31,-6.31,-6.31,-6.31,,-2.15,-2.1,-0.04,-0.02,-0.041,-0.041,-0.041,-0.041,153.96,153.96,-0.041,-0.041,153.96,153.96
