,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
0,-0.05001869257796442,-0.05001869257796442,-0.058633957055697426,-0.058633957055697426,-0.046400326330881515,-0.04309818095739129,-0.0786620838106804,-0.09791273198935757,-0.09831406897233398,-0.08658176963003668,-0.04311128199954766,-0.03834101284560076,-0.006942862643762665,-0.08181115136407562,-0.10243229655504296,-0.08621052232369886,-0.039684339920399284,-0.039684339920399284,-0.03939460854705676,-0.08501455578821902,-0.039492048801405596,-0.09449055950732502,-0.08890430561124205,-0.040253868167668745,-0.039172509387111976,-0.03958013398571572,-0.03866615286015933,-0.030033011632282922,-0.039631591766684626,-0.08488563651775395,-0.08488563651775395,-0.08488563651775395,0.0024712666095666243,-0.07106431501656091,-0.10718893580209836
Revenue per Share,0.004778992224582959,0.0004110677419701279,0.058309766644027206,0.04443199941838269,0.008228422588856383,0.04764736411750034,0.07113944414344249,0.007445789240005525,0.054731549215641696,0.043878996118290325,0.03862443152994164,0.06388132155706339,0.029346035019701008,0.06630375424620806,0.024233451563351476,0.027428283384321864,0.05684625709106464,0.06071925174405567,0.05031014639258925,0.0491604294693998,0.05363512540044576,0.03202080740707047,0.034465928933981524,0.11685249245069068,0.11585793220493643,0.06074789533949594,0.0483775945004734,0.15740958066131472,0.05093417381653904,0.045074209305685196,0.041422974744295925,0.05187193567339817,0.040283016950945306,0.08342992796995125,0.054776890962509074
EBITDA per Share,0.05994449832418677,0.05807486194064308,0.059422808062268524,0.041440721106522506,0.04670660506106746,0.06710140466378912,0.09467022548051533,0.05190543792445148,0.060975925957167575,0.07218558867355598,0.04998279925853314,0.06802682975432967,0.07026343751549753,0.09015309204872422,0.022216658028109067,0.03909759179851724,0.08074521715831853,0.08017606367965677,0.08018253653951492,0.08944894099180503,0.0977156051550668,0.056982668299460124,0.05839941099963703,0.03986822476388639,0.031408954621667845,0.08436769324533507,0.06035079815142644,0.16804848607309822,0.08534519294437515,0.08907837781612093,0.08536703628223644,0.09871721235920072,0.07344538971506279,0.08058473105521516,0.012728448213418574
EBIT per Share,0.05907785815965561,0.06119203740672386,0.058091537580378654,0.052705870214898067,0.04855129066435417,0.05758856053287455,0.09141627854756282,0.05918707999465811,0.06420737174198075,0.074922099313846,0.04958380042789912,0.06977903492266879,0.07325587073957282,0.09608413590345419,0.021742043769240247,0.032038423320131175,0.07629522586175135,0.07499500668545066,0.08144720184149842,0.08966011513365316,0.09782312432403904,0.059113081894154665,0.059660506276487356,0.04613279758400505,0.0333413249503496,0.06882665015912962,0.0566383194533326,0.14455305973709537,0.08547143680423883,0.0871992038560163,0.08623828099852965,0.09758929757364979,0.07881040082014622,0.07604883344864996,0.03086145589077668
Earnings per Share (Diluted),0.06851254520388286,0.06628396481743865,0.10193815968931588,0.11311141633382531,0.07519579538490989,0.08613321263118617,0.14245283902780814,0.06882890011257985,0.13605383166251986,0.11517915980888685,0.07840010356749484,0.10025593486188088,0.129303258771274,0.13539742165489632,0.13886863098469213,0.08441770787080174,0.09262107983479553,0.0923804586520257,0.09163377323002415,0.09409699049876731,0.08241616605308359,0.09068785008469503,0.11263172196108588,0.16759812314296657,0.13252602063443947,0.09985549128626772,0.09997398308331297,0.17411411444157265,0.11190229870994867,0.09250100947217546,0.09227184366861846,0.09819313738195148,0.12913845399471144,0.14072162203684305,0.12075328595074952
EPS without NRI,-0.00409446087093232,-0.011634818030006936,0.01429235281294363,0.05422923941536316,-0.0047440562087863476,0.006194589495563823,0.1123592697263418,0.04219470349964622,0.059560555978903355,0.03840846566769546,0.004818947385997337,0.02831401790522901,0.044985979766718566,0.08470587027338143,0.042640090092186375,0.06035778735288928,0.06583787500325289,0.08045015257562912,0.035947737957021234,0.03217079845329048,0.022663660515983945,0.02438307595976234,0.030393432095144068,0.07254525621815383,0.06054155795302704,0.028587915782048206,0.02464487481883819,0.08794205862979147,0.03372035026957346,0.07453514301328354,0.038899863704425566,0.06208361701477966,0.08169822287852407,0.10923790145405042,0.019803642734867965
Owner Earnings per Share (TTM),0.11061634161116149,0.10808886278380975,0.08175492439199607,0.08814982919300562,0.09780619232248643,0.1159406091440606,0.13800007350714225,0.10157325778581093,0.11506783423356866,0.1148823289408957,0.11537644895741432,0.13624103688910197,0.20482349467448246,0.20387032410018258,0.15126194716166005,0.06775905886048035,0.11218634693922225,0.12424119040557514,0.13141009443664725,0.13487895879464448,0.13533348481228613,0.10941924898394649,0.123728613043499,0.13345310407072908,0.12537962337455044,0.1293961018838972,0.13896619565034407,0.2104205929090214,0.14918204347139952,0.1445668202583728,0.14010549525118743,0.14734243031090585,0.1322070733511333,0.1167760499805048,0.09216766179517995
Free Cash Flow per Share,0.1685405433700025,0.17039007601991485,0.13699832455765343,0.04411873048471189,0.14708949495240595,0.07888251927299784,0.05718372745865196,0.04452127741227301,0.14570533232828403,0.17519791404035479,0.18273964988152613,0.10286186996250102,0.056867291050902116,0.09842892109036751,0.028998672091571684,0.12864437893901692,0.09164320764297876,0.09096958123981602,0.10198012424397569,0.07707918290272851,0.10871674244484546,0.16398904815945278,0.17996385023771239,0.09123919447647312,0.09006540313839038,0.10401401186889339,0.10748768414351595,0.20447551325780358,0.20907754912621704,0.07455521001126694,0.07668493973889037,0.08076532260500224,0.09883776774530095,0.07447145515312492,0.044173986134119846
Operating Cash Flow per Share,0.22457203880189064,0.22425103891058334,0.12409753206107885,0.04166384283586124,0.1289293515786606,0.06710670018410986,0.0848530714949402,0.04345950330181685,0.1534272798799373,0.24582199263833396,0.13601487145738672,0.10412423753467914,0.1449715276882947,0.09915947940067385,0.11100869061091811,0.10092545947829346,0.09099452448413392,0.0760657909041214,0.08900974419751471,0.11460513129648447,0.11051859536021794,0.1561405245999169,0.16367281078288076,0.09079055292546448,0.08209525141721108,0.08572161264462187,0.11290712733796351,0.11751468123228613,0.18688679129662164,0.09153700068485615,0.09687883055868578,0.10829120357179571,0.08236315857611226,0.08785131160337238,0.04929393608365249
Cash per Share,0.12555086900035267,0.05525338360664686,0.12259137454116927,0.04319901837394622,0.12005135994217311,0.06372111919345332,0.09464150311242447,0.010910837496472717,0.1406090120475847,0.1505898464204181,0.13640351891429617,0.060280347025220865,0.11314950958573182,0.15543459220669573,0.08345981813876445,0.13597931317279632,0.07186558006535972,0.07928422850249911,0.05858463290807915,0.07741841388510907,0.07269945465083436,0.09397424384478473,0.06053085951024696,0.12748939577697582,0.12420767541724721,0.08047361536171717,0.05545626013605567,0.17350147467178745,0.11587025376632007,0.06570978749751967,0.06900439435594992,0.07162993502937853,0.1396823482207591,0.1703945842012623,0.10757988276209697
