,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Interest Received, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Taxes Paid, Direct","Interest Paid, Direct","Other Cash Payments from Operating Activities, Direct",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,Exploration and Mine Development Costs,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment",Purchase of Mineral Properties/Rights/Interests,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issuance of/Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Other Financing Cash Flow,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,-1.5,-1.5,0.02,0.02,-1.52,-1.29,,,-0.22,-1.35,-1.39,,,,,-0.03,-0.01,-0.01,-1.35,,-1.35,14.11,13.39,15.8,15.8,,,,-0.74,-1.68,-1.68,-1.68,11.28,11.26,0.02
2019,-4.12,-4.12,0.21,0.21,-4.32,-4.45,0.15,,-0.02,2.92,2.92,,3.0,,3.0,,,,-0.08,-0.02,-0.06,-0.01,-0.01,,,,-0.01,-0.01,,,,,3.07,-1.2,4.28
2020,-0.75,-0.75,0.08,0.08,-0.83,-1.05,,-0.01,0.22,-2.4,-2.42,,,,,,-2.42,-2.42,,,,4.78,4.78,5.0,5.0,,,,-0.22,,,,8.7,1.63,7.07
2021,-0.55,-0.55,0.04,0.04,-0.59,-0.73,0.05,0.0,0.09,1.84,1.84,-2.67,4.51,4.51,,,,,,,,-0.08,-0.08,,,-0.08,,,,,,,5.4,1.2,4.19
2022,-1.04,-1.04,0.02,0.02,-1.05,-1.0,-0.05,0.0,0.0,-3.42,-3.42,-3.33,-0.09,-0.09,,0.0,,,,,,6.08,6.08,6.5,6.5,-0.06,-0.35,-0.35,,,,,7.02,1.62,5.4
TTM,-1.04,-1.04,0.02,0.02,-1.05,-1.0,-0.05,0.0,0.0,-3.42,-3.42,-3.33,-0.09,-0.09,,0.0,-3.02,-3.02,,,,6.08,6.08,6.5,6.5,-0.06,-0.35,-0.35,-0.39,,,,7.02,1.62,5.4
