,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Taxes Receivable, Current","Accrued Interest Receivable, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Other Equipment,"Flight, Fleet, Vehicle and Related Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Mineral Property Interests and Exploration Assets,Gross Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Other Current Liabilities,Total Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, without Par Value",Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Other Equity Interest
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,6.13,0.09,0.05,0.05,0.05,0.02,0.02,,,,0.02,,6.04,0.01,0.02,0.02,0.02,,,,0.0,-0.01,-0.01,-0.01,-0.01,0.0,6.03,6.03,0.23,0.23,0.12,0.12,0.07,0.06,,,0.11,0.11,0.11,0.11,,,5.9,5.9,61.12,61.12,61.12,,,-60.38,5.15,5.37,-0.22,
2018,21.94,1.63,0.53,0.53,0.53,0.02,0.02,,,,1.07,,20.32,0.01,0.02,0.02,0.02,,,,0.0,-0.01,-0.01,-0.01,-0.01,0.0,20.31,20.31,0.2,0.2,0.2,0.2,0.11,0.09,,,,,,,,,21.74,21.74,77.81,77.81,77.81,,,-61.87,5.81,5.4,0.41,
2019,30.38,4.41,4.25,4.25,4.25,0.02,0.02,,,,0.13,,25.97,0.01,0.02,0.02,0.02,,,,0.0,-0.01,-0.01,-0.01,-0.01,0.0,25.96,25.96,0.28,0.28,0.28,0.28,0.15,0.13,,,,,,,,,30.1,30.1,86.87,86.87,86.87,,,-63.57,6.79,5.48,1.31,
2020,28.91,4.56,4.18,4.18,4.18,0.03,0.03,,,,0.35,,24.35,0.04,0.07,0.07,0.07,,,,0.0,-0.03,-0.03,-0.03,-0.03,0.0,24.31,24.31,0.15,0.15,0.15,0.15,0.07,0.08,,,,,,,,,28.76,28.76,93.61,93.61,93.61,,,-72.46,7.61,5.9,1.71,
2021,31.91,3.88,3.49,3.49,3.49,0.03,0.03,,,,0.36,,28.03,0.08,0.15,0.14,0.14,,,,0.0,-0.06,-0.06,-0.06,-0.06,0.0,27.95,27.95,0.18,0.18,0.18,0.18,0.04,0.13,,,,,,,,,31.73,31.73,99.43,99.43,99.43,,,-73.76,6.07,6.03,0.04,
