,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment",Changes in Operating Capital,"Taxes Refund/Paid, Indirect",Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Sale of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Dividends Received/Paid, CFI",Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Net Movement in Non-Controlling/Minority Interest,Cash Dividends and Interest Paid,Cash Dividends Paid,"Interest Paid, CFF",Cash Dividends Paid to Non-Controlling/Minority Interests,Proceeds from Issuance/Exercising of Stock Options/Warrants,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,244.15,244.15,333.81,318.06,125.3,194.95,194.95,13.32,5.13,-60.84,-27.26,-23.85,1.96,-25.81,-3.41,,,,-109.54,-87.06,-2.61,-226.27,-226.27,-271.41,-272.67,1.26,-3.71,-3.85,0.15,-17.02,-17.02,0.0,37.25,-0.34,37.6,28.62,,47.19,47.19,3.98,3.98,,219.07,69.63,149.45,179.27,-29.83,9.87,-122.51,-62.44,-60.07,-27.72,0.76,-36.26,418.78,65.07,-20.08,365.55,8.24,,65.07
2018,243.72,243.72,318.57,146.88,200.64,218.17,218.17,10.54,6.69,-25.56,-9.21,-30.66,-29.78,-0.88,21.45,,,,-28.95,-68.97,-5.88,-102.38,-102.38,-125.21,-181.3,56.09,-3.7,-3.7,,,,,2.42,-0.41,2.84,24.11,,-157.29,-157.29,-11.28,,-11.28,-3.02,-62.59,59.57,468.36,-408.78,-7.17,-126.15,-62.15,-64.0,-2.44,0.58,-7.81,398.27,-15.95,-4.56,418.78,0.0,,-15.95
2019,524.33,524.33,570.89,155.02,247.33,229.07,229.07,41.39,4.39,-50.15,22.63,3.43,3.43,0.0,19.2,,,,168.55,-60.62,14.06,-91.09,-91.09,-106.23,-107.58,1.35,-4.41,-4.41,,,,,0.8,0.0,0.8,18.75,,-268.79,-268.79,0.04,0.04,,-166.27,-76.72,-89.56,585.7,-675.25,-8.85,-89.69,-39.56,-50.13,-13.87,,9.85,566.18,164.44,3.46,398.27,,,164.44
2020,504.92,504.92,561.98,256.53,181.04,209.4,209.4,13.11,8.56,-18.07,-31.96,-38.63,-39.33,0.71,6.66,,,,124.42,-56.5,-0.56,-31.21,-31.21,-52.34,-104.48,52.14,-3.21,-3.21,,-0.98,-0.98,,0.0,,0.0,25.32,,-82.74,-82.74,1.08,1.08,,-5.01,41.36,-46.36,201.31,-247.67,-8.97,-62.65,-19.79,-42.86,-5.95,0.15,-1.4,940.42,390.97,-16.73,566.18,,,390.97
2021,384.6,384.6,509.96,513.09,116.65,165.77,165.77,-27.46,15.26,-9.19,-27.74,-26.22,-23.4,-2.82,-1.52,,,,-119.77,-92.74,-32.62,-95.92,-95.92,-107.0,-143.75,36.75,-12.85,-12.85,,0.0,,,-0.93,-0.93,,24.86,,-567.08,-567.08,17.42,17.42,,-459.5,-43.33,-416.17,23.65,-439.82,0.0,-91.97,-56.8,-35.17,-6.76,1.08,-27.35,677.27,-278.4,15.26,940.42,,,-278.4
TTM,177.78,177.78,329.42,505.09,142.63,,,,,-0.47,,,,,,,,,-318.3,-122.97,-28.67,-124.07,-124.07,-150.11,-163.96,13.85,-13.31,-13.31,,-2.37,,,-1.45,-1.54,,43.17,,-247.88,-247.88,-45.41,,,-63.99,-5.42,-58.57,34.57,-93.14,,-136.66,-101.94,-34.72,,,3.86,482.09,-194.17,27.23,649.04,,,-194.17
