,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Pension and Employee Benefit Expense, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Payables,Change in Accrued Expenses,Change in Prepayments and Deposits,Change in Other Current Assets,Change in Deferred Assets/Liabilities,Change in Other Current Liabilities,Change in Other Operating Capital,"Dividend Received, CFO Indirect","Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Payment for Loan Granted and Repayments Received, Net",Cash Advances and Loans Made to Other Parties,Cash Receipts from Repayment of Advances and Loans Made to Other Parties,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,Purchase/Sale of Equity Investments,Purchase of Joint Venture/Associate,Sale of Joint Venture/Associate,"Purchase/Sale of Investment Properties, Net",Purchase of Investment Properties,Sale of Investment Properties,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net","Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Repayments for Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Net Movement in Non-Controlling/Minority Interest,Cash Dividends and Interest Paid,Cash Dividends Paid,Common Stock Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,742482.0,742482.0,610194.0,610416.0,202011.0,254038.0,254038.0,202306.0,-126901.0,-215797.0,-4365.0,-211432.0,39244.0,39244.0,39244.0,,49121.0,,,-202233.0,-60265.0,-366807.0,-366807.0,,224839.0,224839.0,224839.0,,,,,,,,305010.0,-65212.0,89258.0,-196768.0,-317583.0,-317583.0,-23880.0,-73017.0,49137.0,-98574.0,-277456.0,178882.0,-7063.0,-32264.0,25201.0,-281884.0,-359511.0,77627.0,1628.0,-7624.0,9252.0,92190.0,-46090.0,138280.0,-554328.0,-554328.0,-15.0,-416149.0,53562.0,,-469711.0,300556.0,-770267.0,,,55476.0,-153806.0,-153806.0,-153806.0,-39834.0,1005461.0,-129429.0,-10624.0,1145514.0,,-140053.0
2019,652681.0,652681.0,528763.0,645784.0,157785.0,250509.0,250509.0,206029.0,-129816.0,-157121.0,-19852.0,-137269.0,-277.0,-277.0,-277.0,,-11539.0,,,-274806.0,-20064.0,-299313.0,-299313.0,,44571.0,44571.0,44571.0,,,,,,,,352897.0,-82331.0,111486.0,-258134.0,-273687.0,-273687.0,28806.0,-85842.0,114648.0,-218580.0,-315514.0,96934.0,84982.0,-31386.0,116368.0,-286635.0,-398191.0,111556.0,3034.0,-2307.0,5341.0,114706.0,-62481.0,177187.0,-227480.0,-227480.0,-11.0,4948.0,329175.0,,-324227.0,723485.0,-1047712.0,,,19659.0,-198276.0,-198276.0,-198276.0,-53800.0,1160582.0,151514.0,3607.0,1005461.0,,155121.0
2020,849728.0,849728.0,689473.0,592151.0,110737.0,448413.0,448413.0,56713.0,-103240.0,-246254.0,-66929.0,-179325.0,32924.0,32924.0,32924.0,,-77819.0,,,-13415.0,-73356.0,547654.0,547654.0,,-487713.0,-487713.0,-487713.0,,,,,,,,316386.0,-94833.0,123957.0,-185255.0,-500727.0,-500727.0,-96901.0,-164739.0,67838.0,-285369.0,-326014.0,40645.0,-230031.0,-319364.0,89333.0,-90094.0,-201731.0,111637.0,3862.0,-229.0,4091.0,197806.0,-39517.0,237323.0,-156629.0,-156629.0,-289699.0,566821.0,396603.0,,170218.0,699633.0,-529415.0,-276175.0,-276175.0,81668.0,-197704.0,-197704.0,-197704.0,-41540.0,1322812.0,192372.0,-30142.0,1160582.0,,162230.0
2021,1017550.0,1017550.0,848562.0,132241.0,573722.0,523830.0,523830.0,121286.0,-71526.0,-159168.0,-62082.0,-97086.0,202517.0,202517.0,202517.0,,-43217.0,,,142599.0,41709.0,26210.0,26210.0,,74680.0,74680.0,74680.0,,,,,,,,271204.0,-67731.0,80350.0,-114835.0,-357297.0,-357297.0,-29407.0,-80355.0,50948.0,-341228.0,-388981.0,47753.0,28909.0,,28909.0,-123378.0,-253316.0,129938.0,919.0,-425.0,1344.0,106888.0,-80868.0,187756.0,-691184.0,-691184.0,-19784.0,-147773.0,-183322.0,,35549.0,795173.0,-759624.0,-277531.0,-277531.0,-5377.0,-199853.0,-199853.0,-199853.0,-40866.0,1317824.0,-30931.0,25943.0,1322812.0,,-4988.0
2022,1055844.0,1055844.0,702766.0,1004459.0,212079.0,545043.0,545043.0,288657.0,-139850.0,-469057.0,-75254.0,-393803.0,57805.0,57805.0,57805.0,,-70519.0,,,-513772.0,-236396.0,-673674.0,-673674.0,,396298.0,396298.0,396298.0,,,,,,,,493860.0,-64444.0,80601.0,-156939.0,-167550.0,-167550.0,-22144.0,-82953.0,60809.0,-365945.0,-393833.0,27888.0,8124.0,-45154.0,53278.0,89452.0,-157003.0,246455.0,886.0,-443.0,1329.0,122077.0,-26990.0,149067.0,-693396.0,-693396.0,-13.0,-160455.0,-159572.0,,-883.0,864567.0,-865450.0,-279784.0,-279784.0,4640.0,-203737.0,-203737.0,-203737.0,-54047.0,1555570.0,194898.0,42848.0,1317824.0,,237746.0
