,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,Other Short Term Investments,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Inventory Allowance/Adjustments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Amount Due From Related Parties, Current","Other Receivables, Current","Assets Held for Sale/Discontinued Operations, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Software and Technology,Research and Development,Customer Relationships,Licenses and Rights,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Trade and Other Receivables, Non-Current","Taxes Receivable, Non-Current","Other Receivables, Non-Current","Deferred Tax Assets, Non-Current","Pension and Other Employee Benefits, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Commercial Paper,"Notes Payable, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Provisions, Current","Provision for Employee Entitlements, Current","Other Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Discontinued Operations Liabilities, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Treasury Stock,Treasury Stock for Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Pension and Other PostRetirement Benefit Plans Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,65786.3,46914.3,9786.5,9334.9,451.6,451.6,3904.1,1688.0,495.0,3182.0,-1461.0,33223.7,3924.9,,,35.9,29262.9,,18872.3,11661.7,18552.7,3596.0,126.0,3470.0,5378.0,5378.0,358.0,6593.7,2627.0,-6891.0,-6891.0,,-6891.0,1251.3,1337.3,1033.3,304.0,139.0,123.0,42.0,,-86.0,-86.0,-86.0,,,,,182.5,182.5,182.5,1200.0,876.0,324.0,2415.0,538.2,1623.6,56211.8,22692.6,6305.9,3178.9,2069.0,194.0,148.0,121.9,,646.0,3127.0,14153.7,14153.7,7935.7,3439.0,378.0,4118.7,6218.0,6218.0,,916.0,916.0,,1317.0,1317.0,,33519.2,25891.0,25891.0,25891.0,25891.0,,,7417.9,7417.9,7417.9,209.7,209.7,9574.5,9557.3,-11180.3,4280.5,4280.5,-15460.8,-15460.8,25301.3,-4563.7,,,,17.2,40194.0,12256.0,,13501.0,,7251.0,7186.0,,26.0,10.0,,11.0,,4.0,1.0,,371.0,98.0,76.0,58.0,44.0,39.0,56.0,,397.0,108.0,76.0,69.0,44.0,43.0,57.0,,51668.0,18295.0,76.0,15344.0,44.0,8180.0,9729.0,,11077.0,5931.0,1774.0,886.0,2486.0
2018,70108.0,46644.5,4394.1,3904.0,490.1,490.1,6148.9,2233.0,776.0,4777.0,-1637.0,36101.5,5004.3,,,21.7,31075.5,,23464.1,13033.4,20193.4,4209.0,287.0,3922.0,5570.0,5570.0,619.0,7165.4,2630.0,-7160.0,-7160.0,,-7160.0,4662.7,4845.7,3100.7,1745.0,1080.0,123.0,542.0,,-183.0,-183.0,-183.0,,,,,207.3,207.3,207.3,1736.0,1370.0,366.0,808.0,1298.3,1718.4,58802.8,25259.2,7588.9,4487.9,2465.0,223.0,163.0,128.9,836.0,672.0,3101.0,15019.3,15019.3,8622.3,3857.0,808.0,3957.3,6397.0,6397.0,,1101.0,1101.0,,1550.0,1550.0,,33543.6,27237.0,27237.0,27237.0,27237.0,,,5751.0,5751.0,5751.0,555.8,555.8,11305.2,11287.8,-11837.6,4474.2,4474.2,-16311.8,-16311.8,27553.0,-4427.6,,,,17.4,42714.0,13226.0,,14067.0,,9079.0,6342.0,,30.0,11.0,,15.0,,3.0,1.0,,,,,,,,,,30.0,11.0,,15.0,,3.0,1.0,,42744.0,13237.0,,14082.0,,9082.0,6343.0,,,,,,
2019,73011.0,49267.0,4438.0,3857.0,581.0,581.0,5975.0,2285.0,747.0,4613.0,-1670.0,38854.0,5230.0,,,46.0,33578.0,,23744.0,13540.0,20969.0,4329.0,278.0,4051.0,5710.0,5710.0,733.0,7567.0,2630.0,-7429.0,-7429.0,,-7429.0,4297.0,4579.0,2917.0,1662.0,1028.0,123.0,511.0,,-282.0,-282.0,-282.0,,,,,215.0,215.0,215.0,1487.0,1231.0,256.0,1466.0,840.0,1899.0,61580.0,24903.0,7101.0,3938.0,1996.0,244.0,211.0,142.0,734.0,611.0,3163.0,15105.0,15105.0,7677.0,2698.0,658.0,4321.0,7428.0,7428.0,,1062.0,1062.0,,1635.0,1635.0,,36677.0,30229.0,30229.0,30229.0,30229.0,,,5953.0,5953.0,5953.0,495.0,495.0,11431.0,11413.0,-12832.0,4642.0,4642.0,-17474.0,-17474.0,29852.0,-5607.0,,,,18.0,45334.0,12974.0,,16309.0,,7577.0,8329.0,145.0,32.0,12.0,10.0,6.0,2.0,1.0,1.0,,,,,,,,,,32.0,12.0,10.0,6.0,2.0,1.0,1.0,,45366.0,12986.0,10.0,16315.0,2.0,7578.0,8330.0,145.0,,,,,
2020,75091.0,51361.0,7707.0,7066.0,641.0,641.0,4999.0,1995.0,648.0,4006.0,-1650.0,38655.0,4171.0,,,31.0,34453.0,,23730.0,13115.0,22939.0,4465.0,286.0,4179.0,5936.0,5936.0,2361.0,7366.0,2811.0,-9824.0,-9824.0,-1989.0,-7835.0,4408.0,4795.0,3081.0,1714.0,1056.0,123.0,535.0,,-387.0,-387.0,-387.0,,,,,193.0,193.0,193.0,1220.0,931.0,289.0,1499.0,863.0,2432.0,62147.0,23481.0,7127.0,4046.0,1926.0,244.0,181.0,105.0,730.0,860.0,3081.0,13561.0,13561.0,6294.0,1238.0,374.0,4682.0,7267.0,6949.0,318.0,1146.0,1146.0,,1647.0,1647.0,,38666.0,32734.0,32734.0,32599.0,32599.0,,135.0,5413.0,5413.0,5413.0,519.0,519.0,12944.0,12937.0,-13170.0,4895.0,4895.0,-18065.0,-18065.0,31646.0,-5539.0,,,,7.0,45389.0,10926.0,,16019.0,,7079.0,11365.0,,60.0,22.0,18.0,12.0,5.0,3.0,2.0,-2.0,305.0,90.0,74.0,52.0,42.0,24.0,41.0,-18.0,365.0,112.0,92.0,64.0,47.0,27.0,43.0,-20.0,57421.0,17562.0,92.0,17438.0,47.0,7916.0,14386.0,-20.0,11667.0,6524.0,1355.0,810.0,2978.0
2021,84114.0,58219.0,8745.0,8017.0,728.0,728.0,6781.0,3524.0,994.0,4373.0,-2110.0,42693.0,4208.0,4249.0,-41.0,27.0,38458.0,,25895.0,12808.0,23108.0,4649.0,297.0,4352.0,6123.0,6123.0,2143.0,7317.0,2876.0,-10300.0,-10300.0,-1945.0,-8355.0,4566.0,5060.0,3291.0,1769.0,1104.0,123.0,542.0,,-494.0,-494.0,-494.0,-343.0,-151.0,0.0,0.0,175.0,175.0,175.0,1738.0,1436.0,302.0,1037.0,3601.0,1970.0,65680.0,27872.0,8700.0,5059.0,2967.0,329.0,165.0,143.0,933.0,522.0,3641.0,15803.0,15803.0,7171.0,2230.0,336.0,4605.0,8632.0,8330.0,302.0,1531.0,1531.0,,1838.0,1838.0,,37808.0,32888.0,32888.0,32848.0,32902.0,-54.0,40.0,4344.0,4344.0,4344.0,576.0,576.0,18434.0,18431.0,-15479.0,5054.0,5054.0,-20533.0,-20533.0,36449.0,-2539.0,,,,3.0,33765.0,10890.0,8569.0,7647.0,3236.0,3417.0,6.0,,61.0,25.0,19.0,11.0,5.0,1.0,3.0,-3.0,279.0,83.0,69.0,54.0,32.0,15.0,41.0,-15.0,340.0,108.0,88.0,65.0,37.0,16.0,44.0,-18.0,34105.0,10998.0,8657.0,7712.0,3273.0,3433.0,50.0,-18.0,,,,,
