,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,Other Short Term Investments,"Assets Held for Sale/Discontinued Operations, Current","Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Other Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment","Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Trademarks and Patents,Software and Technology,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Other Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,"Derivative Investment and Hedging Assets, Non-Current","Deferred Costs/Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Commercial Paper,"Notes Payable, Current Debt",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Bank/Institutional Loans, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Liabilities Held for Sale/Discontinued Operations, Non-Current",Other Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Preferred Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Debt Maturity Schedule Total,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt due in Year 1,Debt - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,9231.4,5201.1,3453.2,2103.0,1350.2,1350.2,,1573.9,1573.9,,,,174.0,4030.3,214.2,849.9,604.7,193.0,17.0,88.6,87.4,42.0,42.0,10.2,,-635.7,-635.7,3314.2,4820.9,3191.9,1629.0,1208.0,33.2,387.8,-1506.7,-1042.7,-1042.7,-16.3,-334.7,-691.7,-464.0,-464.0,199.4,29.1,29.1,273.4,,9722.8,6159.4,6159.4,6159.4,718.5,1252.0,4188.9,,,,,,,3563.4,3296.6,3033.6,3033.6,2474.9,575.0,-16.3,,263.0,173.0,173.0,,78.8,15.0,15.0,15.0,,,-491.4,-491.4,702.4,702.4,4.6,0.0,697.8,-965.9,-227.9,3033.6,528.8,368.0,488.8,500.0,750.0,414.3,-16.3,,,,,,,,,,,,,,,,,3033.6,414.3,528.8,368.0,488.8,500.0,750.0,-16.3,,,,,
2018,8996.8,4946.1,3431.8,2221.2,1210.6,1210.6,,1355.4,1355.4,,,,158.9,4050.7,270.4,972.8,656.8,264.2,17.0,88.6,158.6,51.6,51.6,0.2,,-702.4,-702.4,3323.2,4834.8,3189.0,1645.8,1166.0,32.5,447.3,-1511.6,-1047.6,-1047.6,-17.0,-366.7,-663.9,-464.0,-464.0,180.3,31.3,31.3,245.5,,9306.6,5557.7,5432.7,5432.7,564.9,1054.0,3813.8,,125.0,125.0,125.0,125.0,,3748.9,3484.9,3308.7,3308.7,2374.9,950.0,-16.2,,176.2,161.1,161.1,,86.9,16.0,16.0,16.0,,,-309.8,-309.8,760.0,760.0,4.4,0.0,755.6,-838.8,-231.0,3433.7,,603.1,,1126.8,2170.5,765.2,-1231.9,300.3,51.6,44.1,35.4,31.4,25.2,112.6,,300.3,51.6,44.1,35.4,31.4,25.2,112.6,,4829.3,1140.1,44.1,865.0,31.4,1339.8,2640.8,-1231.9,1095.3,323.3,226.5,187.8,357.7
2019,8758.5,4946.0,3517.1,1818.7,1698.4,1698.4,,1230.1,1230.1,,,,198.8,3812.5,386.6,1003.1,591.4,159.6,0.0,0.4,159.2,49.4,49.4,3.0,199.7,-616.5,-616.5,3061.5,4487.0,3030.6,1456.4,1145.1,30.1,281.2,-1425.5,-961.5,-961.5,-16.9,-226.5,-718.1,-464.0,-464.0,126.9,33.0,33.0,204.5,,8798.0,5163.3,4918.3,4918.3,601.9,1019.7,3296.7,,245.0,245.0,245.0,245.0,0.0,3634.7,3386.1,3226.6,2984.3,2050.0,950.0,-15.7,242.3,159.5,152.1,152.1,,85.1,11.4,11.4,11.4,,,-39.5,-39.5,845.4,845.4,4.2,0.0,841.2,-675.9,-209.0,3229.3,,818.0,,1306.9,1869.3,358.4,-1123.3,242.3,53.2,45.2,38.5,32.6,30.5,102.5,-60.2,242.3,53.2,45.2,38.5,32.6,30.5,102.5,-60.2,4485.9,725.2,45.2,1073.6,32.6,1622.7,2170.1,-1183.5,1014.3,313.6,217.1,285.3,198.3
2020,9496.3,5506.4,4114.5,2123.9,1990.6,1990.6,,1135.1,1135.1,1188.3,-53.2,,256.8,3989.9,339.5,999.4,608.9,153.7,0.0,0.4,153.3,45.4,45.4,2.3,189.1,-659.9,-659.9,3071.6,4580.2,3030.6,1549.6,1209.2,30.1,310.3,-1508.6,-1044.6,-1044.6,-18.1,-254.8,-771.7,-464.0,-464.0,91.0,34.5,34.5,453.3,,9309.7,5408.3,5328.3,5251.2,500.9,928.9,3821.4,77.1,80.0,80.0,80.0,80.0,,3901.4,3652.4,3222.1,2987.2,2050.0,950.0,-12.8,234.9,430.3,188.9,188.9,,60.1,0.0,0.0,0.0,,,186.6,186.6,889.2,889.2,4.1,0.0,885.1,-543.1,-159.5,3000.0,547.5,395.0,760.0,500.0,750.0,47.5,,234.9,51.9,44.5,37.0,32.6,27.7,90.3,-49.1,234.9,51.9,44.5,37.0,32.6,27.7,90.3,-49.1,3234.9,99.4,592.0,432.0,792.6,527.7,840.3,-49.1,,,,,
2021,8823.5,2661.2,1208.3,1208.3,,,1452.9,,,,,,,6162.3,129.4,129.4,129.4,,,,,,,,,,,2451.7,2451.7,2034.6,417.1,417.1,,,,,,,,,,,3581.2,,,,,8467.9,1595.9,1320.9,1320.9,450.2,870.7,,,275.0,275.0,275.0,275.0,,6872.0,2733.4,2733.4,2733.4,2450.0,300.0,-16.6,,,203.8,203.8,821.9,3112.9,,,,,,355.6,355.6,944.9,944.9,3.9,0.0,941.0,-537.2,-52.1,2750.0,300.0,300.0,500.0,600.0,1050.0,,,203.0,45.9,38.8,33.8,28.7,23.8,69.9,-37.9,203.0,45.9,38.8,33.8,28.7,23.8,69.9,-37.9,2953.0,45.9,338.8,333.8,528.7,623.8,1119.9,-37.9,,,,,
