,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Gain/Loss on Extinguishment of Debt, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment",Other Non-Cash Items,"Deferred Taxes, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Tax Receivables,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Taxes Payable,Change in Other Current Assets,Change in Deferred Assets/Liabilities,Change in Other Current Liabilities,Change in Other Operating Capital,"Interest Received, CFO Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Sale of Business,Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Sale of Investments,Purchase of Investments,"Payment for Loan Granted and Repayments Received, Net",Cash Advances and Loans Made to Other Parties,Cash Receipts from Repayment of Advances and Loans Made to Other Parties,"Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Purchase/Sale of Equity Investments,Purchase of Joint Venture/Associate,Sale of Joint Venture/Associate,"Purchase/Sale of Investment Properties, Net",Purchase of Investment Properties,Other Investing Cash Flow,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Proceeds from Lease Financing,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Repayments for Short Term Debt,Proceeds from Issuance of Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,"Interest Paid, CFF","Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Proceeds from Issuance/Exercising of Stock Options/Warrants,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Interest Paid, Supplemental",Total Net Change in Cash,Other Cash Adjustments Included in Change in Cash
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-3.05,-3.05,-3.05,-5.01,2.9,0.28,0.28,0.28,1.2,0.13,1.64,-1.01,0.13,,,0.01,-1.15,0.61,,,,0.35,,0.26,,0.05,,-0.95,,-0.04,-0.04,,0.0,-0.25,,,,,,0.16,-0.82,,-4.45,-4.45,-1.13,-1.13,,,,,0.0,1.0,-1.0,-0.64,-0.64,,,,-0.31,-0.31,,-0.29,-0.29,-1.97,-0.1,-0.1,9.15,9.15,,,,0.82,,,,0.82,0.83,-0.01,,,5.75,5.75,2.58,1.92,1.65,0.16,0.11,,1.65,-0.14,,
2018,-5.34,-5.34,-5.34,-9.71,4.02,0.33,0.33,0.33,0.96,0.88,1.58,-0.23,-0.02,-0.02,,0.07,-0.25,0.55,,,,,0.45,0.1,,0.13,-0.18,0.35,-0.37,-1.14,-1.14,,-0.41,2.27,,,,,,0.0,,,-7.44,-7.44,-3.99,-3.99,,-0.98,,-0.98,-2.0,0.5,-2.5,-1.94,-1.94,,-0.22,-0.22,0.0,0.0,,-0.04,-0.04,1.73,,,11.83,11.83,-0.11,-0.11,,7.03,,,,7.03,7.05,-0.02,-0.43,-0.43,0.0,0.0,5.34,0.78,-0.95,-0.19,1.92,,-0.95,,,
2019,-12.11,-12.11,-12.11,-27.7,13.85,2.05,2.05,,1.32,3.47,1.11,-1.47,-0.81,0.0,-0.04,-0.71,0.09,7.31,-9.29,-0.7,-8.59,10.45,3.09,-0.14,3.2,0.06,0.0,1.74,-1.86,-1.01,-1.01,,0.03,4.42,4.42,3.67,0.75,,0.16,,,,1.66,1.66,0.02,-1.72,1.74,-3.02,,-3.02,2.37,2.37,0.0,-2.15,-2.15,,-0.07,-0.07,4.5,-0.1,4.6,0.0,0.0,0.0,,,10.85,10.85,1.14,-0.78,1.92,3.08,,,,3.08,4.13,-1.05,-0.93,-0.93,7.13,7.13,0.43,1.49,0.39,0.31,0.78,,0.39,,,
2020,-2.02,-2.02,-2.02,-22.09,11.8,2.42,2.42,,1.29,3.81,0.26,-0.89,-1.57,-0.02,0.75,-0.05,,4.95,-0.07,-0.07,,3.65,0.17,-0.4,1.61,-0.05,,8.27,-1.44,1.31,,,0.36,8.04,8.04,7.04,0.99,0.0,,,,,0.03,0.03,-0.24,-0.24,,-0.23,,-0.23,0.19,0.19,,0.32,-0.12,0.44,,,,,,,,,,,0.59,0.59,-1.33,-1.33,0.0,1.94,-0.13,-0.13,,2.07,2.07,,-0.02,-0.02,,,,0.24,-1.39,0.14,1.49,,-1.39,,,
2021,-1.44,-1.44,-1.44,-1.85,-3.15,0.48,0.48,,0.95,1.28,0.1,0.72,0.96,0.18,-0.42,,,-6.68,-12.02,-0.7,-11.32,5.63,0.03,-0.32,,,,3.56,-0.33,-1.42,,,0.0,5.3,5.3,7.0,-1.7,,,,,,1.26,1.26,-0.06,-0.06,,0.23,0.23,,1.09,1.09,,,,,,,,,,,,,,,-0.03,-0.03,-0.03,-0.03,,,,,,,,,,,,,,0.02,-0.21,-0.01,0.24,,-0.21,,,
