,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Short Term Investments,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,Net Mineral Property Interests and Exploration Assets,Gross Mineral Property Interests and Exploration Assets,"Trade and Other Receivables, Non-Current","Notes Receivable, Non-Current","Amount Due from Related Parties, Non-Current","Cash Restricted or Pledged, Non-Current",Other Non-Current Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Non-Interest-Bearing Borrowings, Current Debt",Total Non-Current Liabilities,"Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, without Par Value",Stock Subscription,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Stock Options/Warrants/DeferredShares/ConvertibleDebentures
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,0.93,0.02,0.0,0.0,0.0,,0.02,,,0.02,,,0.92,0.91,0.91,0.0,0.0,,,0.01,,,,,,0.79,0.79,0.79,0.52,0.5,0.02,0.27,,,,,0.0,,,0.15,0.15,7.9,7.9,7.9,7.9,,-9.26,1.51,
2018,1.39,0.09,0.05,0.05,0.05,,0.03,0.03,,,,,1.3,1.19,,0.1,0.0,0.1,0.01,,,,,,,0.67,0.67,0.67,0.5,0.5,0.0,0.17,,,,,0.0,,,0.71,0.71,8.58,8.58,8.58,,,-9.4,1.53,
2019,1.29,0.06,0.0,0.0,0.0,,0.06,0.06,,,,,1.23,1.21,,0.02,0.0,0.02,0.01,,,,,,,0.9,0.9,0.9,0.68,0.68,,0.22,,,,,0.0,,,0.39,0.39,8.64,8.64,8.64,,,-9.78,1.53,
2020,1.25,0.17,0.09,0.09,0.09,,0.08,0.08,,,,,1.08,1.04,,0.04,0.0,0.04,0.01,,,,,,,1.02,1.02,0.69,0.61,0.61,,0.08,0.32,0.32,0.32,0.32,0.0,,,0.23,0.23,8.64,8.64,8.64,,0.14,-10.08,1.53,
2021,1.42,0.34,0.17,0.12,0.12,0.06,0.17,0.11,0.06,,,,1.08,1.04,,0.04,0.0,0.04,0.01,,,,,,,0.51,0.51,0.48,,,,,0.04,0.04,0.04,0.04,0.0,,,0.91,0.91,10.0,10.0,10.0,,0.0,-10.62,1.53,
