,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Current Liabilities,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Payment for Loan Granted and Repayments Received, Net",Cash Receipts from Repayment of Advances and Loans Made to Other Parties,Cash Advances and Loans Made to Other Parties,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Sale of Business,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,Purchase/Sale of Equity Investments,Purchase of Joint Venture/Associate,Sale of Joint Venture/Associate,"Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Repayments for Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Issue and Financing Costs,Debt Issuance Costs,Share Issuance Costs,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Income Tax Paid, Supplemental","Interest Paid, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-0.95,-0.95,-0.95,-2.75,1.9,0.13,0.13,,,1.48,,,,,,0.3,,,,,0.3,,-0.1,,,,0.11,,0.08,0.08,0.08,,-0.3,0.0,-3.5,-3.5,-0.28,,-0.28,-3.16,-3.16,,,,,,,,,-0.05,-0.05,-0.01,4.04,4.04,4.53,4.53,-0.47,-0.47,,-0.47,,,0.0,,0.0,-0.02,0.39,-0.41,0.8,,-0.41,,
2018,-1.86,-1.86,-1.86,-7.86,6.36,1.36,1.36,,,4.84,0.2,,,,,0.0,,,,,0.0,-0.04,-0.35,,,,0.38,,0.41,0.41,0.41,,-1.14,,-7.35,-7.35,0.0,,0.0,-4.98,-4.98,,,,,,-2.36,-2.36,,-0.01,-0.01,0.0,9.58,9.58,6.57,6.57,3.0,-0.06,0.37,-0.43,3.06,3.06,,,,0.0,0.76,0.37,0.39,,0.37,,
2019,-6.55,-4.99,-4.99,-28.99,22.76,1.23,1.23,,,10.18,1.33,5.26,-1.33,0.04,6.55,2.83,,,,2.13,0.7,1.93,1.23,,-0.26,-0.26,0.3,0.78,0.44,,,-0.02,0.0,,6.33,6.33,,,,-1.38,-1.38,,8.75,8.75,,,-1.05,-1.38,0.33,0.0,0.0,,2.8,2.8,0.04,0.04,2.76,-0.27,0.0,-0.27,3.04,3.04,,,,,3.34,2.58,0.76,,2.58,-0.02,-0.22
2020,-5.03,-5.03,-5.03,-11.24,5.0,2.37,2.37,,,2.07,1.45,-0.89,-0.88,-0.02,,0.0,,,,0.0,0.0,0.0,1.22,-0.53,0.32,0.32,-0.33,0.07,1.7,,,0.0,,,-0.54,-0.54,0.69,0.69,,-0.47,-0.47,,0.28,0.28,-1.27,-1.27,0.23,0.0,0.23,,,,4.35,4.35,0.45,0.45,3.94,1.73,2.44,-0.71,2.22,2.22,-0.04,-0.04,,0.0,2.13,-1.21,3.34,,-1.21,0.0,-0.47
2021,-9.17,-9.17,-9.17,-64.37,59.53,5.39,5.39,1.93,3.46,2.08,0.62,-2.89,-2.98,0.09,,51.34,-0.82,-0.77,-0.05,51.6,0.56,2.99,-4.33,-1.29,0.29,0.29,-1.42,0.0,-1.91,-1.91,-1.91,,,,0.2,0.2,0.0,0.0,,0.76,-0.76,1.51,0.0,0.0,-0.56,-0.56,,,,,,,12.42,12.42,15.75,15.75,-2.2,-2.2,0.0,-2.2,0.0,0.0,-1.03,-1.03,,-0.1,5.57,3.44,2.13,,3.44,0.0,-1.15
