,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Sales Return and Allowances/Discounts,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Litigation Income/Expense,Merger and Acquisition Income/Expense,Write Off/Write Down of Other Assets,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.11488526745793654,-0.006736261506073367,-0.013671604819344037,-0.0763646724395008,-0.13933985745430794,-0.00872612213275069,-0.008619281176178729,-0.0738199250180483,-0.009961145524220333,-0.011326873027855554,-0.03622469149040705,-0.12181546890398387,-0.1294628981863034,-0.15858233054032722,-0.011396090521369707,-0.12118519818503479,-0.13623447115660484,-0.13623447115660484,-0.13051414758399288,-0.03389124730435393,-0.09153413551973212,-0.09062121495349977,-0.16583199944998814,-0.05135567736961991,-0.1643021372218501,-0.08342018074109708,-0.07295915436067905,-0.043392070182013284,-0.08324531491014164,-0.08324531491014164,-0.022983885272602603,-0.09237099325081678,-0.023604239653820636,-0.038491719153094996,-0.041760486402808876,-0.08353080563450155,-0.035337669394436194,-0.03789871650660044,-0.08368022152177054,-0.036173233709438146,-0.09237099325081678,-0.046054423706199964,0.005884639134709241,-0.13849879073323496,-0.12854505893140758,-0.16530366469255037,-0.16530366469255037,-0.16424377386209754,-0.15743105016929662,-0.15749248338841684,-0.03632956511325777,-0.036165222862455104,-0.013689470207026846,-0.04581834511871466,-0.04837031469692227,-0.05867415952124768,-0.0744573990308072,-0.07909681106467946,-0.1281750928477955,-0.07859527621991401,-0.04158683119086959,-0.074767126737563,-0.13728540483320228,-0.08051173814975102
Revenue per Share,0.030547813229696665,0.2858352865478953,0.24883808250817674,0.1058224678918745,0.04222791562702778,0.20771596810647583,0.07531109257595306,0.04427172520485192,0.06866398463326726,-0.027329175309289015,0.04892072275140417,0.036209795988219926,0.01453738496138542,-0.004684647061523648,0.004334877096202213,-0.012986975932722428,-0.005891862653009857,0.009292944682670445,-0.0018293873438486674,0.035084068774851825,0.021078103930127056,0.04949457197934917,0.05602994140229627,0.05446578047888206,0.062137407838019486,0.12426194243963035,0.04724767969959827,0.09516492237059702,0.13204559488637602,0.05446544203864355,0.12202874166578942,0.039335469156816204,0.04941340017188054,0.11626025720515003,0.09437765071225547,0.04960586484588715,0.013246325783659928,0.030395968430557575,0.09579110472430297,0.05192172255811282,0.06059690844962315,0.05289366064291712,0.05489805831168603,0.0034645032591099113,0.020926042099990126,0.013533821641635024,0.014296997673144306,0.05697051017118341,0.061861899677773856,0.04806931863978477,0.05780217783130816,0.1011292301357221,0.24416011635750764,0.05906051252576124,0.014735721016216344,0.050701901911670726,0.02062995409440906,0.03622047377991713,0.022064265519471965,0.017554919767526704,0.02039933507412845,0.01848689909206142,-0.01256161488939313,-0.006831193880966638
EBITDA per Share,0.014536497861576039,0.032089077182006764,0.0368774715287261,0.10998809931717803,0.0173347420209586,0.06537684243247789,0.06366976204855185,0.02290166436969263,0.026039315157069826,0.022030101485640215,0.020332842150868356,0.056482357019037685,0.02862752510529443,0.01185482508324851,0.033118013598333676,0.025194510613581786,0.013540395383094934,0.029760248337685716,0.040211919939391674,0.013582202934286329,0.037049023213217576,0.05781578028475027,0.031017687930146413,0.04682727863889355,0.04119245424996596,0.08515591646197737,0.0808914325513345,0.042546173916711144,0.08250609739514143,0.09135022641342316,0.07241532959907075,0.03673452021514031,0.07874959339303414,0.056273478044445116,0.07103606861179844,0.058339206863495,0.017054778116004338,0.049491894356868495,0.09603934158960911,0.017242545651516544,0.047688482016706876,0.005823240216399708,0.0657301670496833,0.03706523684419267,0.029709293991945263,0.03067780535576877,0.03217990522961367,0.030993186631260234,0.03126845966022139,0.019511287741940202,0.010615999227182283,0.015698627911639774,0.03365173157378686,0.01585665892209715,0.01112221347122443,0.05801460366945792,-0.002865532420056628,0.023715520437580885,0.03738028706871342,0.04686855128431056,0.01847104658512649,0.005157371044387555,0.018991394401978574,0.017312546544620153
EBIT per Share,0.017262949210015404,0.030600478940604473,0.03639372870263834,0.12093981765238536,0.01736532588594235,0.054463709193320796,0.058873473818015006,0.017049652450822295,0.030414405034612776,0.02199708821091692,0.02125226104398595,0.05771610972364008,0.03158412325529938,0.010098671507640447,0.032310518539518295,0.023572875897049338,0.01537458869257052,0.029651995151868175,0.03856277501848974,0.011695873873781591,0.03152495501361012,0.05796630013473169,0.016122128254710138,0.048151926735480334,0.03707886000378053,0.09017105098606006,0.08064980000113801,0.04194266848540138,0.08077861218775864,0.09131418321315249,0.084663443132746,0.03723853550399,0.07999183125057224,0.06214967777321141,0.0690460665569842,0.05779986297061615,0.01859560886509136,0.048555013098481696,0.0924849765977566,0.019471262143998917,0.04809797786779231,0.019295648175862337,0.0678891803358681,0.038487120375544345,0.029231494825252117,0.030970232561409478,0.03230763350460776,0.03300997979952018,0.025855588266947446,0.023085993619914938,0.02081855470464246,0.016291381136642337,0.028067551665857872,-0.015247224171483966,0.021923494121165142,0.05650117955405191,0.008231201866220025,0.03104285754246238,0.046104095500005424,0.045904119116662485,0.025983188601044187,0.01729803209939218,0.020497929427634266,-0.006664181311365046
Earnings per Share (Diluted),0.11544492232704412,0.1045649795533264,0.1192822906883415,0.0746364146909239,0.10710385132132223,0.15794201484564738,0.1797169248841137,0.1157079744724941,0.05374215602012145,0.014012164858186153,0.11246900093750928,0.08661187399855455,0.08031125777881594,0.07217665181938396,0.07192032953168062,0.033116722461676545,0.06093324621235628,0.06773746062773685,0.028764699135258347,0.10736038559242708,0.040796233663808225,0.08451821548015997,0.12434206731294327,0.12544437386042276,0.12044789060547446,0.17705356340751927,0.12532346161134686,0.1462184580092149,0.1126743119107643,0.12068520781138627,0.15381352347002514,0.15800569474932397,0.10057002876103203,0.15373084988889574,0.07115178550898937,0.11212322190272697,0.07594578313636818,0.0927804345347343,0.15124851737928768,0.10838267967694717,0.08741041134800487,0.12528628531144057,0.1215692412085281,0.01594261886729098,0.0667013034681052,0.12334173328325827,0.10038239145081083,0.11633319411288477,0.07592358459006898,0.1883584811731001,0.11848011443988568,0.16651737446858839,0.12243405894741355,0.12547057866794553,0.05186076434793195,0.11815126773013808,0.14117021309166872,0.16291790749680074,0.16062671682967009,0.15105046658722415,0.07640496548045969,0.1432275202234013,0.007551548214232464,0.09889302701058086
EPS without NRI,0.05711503714260837,0.03372086782181939,0.032746159863651904,0.09802803771680856,0.04502990833287317,0.14695145689743982,0.1410050549480599,-0.027388338965794574,-0.0019077702742366285,0.01592856297395064,0.061342381916143156,0.05313607492155987,0.02425431870223861,0.003725082207624114,-0.01690185089922078,0.014133077276210345,0.060193176418746046,0.07248854033949526,0.05808857661169639,0.10953118640312479,0.06864210663131702,0.08639983986716104,0.030121922385118835,0.014151512868287301,-0.002136469562055964,0.08299411467558923,0.0805766233115275,0.05986937060865946,0.04842043168874834,0.08183179575120544,0.07433008952183041,0.0313577988423154,0.03691812337104126,0.07365623395128217,0.0356575967735908,0.07928356288526499,0.10651624711582032,0.058490862603372384,0.03322762408674496,0.10491262591197136,0.03786798646063486,0.10655654985618788,0.11517944202691743,0.028016026599945253,0.026350420808714494,0.007587226908047713,-0.008186504620356473,-0.003526889496664928,-0.005535540711349216,0.0017175009687464705,0.04741445202964575,0.06939169572577299,-0.005551652055847105,0.0869530659817945,0.10349625089724959,0.16755453438489054,0.18897658462956754,0.1739950944094378,0.045078198164405905,0.04585907775240981,0.15274181365426182,0.21020782117282208,0.07435723170526568,0.056990646018267754
Owner Earnings per Share (TTM),0.08595168216220483,0.005387151665612016,0.037193349256108246,0.12783431875304213,0.07197574155025967,0.03407686109837371,0.08466319548919485,0.13898461009717947,0.07440438876012861,0.023098759264970938,0.0640520838303136,0.08778001674668093,0.09646198936732485,0.07700487271642435,0.07517817004621419,0.0917223736688298,0.07668253143389167,0.08190494423172678,0.0361540192486653,0.06383832484687582,0.05892545785243045,0.08233999047485366,0.1296580092551836,0.11601167236189186,0.09621073946053359,0.11057566086989268,0.10477498075808776,0.07729084789798052,0.1252668646350488,0.12900923150741142,0.20412635002770446,0.07651425006985431,0.1551235377496111,0.15052438329233203,0.1155690178764936,0.1234113207043541,0.02120197220170255,0.08717178419085067,0.20060911877768298,0.06526412825870163,0.06797123105176511,0.04604340504846152,0.12364281413654035,0.02017407008002178,0.08200492291590082,0.09087725901449098,0.0946966713619733,0.09278341112028482,0.13218662085469557,0.12667495345845026,0.05646328321413947,0.05342758866314196,0.05994105753370577,0.06295130617483158,0.034353806541479785,0.09172765718066717,0.015626214070044744,0.06255357341995402,0.16113861080938127,0.15978141433672494,0.013485079156433388,0.028533501535501105,0.006322484722127904,0.00851553694153847
Free Cash Flow per Share,0.027913046762350045,0.01411033757832613,0.015657359010618214,0.06451219537049036,0.03892153175757552,0.02470250050737805,0.028216870031391533,0.012472007974398479,0.026085536019564544,0.01445701322272716,0.007458770219725165,0.05618479350017624,0.03303149392212712,0.040980894372718936,0.029148590630344445,0.044109308397085045,0.024710777973290417,0.03172792279913634,0.04212201402350225,0.01163832905858949,0.0143696032788524,0.03538805217841577,0.0373390708485987,0.06923447309021076,0.0355660269128924,0.0433542710263812,0.044708976929631224,0.02593774410859365,0.04997556599033785,0.06073311170862466,0.06674862172019286,0.051518532246769416,0.057200961046984404,0.11306346006630784,0.08260141451794534,0.05454019619697789,-0.007430184406052876,0.04764232539585076,0.07161402334643212,0.0013017756901743992,0.041742195154579366,0.0041713281213695465,0.06402068956060146,0.025207181019996867,0.049372018832129626,0.02901264002595212,0.035666398267751954,0.031817245174122606,0.10078372887315214,0.10101230408430158,0.010134691034469507,0.005663357478006661,0.018743176182845683,0.019510140113727564,-0.010509361745852625,0.03492989315765985,-0.0017842201852265082,0.012020300158994824,0.05324636747668521,0.04828424490645116,-0.013981109164460756,-0.0005684288323875735,-0.00873395518836521,-0.011200253911655987
Operating Cash Flow per Share,0.04711341401545894,0.07977642574323761,0.09564570218447813,0.09760849333342664,0.01940153979355222,0.12133547774764449,0.13252141154253141,0.1138080118072542,0.039192383303781345,0.010274790130477551,0.03174641458261772,0.03884554185806104,0.04923267338900438,0.04868410917158456,0.05423017154309511,0.03090783734122252,0.031785666315028924,0.031527762781729675,0.033408828062057375,0.017380226200292892,0.0013285051501505606,0.014279000606946245,0.11021707838194386,0.1511539232433048,0.09838792760800762,0.0914914716539329,0.086299078453979,0.023594350542726943,0.09783580919575646,0.09154362154188707,0.14282150655687573,0.030202576154927056,0.07909723532475109,0.11628664285098723,0.06654161201818172,0.0851896990914057,-0.04019373494381609,0.058104996279207455,0.15538221663762408,0.01403095301308144,0.040766330122457325,0.014931134241712593,0.07936138058253055,0.015004416882831065,0.029696199672088815,0.1178902727102076,0.11715402847966164,0.029559591487426873,0.09340184570522102,0.08960276921242695,0.010591553417338345,0.09399781826990698,0.09454108686238899,-0.003539765685578371,-0.03314528762869312,0.081902686903283,-0.007500249018086176,0.05385729772890505,0.07089454242440872,0.04352299592876225,-0.04004442462571889,-0.02101400882846618,0.002819620078067707,0.004879713763348203
Cash per Share,0.0875364633950817,0.06504361144376479,-0.006945541428309072,0.08788774451307758,0.013125753548192896,0.13441745777709607,0.11878203212952691,-0.00030686346852381967,-0.018338989754647695,-0.012681127084796982,0.03455322809615017,0.052096734900424845,0.016236144742513073,-0.0009615640933337173,-0.013422197949336159,-0.0012378483990668904,0.006990054213630502,0.02629585197045824,0.019092240099958066,0.037757526318124415,0.0359792331549345,0.062223654817407985,0.02151526845957678,0.04728172718956369,0.024046223328103987,0.08716854914394771,0.06826167492344747,0.057059721212137066,0.07076551956027995,0.07879687703505234,0.06080430068537461,0.03324365205094856,0.056998145126392605,0.12774461407471946,0.05414475341368559,0.05903843025708159,-0.011674213642601905,0.05764853574270443,0.05608674474609985,0.034251119734684914,0.05181457222525864,0.0550536865308868,0.04436105037771603,0.024782573118933282,0.018489971939670502,0.004884495293175386,0.01442540218127646,0.019752986313061726,0.07027949244206244,0.057176994071972485,0.038403090146634365,0.03786948577355904,-0.014843180884499804,0.044916786123350115,0.040328615688580774,0.01605318907704337,0.041883115926475575,0.05636494167001817,0.05677799193495735,0.04317686544213804,0.0366728985768289,0.043555626886125326,0.001483404636282,0.02416198029001302
