,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Sales Return and Allowances/Discounts,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Goodwill Impairment/Write Off,Litigation Income/Expense,Merger and Acquisition Income/Expense,Write Off/Write Down of Other Assets,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Non-Controlling/Minority Interests,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,800.46,1551.32,1657.03,,-105.7,-750.87,-750.87,-574.25,-540.66,-169.96,,,-58.19,-23.7,-288.82,-23.37,-10.23,-10.23,-10.23,,0.0,0.0,226.2,-5.78,-10.45,-3.36,-3.36,,-7.09,-7.09,11.37,,11.37,,-9.69,-9.69,,,,,,,2.99,220.43,-59.36,161.07,161.07,161.07,161.07,161.07,,,1551.32,,1.58,1.58,1.58,1.58,101.68,101.85,1.58,1.58,101.68,101.85
2018,818.77,1631.54,1707.96,,-76.43,-812.77,-812.77,-625.0,-582.71,-179.89,,,-74.14,-24.35,-304.33,-27.57,-14.73,-14.73,-14.73,,,,193.77,14.66,-9.4,-0.29,-0.29,,-9.11,-9.11,9.35,,9.35,,-1.07,-1.07,,,,,,,15.77,208.43,-53.52,154.9,154.9,154.9,154.9,154.9,,,1631.54,,1.52,1.52,1.51,1.51,101.73,102.25,1.52,1.51,101.73,102.25
2019,785.0,1581.6,1463.7,117.9,,-796.6,-796.6,-673.2,-610.3,-172.1,,-172.1,-50.3,-22.8,-365.1,-30.3,-32.6,-32.6,,,,,111.8,-26.8,-11.7,-3.2,-4.8,1.6,-8.5,-8.5,-5.8,,-5.8,,-8.3,-5.6,,,,,-2.7,,-1.0,85.0,-20.7,64.3,64.3,64.3,64.3,64.3,,,1581.6,,0.63,0.63,0.62,0.62,102.1,102.9,0.63,0.62,102.1,102.9
2020,727.9,1570.6,1570.6,,,-842.7,-842.7,-666.8,-591.4,-184.5,,-184.5,-46.7,-26.9,-333.3,-34.5,-37.7,-37.7,,-3.2,,,61.1,-51.7,-12.1,-6.3,-6.3,,-5.8,-5.8,-27.6,,-27.6,,-4.2,-0.9,,,,-3.3,0.0,,-7.8,9.4,36.1,45.5,45.5,45.5,45.5,45.5,,,1570.6,,0.45,0.45,0.44,0.44,102.0,104.2,0.45,0.44,102.0,104.2
2021,1056.6,2042.4,2042.4,,,-985.8,-985.8,-776.0,-711.1,-241.8,-2.8,-239.0,-50.4,-34.1,-384.8,-27.4,-33.5,-33.5,,-4.0,,,280.6,-18.6,-10.2,-3.3,-4.4,1.1,-6.9,-6.9,4.4,0.9,2.9,0.6,-14.0,-2.6,-1.9,0.0,-9.5,,,,1.2,262.0,-63.4,198.6,198.6,198.6,198.6,198.6,,,2042.4,,1.94,1.94,1.89,1.89,102.3,105.3,1.94,1.89,102.3,105.3
