,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,"Trading/ Listed Investments, Current","Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Other Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Notes Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Dividends Receivable, Current","Accrued Interest Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,"Assets Held for Sale/Discontinued Operations, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,"Machinery, Furniture and Equipment",Plant and Machinery,"Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Other Property, Plant and Equipment",Accumulated Impairment of PPE,Investment Properties and Properties Held for Development,Gross Investment Properties and Properties Held for Development,Accumulated Depreciation of Investment Properties and Properties Held for Development,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Licenses and Rights,Research and Development,Other Intangible Assets,Software and Technology,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Software and Technology,Total Long Term Investments,Long Term Equity Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current","Other Financial Assets, Non-Current","Debt Securities, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Loans Receivable, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Trade Notes Payable, Current","Dividends Payable, Current","Interest Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt","Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Derivative and Hedging Liabilities, Current","Other Financial Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current","Other Payables, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Other Equity Interest,Non-Controlling/Minority Interests in Equity,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Beyond,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,160293.98,80095.91,29690.73,27459.45,27226.6,232.86,2231.28,2231.28,,12946.3,2911.42,891.02,9000.87,142.99,24835.89,14747.22,15131.49,-384.27,6170.35,,3853.59,11.1,53.62,910.22,11712.77,,80198.08,47373.22,69736.43,12333.63,41306.45,41201.9,104.55,14775.24,,1321.12,-22363.22,-22363.22,-2110.02,-19013.67,-18948.36,-65.31,-1239.53,,859.89,2082.08,-1222.19,7665.85,9447.15,420.53,9026.62,330.6,4705.55,872.8,1135.44,1982.23,-1781.3,-1781.3,-1781.3,-131.69,-367.29,-625.3,-657.02,18554.07,15352.01,3202.06,,,,3202.06,3202.06,,,,871.84,929.12,3944.09,106151.05,72247.8,42106.93,42106.93,19324.25,2061.47,47.11,444.85,1273.79,18955.47,22711.45,21957.63,16030.1,16030.1,,5927.53,,753.82,,,7429.42,33903.25,30780.63,30780.63,30780.63,10497.25,20283.38,,271.16,271.16,2664.88,2664.88,101.83,101.83,76.31,25.52,84.76,54142.94,29747.06,18416.33,18416.33,13514.97,4901.36,,8577.69,2753.04,1494.3,1039.11,219.63,,,24395.87,,,,,,,,,,,,,,,
2018,192763.94,80307.8,27938.92,26801.34,26576.41,224.94,1137.58,1137.58,,19887.97,3400.12,992.22,11674.46,3821.17,23595.96,13604.36,14039.25,-434.89,4272.22,,5600.85,47.75,70.78,1194.97,7671.18,18.79,112456.14,74907.72,102065.48,13062.16,47864.91,47752.42,112.5,38924.59,,2213.82,-27157.76,-27074.94,-2410.86,-23302.95,-23235.24,-67.71,-1361.14,-82.82,1676.21,2949.55,-1273.34,7323.49,9495.73,357.11,9138.62,346.16,4188.13,1011.5,972.64,2620.19,-2172.24,-2172.24,-2172.24,-159.09,-463.33,-666.31,-883.52,21227.95,16957.11,4270.85,,,,4270.85,4270.85,1123.8,,1123.8,797.88,1861.33,3537.76,131892.27,78835.4,53743.99,53743.99,23922.71,3092.57,22.55,586.82,716.53,25402.8,22239.11,21481.96,15472.04,13472.04,2000.0,6009.92,,757.15,,,2852.31,53056.87,49850.55,49850.55,49850.55,12985.63,36864.92,,440.35,440.35,2637.23,2637.23,24.25,24.25,73.9,24.25,30.59,60871.67,30494.37,18416.33,18479.79,13549.65,4930.14,-63.46,10000.97,2077.06,2184.26,1066.6,-1173.8,,,30377.31,,,,,,,,,,,,,,,
2019,164844.89,48155.52,24722.94,18648.19,18208.74,439.44,6074.75,6074.75,159.04,5677.96,1171.94,611.26,3894.77,0.0,11319.34,8340.35,8385.37,-45.02,228.94,,2744.27,5.77,0.0,364.42,5911.83,,116689.36,79037.36,108266.04,16407.25,56515.38,56430.8,84.59,33578.29,,1765.13,-29228.68,-29212.13,-1875.29,-26680.23,-26629.56,-50.66,-656.61,-16.56,82.27,135.12,-52.85,7235.51,9051.99,2.45,9049.54,3302.02,3477.92,1548.47,721.13,,-1816.49,-1816.49,-1816.49,-1080.73,-334.89,-400.87,,20037.23,17194.28,2842.95,279.88,2542.69,20.37,,,3637.77,,3637.77,840.87,1567.69,4250.66,100961.74,43057.79,26884.12,26884.12,11549.13,1720.4,11.06,0.0,226.81,13376.73,15962.9,14334.84,12642.88,12642.88,,1691.96,84.71,1543.35,,,210.77,57903.95,54991.14,54991.14,54991.14,16479.09,38512.06,,952.68,952.68,1912.42,1912.42,23.02,23.02,24.21,23.02,0.48,63883.14,30111.95,16499.69,18452.65,13528.44,4924.21,-1952.96,11115.15,2497.1,2238.37,792.46,-533.72,,,33771.2,0.06,0.03,0.02,0.01,0.01,0.06,0.03,0.02,0.01,0.01,0.06,0.03,0.02,0.01,0.01
2020,257908.28,65688.46,27008.95,21708.91,17956.02,3752.89,5300.05,5300.05,453.58,8834.96,2815.41,1686.69,4332.86,,18307.33,12557.61,12838.9,-281.28,595.69,183.65,4970.38,,,1355.65,9367.06,360.94,192219.82,124338.21,169653.86,24344.12,107186.28,107045.62,140.66,31508.31,,6615.16,-45315.65,-43965.58,-3137.62,-38704.48,-38615.0,-89.47,-2123.48,-1350.07,1664.2,1841.75,-177.55,19101.31,22070.14,6943.27,15126.88,6206.47,5788.72,2104.0,1027.69,,-2968.84,-2968.84,-2968.84,-1864.17,-569.35,-535.32,,28707.72,24047.04,4660.68,1333.68,3055.6,271.41,,,1760.77,778.89,981.88,1578.09,2536.67,12532.85,167851.21,71016.51,38590.7,38590.7,16468.93,4725.61,1.29,0.0,670.06,16724.8,29976.24,26213.3,12783.63,12783.63,,13429.67,384.9,3378.04,2004.0,2004.0,445.57,96834.7,91630.18,91630.18,91630.18,18040.77,73589.4,,2386.5,2386.5,1509.87,1509.87,27.86,27.86,1280.3,27.86,0.0,90057.07,34107.8,17560.14,19473.17,14030.79,5442.39,-1913.03,14009.49,2307.92,2452.89,0.0,-144.98,,230.24,55949.27,,,,,,,,,,,,,,,
2021,308733.13,87183.29,38994.95,31393.69,29531.8,1861.89,7601.26,7601.26,70.93,14083.36,3981.86,2383.68,7717.81,,25924.77,18238.78,18657.74,-418.96,776.2,233.53,6676.26,,,2306.33,5802.96,,221549.84,152972.09,229223.63,36809.49,144497.53,144268.57,228.96,36965.89,2426.91,8523.82,-76251.54,-74422.78,-6424.32,-65057.78,-64912.28,-145.5,-2940.68,-1828.76,761.9,989.23,-227.33,25649.91,29846.39,9158.84,20687.55,8083.66,8649.65,2508.42,1445.82,,-4196.48,-4196.48,-4196.48,-2654.16,-802.84,-739.49,,29271.94,25640.58,3631.36,927.32,2704.04,,,,651.12,651.12,,2153.35,2640.53,7449.01,189087.84,80778.94,51510.83,51510.83,24297.86,3275.3,34.61,0.0,1238.85,22664.21,25398.55,23785.25,10778.49,10778.49,,13006.77,22.21,1591.09,2593.88,2593.88,1275.68,108308.9,101447.44,101447.44,100345.36,13066.28,87279.08,1102.07,3158.99,3158.99,2361.21,2361.21,1341.28,1341.28,671.34,669.93,0.0,119645.29,43034.24,18213.35,20098.91,14030.64,6068.27,-1885.56,22458.34,2162.21,2550.17,11.0,-398.96,,200.33,76611.06,,,,,,,,,,,,,,,
