,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,"Trading/ Listed Investments, Current","Cash Restricted or Pledged, Current","Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Other Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Loans Receivable, Current","Notes Receivable, Current","Dividends Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Accrued Interest Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current","Assets Held for Sale/Discontinued Operations, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,"Machinery, Furniture and Equipment",Plant and Machinery,"Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Other Property, Plant and Equipment",Accumulated Impairment of PPE,Net Mineral Property Interests and Exploration Assets,Investment Properties and Properties Held for Development,Gross Investment Properties and Properties Held for Development,Accumulated Depreciation of Investment Properties and Properties Held for Development,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Licenses and Rights,Research and Development,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Other Intangible Assets,Biological Assets,Total Long Term Investments,Long Term Equity Investments,"Investment in Financial Assets, Non-Current","Debt Securities, Non-Current","Equity Securities/Shares, Non-Current","Other Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Loans Receivable, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Trade Notes Payable, Current","Dividends Payable, Current","Interest Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Derivative and Hedging Liabilities, Current","Other Financial Liabilities, Current","Provisions, Current","Other Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Discontinued Operations Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current","Other Payables, Non-Current",Other Non-Current Liabilities,Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Equity Attributable to Holders of Perpetual Capital Securities,Other Equity Interest,Non-Controlling/Minority Interests in Equity,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Beyond,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,7059.95,3602.06,1812.62,1812.62,1793.0,19.61,,,,,286.91,203.8,4.21,78.91,,293.67,223.74,241.12,-17.38,,0.0,,,0.5,69.43,92.97,0.79,1115.1,3457.89,2654.88,3106.95,1264.84,1281.53,1246.83,34.7,470.22,,90.36,-452.07,-451.35,-128.93,-281.86,-262.7,-19.16,-40.56,-0.72,,,,,523.07,579.23,18.94,560.29,,,407.77,14.15,138.37,-56.16,-56.16,-56.16,,,-23.42,-32.74,,100.54,0.0,100.54,,,,100.54,100.54,,,,100.75,73.64,5.0,2145.18,1815.03,963.48,963.48,552.06,,,0.98,211.33,199.11,316.07,316.07,311.07,311.07,5.0,,,,,,,,535.48,330.15,252.5,252.5,252.5,,252.5,,2.86,2.86,74.8,74.8,,,,,0.0,,4914.77,4471.38,2269.76,2269.76,923.43,,1346.33,,1827.47,374.16,241.2,132.96,,,,443.38,,,,,,,,,,,,,,,
2018,7811.97,3668.12,2164.95,2164.95,2132.2,32.76,,,,,302.89,240.08,5.14,57.67,,627.91,406.57,431.75,-25.18,,189.52,0.0,,0.73,31.09,61.96,0.79,509.62,4143.85,2979.6,3631.34,1403.54,1546.49,1506.44,40.04,576.85,,104.47,-651.74,-651.02,-193.38,-402.54,-380.11,-22.43,-55.1,-0.72,,,,,598.18,686.95,18.94,668.01,53.69,92.66,506.97,14.69,0.0,-88.77,-88.77,-88.77,-18.9,-36.59,-33.28,,,317.49,3.99,313.5,,,,313.5,313.5,,,,136.73,78.96,32.88,2453.59,2188.3,1079.03,1079.03,671.73,0.0,0.0,0.8,188.72,217.78,503.73,503.73,426.87,426.87,76.86,,,,,,,,605.54,265.28,176.92,176.92,176.92,,176.92,,13.19,13.19,75.18,75.18,,,,,0.0,,5358.38,4832.35,2101.88,2269.76,923.43,,1346.33,-167.88,2315.16,415.3,297.04,128.88,-10.61,,,526.03,,,,,,,,,,,,,,,
2019,8484.01,4127.57,2614.95,1339.72,1288.7,51.01,1275.23,1275.23,,,338.85,223.93,9.49,105.42,,1082.28,693.64,721.89,-28.25,,346.93,0.0,,0.71,41.0,37.74,0.79,52.96,4356.45,3258.89,4162.53,1699.68,1818.83,1778.06,40.76,527.71,,116.31,-903.64,-902.37,-274.96,-554.78,-528.77,-26.01,-72.62,-1.28,,,,,564.77,680.54,18.94,661.6,17.43,109.7,506.97,5.46,22.04,-115.77,-115.77,-115.77,-15.48,-46.7,-43.92,-9.67,,263.74,38.55,225.19,,225.19,,,,,,,167.43,77.63,23.99,2574.73,2444.45,1397.45,1397.45,776.17,58.97,0.0,0.96,190.67,370.68,442.42,442.42,313.0,313.0,129.42,,,,,,,,604.58,130.28,30.0,30.0,30.0,,30.0,,21.81,21.81,78.48,78.48,,,,,0.0,,5909.28,5444.55,2064.59,2064.59,912.37,,1152.22,,2894.22,485.74,373.05,151.67,-38.99,,,464.73,,,,,,,,,,,,,,,
2020,10868.02,6021.56,3515.76,2556.51,2466.77,89.74,959.25,959.25,0.0,0.0,492.75,299.33,6.78,186.23,0.41,1902.73,840.46,883.25,-42.79,0.0,943.64,0.0,20.41,0.0,98.23,54.3,0.0,56.03,4846.46,3316.25,4472.03,2113.44,2012.66,1972.36,40.29,215.23,0.0,130.7,-1155.78,-1155.78,-346.4,-719.4,-692.94,-26.47,-89.98,0.0,0.0,25.82,44.13,-18.31,578.31,717.12,18.94,698.18,17.43,119.06,536.83,2.82,22.04,-138.81,-138.81,-138.81,-15.48,-58.08,-53.63,-11.62,0.0,697.26,39.88,657.38,,195.67,461.71,,,0.0,0.0,0.0,159.2,60.76,8.86,4245.69,4035.72,2095.56,2095.56,1128.62,186.8,0.0,0.0,399.08,381.06,1053.3,1053.3,979.73,979.73,73.57,0.0,0.0,0.0,0.0,793.2,793.2,0.0,93.66,209.97,96.5,96.5,96.5,0.0,96.5,0.0,34.8,34.8,78.67,78.67,0.0,0.0,0.0,0.0,0.0,0.0,6622.33,6122.84,2064.59,2064.59,912.37,0.0,1152.22,0.0,3495.97,562.28,434.18,151.67,-23.58,0.0,0.0,499.49,,,,,,,,,,,,,,,
2021,12427.54,5543.32,3347.61,2710.21,2610.81,99.4,637.4,637.4,0.0,0.0,741.1,388.89,4.14,348.08,0.0,1275.92,1028.04,1456.19,-428.15,0.0,151.68,0.0,34.82,0.0,61.38,91.92,0.0,86.77,6884.22,3871.51,5329.32,2354.39,2130.43,2089.55,40.88,591.84,117.65,135.02,-1457.81,-1457.81,-453.78,-904.92,-878.87,-26.05,-99.11,0.0,0.0,23.91,44.13,-20.22,1779.19,1964.65,18.94,1945.71,17.43,125.68,1777.74,2.82,22.04,-185.47,-185.47,-185.47,-15.48,-68.28,-88.13,-13.57,0.0,868.03,61.36,806.67,0.0,203.76,602.91,,,0.0,0.0,0.0,119.34,77.94,144.3,6491.34,5293.24,2347.98,2347.98,1346.67,211.5,0.0,0.0,297.64,492.17,1398.97,1398.97,1302.39,1302.39,96.58,0.0,0.0,0.0,0.0,984.63,984.63,0.0,561.67,1198.1,1094.85,1094.85,1016.61,0.0,1016.61,78.25,21.65,21.65,81.57,81.57,0.0,0.0,0.0,0.0,0.02,0.0,5936.2,5640.65,1964.59,2064.59,912.37,0.0,1152.22,-100.0,3029.4,646.66,476.16,167.79,2.71,0.0,0.0,295.55,132.66,47.18,32.84,19.99,32.65,132.66,47.18,32.84,19.99,32.65,132.66,47.18,32.84,19.99,32.65
