,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Other Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Notes Receivable, Current","Dividends Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Accrued Interest Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments","Accumulated Depreciation of Other Property, Plant and Equipment",Accumulated Impairment of PPE,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Licenses and Rights,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Other Intangible Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Trade Notes Payable, Current","Dividends Payable, Current","Interest Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Trade/Accounts Payable, Non-Current","Other Payables, Non-Current",Other Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due Beyond,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due Beyond,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1542.73,960.0,311.68,311.68,237.13,74.55,246.1,62.97,6.42,110.29,66.41,316.96,267.52,294.4,-26.88,32.79,,,,16.65,68.94,16.33,582.73,530.5,932.34,299.66,602.55,592.74,,9.8,13.63,16.51,-401.84,-376.64,-47.56,-316.39,-311.16,,-5.23,-12.69,-25.2,32.15,41.08,41.08,3.25,37.84,0.0,-8.94,-8.94,-8.94,-2.86,-6.08,,1.0,1.0,,1.0,1.0,13.82,,5.26,647.33,515.19,300.09,300.09,122.27,157.92,,0.23,8.56,11.11,162.16,162.16,162.16,162.16,,,,52.94,132.14,0.37,0.37,51.14,51.14,71.23,71.23,71.23,,9.41,,,,,895.4,895.46,602.83,602.83,216.0,386.83,240.96,51.66,54.69,0.0,-3.03,,-0.06,,,,,,,,,,,,,
2018,1403.98,833.33,62.4,62.4,27.36,35.04,201.17,185.02,9.44,91.82,155.74,540.84,277.83,607.81,-65.03,5.32,,,,257.69,14.27,14.66,570.65,506.64,912.81,317.09,570.95,561.34,,9.6,8.11,16.67,-406.17,-377.05,-56.16,-307.79,-301.94,,-5.84,-13.1,-29.12,31.06,41.08,41.08,3.25,37.84,0.0,-10.02,-10.02,-10.02,-3.09,-6.93,,1.0,1.0,,1.0,1.0,20.03,,11.92,681.27,495.25,293.68,293.68,127.5,80.29,,,15.47,70.41,164.04,164.04,164.04,164.04,,,,37.53,186.01,0.9,0.9,42.97,42.97,123.9,123.9,123.9,0.0,18.24,,,,,722.72,722.75,602.83,602.83,216.0,386.83,70.37,49.55,55.92,0.0,-6.37,,-0.03,,,,,,,,,,,,,
2019,1275.01,747.9,249.36,249.36,14.18,235.18,130.92,27.22,2.76,61.14,39.79,344.27,262.95,318.52,-55.57,9.35,,,,71.97,5.62,17.74,527.11,449.82,915.95,319.63,571.44,561.84,,9.6,8.14,16.75,-466.13,-431.06,-65.73,-351.43,-344.86,,-6.57,-13.9,-35.07,38.74,50.99,50.99,3.29,47.7,0.0,-12.26,-12.26,-12.26,-3.25,-9.01,,1.0,1.0,1.0,,,31.09,,6.46,644.84,561.24,299.71,299.71,117.27,85.96,0.01,0.36,17.53,78.59,229.91,229.91,201.47,201.47,28.44,,,31.62,83.6,0.85,0.85,29.23,29.23,25.91,25.91,25.91,0.0,27.61,,,,,630.17,632.33,602.83,602.83,216.0,386.83,-17.87,47.37,55.92,0.0,-8.55,,-2.16,,,,,,,,,,,,,
2020,989.98,545.31,13.33,13.33,9.43,3.9,122.31,19.8,3.84,98.67,,379.68,266.58,332.8,-66.21,29.02,,43.72,,40.36,8.87,21.12,444.67,366.06,900.71,321.94,570.61,552.63,13.41,4.56,8.17,0.0,-534.65,-462.48,-76.34,-386.14,-373.73,-10.28,-2.13,,-72.17,39.47,51.9,51.9,3.9,48.0,0.0,-12.43,-12.43,-12.43,-3.32,-9.11,,1.0,1.0,1.0,,,31.62,,6.53,482.92,438.76,230.43,230.43,95.65,39.62,0.01,0.39,8.24,86.51,164.68,164.68,153.31,153.31,11.38,34.68,34.68,8.97,44.16,0.8,0.8,15.49,15.49,,,,,27.87,,,,,507.06,509.01,602.83,602.83,216.0,386.83,-148.97,55.14,55.92,0.0,-0.78,,-1.95,198.56,156.85,7.87,23.84,10.0,198.56,156.85,7.87,23.84,10.0,,,
2021,1389.78,660.64,141.87,141.87,30.66,111.22,151.71,21.47,6.23,124.0,,316.95,277.8,409.84,-132.05,9.93,0.0,3.61,1.5,24.11,9.28,40.82,729.14,659.57,976.23,323.74,293.72,280.89,7.33,5.5,358.78,0.0,-316.66,-252.83,-86.04,-166.79,-159.99,-4.87,-1.92,,-63.83,38.19,51.9,51.9,3.9,48.0,0.0,-13.71,-13.71,-13.71,-3.54,-10.17,,1.0,1.0,1.0,,,19.54,0.59,10.24,1081.44,736.74,368.83,368.83,265.89,54.07,0.01,7.45,3.47,37.95,356.19,356.19,354.58,354.58,1.61,4.08,4.08,7.64,344.71,0.61,0.61,19.78,19.78,231.21,231.21,231.21,0.0,93.11,,,,,308.33,310.77,602.83,602.83,216.0,386.83,-350.6,58.54,55.92,0.0,2.62,,-2.44,340.19,292.27,15.09,5.07,27.75,340.19,292.27,15.09,5.07,27.75,,,
