,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,Operation and Maintenance Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Other Net of Taxes Adjustments,Other Adjustments to Net Income Available to Common Stockholders,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.12780011044295858,-0.004112345502133786,-0.012121117145447113,-0.09415816197955218,-0.09407987012274667,-0.09456949726863761,-0.09126330885723062,-0.0048439469580159366,-0.004927193750145894,-0.00812452775826192,-0.008654904721794482,-0.08358700624762201,-0.12170239082088176,-0.1101719144096303,-0.11090948999693424,-0.031448175603832416,-0.037115000334681014,-0.01045781364634459,-0.030051595066235073,0.0008089310553860162,-0.11019206406267243,-0.11019206406267243,-0.10035465708707698,-0.12763024921784705,-0.09153413551973212,-0.09062121495349977,-0.04973657217396439,-0.05118593617415717,-0.11043823417521174,-0.02402043018705391,-0.128367824805151,-0.12909218832080488,-0.10131161015726264,-0.11063708887840794,-0.05672685719320257,-0.05001869257796442,-0.05001869257796442,-0.046054423706199964,-0.05096606653111382,-0.10243229655504296,-0.03558904724623324,-0.061641205945183616,-0.11920687881188487,-0.08032220502085219,-0.15803025233490997,-0.009009996364789013,-0.03558904724623324,-0.011360466975753955,-0.09480468188609978,-0.15323885592378433,-0.07536281715536293,-0.11590532158690607,-0.10943720451848121,-0.10943720451848121,-0.050911425018566304,-0.10837731368802841,-0.10126467513154902,-0.03632956511325777,-0.036165222862455104,-0.01137668682809547,-0.10207524767533468,-0.10936574170750626,-0.036165222862455104,-0.037530264485052076,-0.05031374250491791,-0.05747378092110713,-0.045066154525626054,-0.05065821917826761,-0.11977670145677663,-0.11965216761050577,-0.0015117980591562027,0.004957406184115451,-0.03726222479594557,-0.030068854365428624,-0.048631102928543515,-0.04877948746154345,-0.1292550679715137,-0.12096781442225768
Revenue per Share,0.029932260120029672,0.37764192951336784,0.3475851845753671,0.09234174494366702,0.04997376515238264,-0.05564429639802803,0.10568217228702535,0.19879487101962967,0.18125831954915378,0.05601274702820841,0.08574142669410204,0.06158356320476207,0.014155366459531514,-0.007854324756742819,0.016014054425414242,0.06397461603115823,0.0269960961188271,0.11148444032604184,0.054706037348240956,0.11006673855852331,-0.013275584854345593,0.0006131037162758679,-3.400031664418761e-05,0.0009841322683676558,0.021078103930127056,0.04949457197934917,0.08498262752239638,0.08636916513699937,0.05250661178504024,0.17730065333644715,0.06594501748869278,0.06832506053949726,-0.01053378123428526,0.06004221648759828,0.10597071640203477,0.09025438731025077,0.012021525879383288,0.1171242681619028,0.0828976477080359,0.03783624208860009,0.04484718169655594,0.10840952869973776,0.003159214363220659,0.039638759375609435,0.0828236520507743,0.15643520184330703,0.04447361410977827,-0.014202359904886115,-0.006471471300770783,0.05915249207619787,-0.011176014550444945,0.020955611568274433,-0.029842374324769667,-0.028940878220185245,0.015223110405243675,0.01321716040597644,0.016294434866761055,0.05780217783130816,0.1011292301357221,0.3433974226303505,0.0167774325956312,-0.05476312895555477,0.055230135116750664,0.10492190286955064,0.05317729885661818,0.07600611050906769,0.06368955527340983,0.07504177496557665,-0.0018104513576808383,-0.003206902576438949,0.041254226224539066,0.04002630586855068,0.13621157851788843,0.14510020322018688,0.038225349150938434,0.04091733550922866,-0.012138483684482188,-0.005069175102438396
EBITDA per Share,0.018793069424651893,0.1509307013043917,0.15352843180830683,0.052580830656808665,-0.011057177360432867,0.000951454699099726,0.04198909342839218,0.17744171334353948,0.1764903605555947,0.05512612224724603,0.06616233839853618,0.08173609115254211,0.026430506546147495,-0.010672460761702442,0.0013175756583432147,0.07081122510490641,0.08449435055914174,0.16433874317917793,0.08729283477382008,0.18041948218798487,-0.0031657222714398625,0.011878748867471676,0.01639663214498226,0.027133794178422738,0.037049023213217576,0.05781578028475027,0.07477325577897159,0.07787889509837471,0.021236773652309145,0.11256633948287156,0.030167097546099152,0.027510832444776742,0.012981167594797137,0.008963851352181165,0.05120948006003127,0.06547630038689059,0.07411965625972136,0.02203385737176718,0.05140109222019946,0.051782995566463985,0.057125743168673235,0.057916112426873986,0.03582461411070174,0.09333875714204723,0.03688802380302828,0.16449946767019177,0.0731806007346002,0.016262907455509124,0.03593036156243777,0.05213586740306845,0.02531506600258312,0.025871977995608093,-0.008522554019898758,-0.0069475282466853125,0.057490576877343484,-0.008190694546128521,-0.005432310621834233,0.010615999227182283,0.015698627911639774,0.15112420815574662,0.0005610420081141538,0.0008040111820386336,0.02378264581671495,0.006587268302199979,0.05460642047726799,0.07626856524227651,0.06028435495537653,0.07775757511024861,0.027487255722356014,0.041328220110240496,0.03833951538078429,0.04585548526448041,0.08215736091294977,0.08116951649324285,0.051424293804363606,0.058659230648090414,0.01713505026013698,0.017253182024749802
EBIT per Share,0.02201166917525108,0.153664922075644,0.15997271322476256,0.06188063640590859,-0.012431422590313547,0.004959864220742017,0.04215924995044179,0.1762540955972133,0.17935412781320226,0.04895393971936465,0.060524215405939726,0.08324475559148231,0.028815649264772262,-0.0128868555991136,0.0017640228767681516,0.06487340209778919,0.0834623601128523,0.16620100339456614,0.08676911028685112,0.17741402730102537,-0.0018029454915323376,0.0117506998271962,0.01176952242762258,0.024357858019686176,0.03152495501361012,0.05796630013473169,0.07522027860348086,0.07824290776665492,0.007896515284980235,0.11277399553606571,0.027133309723118518,0.03200801093496312,0.012739535044600646,0.0143497762242209,0.049930997238598826,0.06479192672917924,0.0746563330614338,0.022483641593076392,0.06604645403760968,0.05217277945448171,0.06076830579500059,0.05948110575938429,0.03716438022832369,0.09214288677101136,0.04167908934845869,0.17473735805012733,0.08805752714819862,0.014786471213159354,0.03562405301459826,0.053309553819357494,0.02415109144373578,0.02303914105714585,-0.008230126814258052,-0.006819799971691215,0.02277553961283617,-0.007200830032746184,-0.008743860552423084,0.02081855470464246,0.016291381136642337,0.1501311327395112,-0.0009830082422133029,0.001887944604540278,0.015066017733127624,0.009194311691943235,0.06627037339756409,0.07601405652972852,0.07312419264247988,0.07397719888504839,0.035887902899355235,0.04120574409391065,0.04512789629723864,0.054655430959697104,0.08581008970463484,0.07663240099655674,0.059312296564186746,0.07145384530413189,0.01620425018813977,-0.006723545831235399
Earnings per Share (Diluted),0.11383629032174881,0.1993374833304099,0.20838800869502236,0.06753475318925163,0.010518652779823886,0.045509214286458585,0.0699543733269558,0.24073101758554316,0.1496037022455079,0.1082489136536539,0.17570641495112727,0.09443959539886722,0.07966516690506738,0.07099935511178213,0.06695960657237941,0.09936778413331952,0.07297380639066287,0.20562287487339176,0.10052969749081431,0.15511092506391047,0.048744736482415736,0.05571623113686682,0.042145362962609054,0.07498811450908414,0.040796233663808225,0.08451821548015997,0.07342883660576073,0.09365050816213602,0.11997203958634531,0.23411112321875818,0.12489853089550398,0.12846216142772277,0.0665793526759446,0.11655174564240166,0.16323354260555503,0.06758494309981605,0.07419522427720503,0.16903506854005293,0.12363225064476482,0.1438581044051319,0.16377824860956988,0.14861647478554751,0.04666148208567379,0.09957329965953716,0.12981986919902144,0.1790120676655665,0.11542028478769192,0.05231353482922349,0.03907942026338171,0.08946397935040162,0.01865262448497127,0.07364695226635312,0.06036030039504842,0.038463487435733565,0.07682407101210667,0.05474692446511209,0.012789819753407676,0.11848011443988568,0.16651737446858839,0.21066571648569007,0.07449823393308556,-0.009196931672143248,0.11670257055445127,0.1261837773841108,0.07383336838243887,0.13038786169722674,0.14151341531506295,0.16157108583185106,0.11918048587869944,0.10956471274651876,0.1120121793671257,0.14586294472320077,0.3192681623923476,0.1650990621011363,0.08268618653448981,0.12339508520740763,0.008319316408538755,0.09959338707763264
EPS without NRI,0.055370763780012926,0.11781885991929444,0.10962112605324155,0.08947251112169344,0.010826928568100032,0.006017276122340615,0.09039667785599831,0.08363929722255639,0.07248875427571089,0.13449806891951593,0.14657268834898954,0.06955551928807027,0.02494576449371196,0.0017634269830773411,0.034064573609879044,0.08462196185946215,0.06759156730814542,0.11221418081281444,0.051905833279971295,0.13637918374490346,0.04991446433604236,0.06004418607308347,0.06743548209819869,0.07435468742213598,0.06864210663131702,0.08639983986716104,0.05134354743306136,0.039990746895377335,0.027773556328201117,0.11004144193172569,0.007963565653223603,0.04084616572516471,0.027152201132262806,0.044581553287714445,0.06428565031690836,0.002721916515480767,0.035877532756404054,0.08988684035526173,0.03788967372716451,0.01806495718910519,0.03464438780553886,0.019607500241829272,-0.010709404359918705,0.09243398843226135,0.05115545885961443,0.14851956853733655,0.09658832809162324,0.020087163461447184,0.03519866511031261,0.08455391700720508,0.021652884456299926,0.032680211932133135,-0.05093257633623588,-0.0662721070844754,0.03876116861616319,-0.05727890207480476,-0.05909637726416932,0.04741445202964575,0.06939169572577299,0.0711562189715063,-0.030026290124531296,-0.01334976472741004,0.1216245728784836,0.041874231694119086,0.1073911592172029,0.17294515163278448,0.1857447219981515,0.17123362332571007,0.005503690962037669,0.006559419385804783,0.15690136987197906,0.16431240015943938,0.060764297623698706,0.06451959171542544,0.14370123589566283,0.18654078744384475,0.07398868654989953,0.05620709395060762
Owner Earnings per Share (TTM),0.08786620578256327,0.12174432862445822,0.16441907468563136,0.08811154760321491,0.07970317420315173,0.13991698849586223,0.08300313918756991,0.17067303463551636,0.10294023207877487,0.036155920527727106,0.08354821134887629,0.11440109427255465,0.09006438402239483,0.05388974786323611,0.05468709187974438,0.13363157335026302,0.10752931584970993,0.09191281080955398,0.1346763744699619,0.10942790986040195,0.0551731280387935,0.060542235430694674,0.012484991557194925,0.08533605683020891,0.05892545785243045,0.08233999047485366,0.11573977597087225,0.11542179403118458,0.11690983354954516,0.02978339445954152,0.0803660439239925,0.06103492421986164,0.04189919128294942,0.05561003849637035,0.0900400154215333,0.117349861880703,0.12109222875306563,0.04808271234926952,0.1684332831245924,0.08604709134550605,0.11766696456694156,0.16195443464204262,0.08196488537092209,0.13506255360538472,0.1436078990546674,0.08778039409831809,0.11866463406483416,0.07750024586000198,0.09584961641230158,0.11595877898760219,0.02251292103259897,0.07154738838665822,0.038669114793962484,0.04337643816223278,0.11708695651880313,0.03908151107335725,0.07594664839545773,0.05646328321413947,0.05342758866314196,0.1821749252523898,0.09556885730207056,0.03732447172591918,0.06840523244761104,0.1117692904559424,0.07731471589885662,0.1305984859627063,0.061374899275826914,0.13193586192674017,0.14974977338743914,0.15044529945300952,0.055233969227580886,0.05532524033615884,0.18490303311870512,0.19864849158876707,0.045985035168789455,0.062461911415161844,0.002717458949515082,0.007956491466108087
Free Cash Flow per Share,0.026499619203104143,0.1597539811739106,0.16144697341036174,0.03803463820243657,0.029362558426992647,0.053503772541146175,0.06163440976151657,0.16816910078604955,0.17316445107563555,0.01446627602040102,0.02677380706410648,0.07748870116384089,0.024812815552301297,0.004476019164417203,0.011723017741905565,0.0882343781996018,0.08307600455670766,0.04900712429498033,0.09889286746189617,0.1770611850219933,0.0014051911519035714,0.009148307474206877,-0.0007720824556578755,0.03169689892820508,0.0143696032788524,0.03538805217841577,0.08140808456814136,0.06475477308700707,0.007367520806241232,0.008498433771718994,0.010644815863235055,0.01292234414726642,-0.0026641687180980725,0.0032806396057881706,0.0329637204922616,0.06651421611070873,0.07797856881931024,0.023188777698228195,0.05712306398668859,0.053870517762339615,0.06775660553402965,0.05920933227431467,0.035831631679073835,0.07435713951282075,0.11609152704744106,0.047843169430881405,0.057390171102252266,0.028588748150778207,0.04382516747822676,0.07562563883720001,0.014552757673792745,0.02435154198951133,-0.016087344003283006,-0.011996761343300272,0.07224731183328378,-0.015426665299465289,0.050295219573720566,0.010134691034469507,0.005663357478006661,0.1639229326736824,-0.005054354120353926,-0.006044524657974785,0.00020436084479075601,0.07231917848201308,0.023032470198897197,0.05027240451328119,0.030088849145197525,0.05146290441599946,0.046596966842723395,0.044706322953839424,0.02076314487867065,0.0021547820855610214,0.15712858499194923,0.1605027522810186,0.009539987815642378,0.0180104335190362,-0.01628598264922338,-0.015517325680078176
Operating Cash Flow per Share,0.049633820597247476,0.20893207284513024,0.22286852965976836,0.04331691694258466,-0.020818381282741598,0.007003661970657057,0.10415528010525096,0.33202462025793045,0.1904692771474657,0.09993723129092308,0.13087415642745284,0.06374631550221407,0.04603327886672012,0.02231722099837711,0.028476139373772337,0.08153021874539097,0.055567900310291046,0.1958781397237199,0.1265503843199656,0.17783368110429165,0.012931118019447064,0.01282773976760253,0.008946939979551255,0.03576550015500247,0.0013285051501505606,0.014279000606946245,0.16539443489322908,0.1655085995386645,0.09562456521474051,0.2787190262074955,0.08334259542847185,0.03422670089956305,0.014320954844352776,0.0008925170594403335,0.028130623250393633,0.07984836825812507,0.07362359036126968,0.0726971707117693,0.12339075747260154,0.10865298780532825,0.06524142648621366,0.13533626576197028,0.036081658111198414,0.1045296072983077,0.09498587907509065,0.16661064163549605,0.08174938435269934,0.033980896786782386,0.036122168817781034,0.0848796325734352,0.004864760547990383,0.025138903708583224,0.08014368266597824,0.07876792373240331,0.04720771905105535,-0.00644476150255943,0.050074170533364076,0.010591553417338345,0.09399781826990698,0.22045493000722083,0.08419817866102013,-0.005572536548669018,0.013825329440752477,0.0709591022960332,0.03438585681791927,0.11756339559379378,0.036946925502700616,0.12015361142807399,0.06322549732316673,0.03914765413484068,0.024182142246174813,0.0026106342867585875,0.14990958776842575,0.15845031834661893,0.014939825626719427,0.009537385232850304,0.0013965302575856499,0.007635102790938663
Cash per Share,0.0867041440986566,0.18736744649606735,0.11382726135228942,0.05557738350214758,-0.01884977184589874,-0.028059058200602068,0.06278983277336007,0.1454508455917452,0.11687799727698615,0.11341375274623884,0.14715978014840614,0.05151582638181837,0.016521384647771933,-0.006357669130699732,0.009819030042557877,0.06854570157753934,0.07532331954207491,0.11168533797746764,0.0832427132072204,0.13203220402423238,-0.004045807533367311,0.013977978298252404,0.015940346840907612,0.02493849237730532,0.0359792331549345,0.062223654817407985,0.048732389910864995,0.05092621558835631,0.01595758460055538,0.09005410190017063,0.016322947098353534,0.024513044242438484,-0.0032403689968511142,-0.0026045312878021664,0.04977865732441495,0.04315377621812927,0.05109642419442074,0.06252887043832327,0.044913834958976134,0.04379057520973565,0.04478001009115324,0.06815848224579418,0.013438769563604147,0.07106416662052847,0.09191939533197485,0.11796905136374765,0.08760538922932767,-0.02773065273121374,-0.00023302980647437344,0.04091938974870122,-0.010075154203240769,0.020283760053524974,-0.05606505607650634,-0.04738497529212177,0.049471956985254514,-0.042015463483253704,0.006478349176555976,0.038403090146634365,0.03786948577355904,0.10609181417698411,-0.04000760222460825,-0.03599766755617598,0.05446079504739092,0.09499427004784947,0.09637597110660173,0.06898147569137486,0.08108149590123101,0.08430278395493769,0.030400456528855577,0.021664186396928218,0.04829775759674906,0.0559070207336599,0.1541171098640807,0.16086228563922422,0.0728771593987336,0.06308734397385274,-0.001377223170244312,0.02547560540215646
