,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,Operation and Maintenance Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Other Net of Taxes Adjustments,Other Adjustments to Net Income Available to Common Stockholders,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,755.31,3699.26,3699.26,,-2943.95,-2943.95,,-380.49,-201.88,-65.86,-65.86,0.0,-40.01,,,,,-96.02,,-175.81,-15.02,-15.02,-15.02,-23.35,,,35.57,35.57,374.82,32.96,-12.51,-9.68,-13.85,-13.85,4.17,-2.83,-2.83,,42.26,,-4.15,1.95,-18.61,,63.07,-36.64,0.3,-36.93,,39.84,407.78,-55.03,352.75,352.75,0.74,353.49,353.49,,,3699.26,352.66,239.81,,,,,,,,,,,,,0.51,0.51,693.12,693.12
2018,924.18,4003.16,4003.16,,-3078.98,-3078.98,,-450.39,-262.1,-83.81,-80.26,-3.55,-59.34,,,,,-118.95,,-178.77,-15.09,-15.09,-15.09,-21.07,,,26.64,26.64,473.79,-221.2,-25.62,-23.26,-29.05,-29.05,5.78,-2.36,-2.36,,50.91,,74.08,-1.66,-9.72,,-11.79,-323.34,4.95,-328.29,,76.85,252.58,-65.55,187.03,187.03,21.85,208.88,208.88,,,4003.16,191.94,63.37,,,0.29,0.29,0.29,0.29,720.27,720.27,0.0,0.0,0.0,0.0,0.29,0.29,720.27,720.27
2019,674.1,3593.57,3593.57,,-2919.47,-2919.47,,-501.16,-302.85,-108.62,-103.26,-5.35,-42.14,-21.13,-21.13,-1.17,-4.11,-125.68,-1.38,-173.26,-28.51,-28.51,-28.51,-19.53,,,24.37,24.37,172.94,-1083.49,-14.25,-13.22,-19.91,-19.91,6.69,-1.03,-1.03,,1.07,,-0.44,1.32,0.48,,-0.29,-989.82,-3.07,-942.82,-43.94,-80.48,-910.55,-28.28,-938.83,-938.83,62.34,-876.49,-876.49,,,3593.57,-922.18,-816.26,,,-1.23,-1.23,-1.23,-1.23,712.6,712.6,0.0,0.0,0.0,0.0,-1.23,-1.23,712.6,712.6
2020,667.28,3124.35,3124.35,,-2457.07,-2457.07,,-446.2,-258.44,-112.41,-112.41,0.0,-29.45,-12.12,-12.12,-1.12,-4.81,-98.53,-4.57,-183.9,-15.58,-15.58,-15.58,-14.3,,,30.6,30.6,221.08,-118.36,-6.13,-5.3,-14.01,-14.01,8.71,-0.82,-0.82,,15.93,,0.44,7.08,1.2,,7.21,-129.58,2.74,-96.13,-36.19,1.42,102.72,-27.67,75.05,75.05,17.74,92.79,92.79,,,3124.35,99.26,54.37,,,0.13,0.13,0.13,0.13,713.78,713.78,0.0,0.0,,,0.13,0.13,713.78,713.78
2021,848.99,4075.21,4075.21,0.0,-3226.22,-3226.22,0.0,-520.53,-281.09,-119.5,-119.5,,-25.9,-17.47,-17.47,-1.17,-2.79,-114.26,-2.75,-218.76,-22.02,-22.02,-22.02,-19.35,0.0,0.0,23.43,23.43,328.46,-75.29,-14.77,-13.39,-19.27,-19.27,5.88,-1.39,-1.39,,43.66,0.0,0.0,7.51,0.38,-0.03,35.79,-104.72,10.69,-94.31,-21.1,0.54,253.17,13.63,266.8,266.8,-0.82,265.98,265.98,,,4075.21,249.98,202.34,,,0.38,0.38,0.38,0.38,699.94,699.94,0.0,0.0,,,0.38,0.38,699.94,699.94
