,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment",Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,117.37,117.37,1126.21,1119.72,6.48,-1008.84,-639.36,-141.71,-65.1,-162.66,117.37,117.37,117.37,43.99,20.98,13.92,13.92,13.07,0.86,3.98,1.69,0.02,0.02,1.67,,1.49,-0.1,-0.1,52.4,-20.48,-18.66,-18.66,94.92,94.92,94.92,-3.38,0.0,-88.21,-88.21,-88.21,-88.21,0.0,0.0,-0.36,-0.36,5.34,5.34,105.34,-100.0,-3.92,-1.78,50.89,28.8,22.1,,28.8
2018,108.24,108.24,1533.11,1519.4,13.71,-1424.87,-856.38,-214.39,-113.36,-240.74,108.24,108.24,108.24,52.31,28.97,21.77,21.77,20.69,1.08,2.76,1.7,0.35,0.35,1.34,,2.74,,,26.96,-21.64,21.78,21.78,26.92,26.92,26.92,-0.1,0.0,-99.47,-99.47,-99.47,-99.85,0.38,,32.95,32.95,-1.36,-1.36,63.98,-65.34,-2.69,37.0,92.61,41.72,50.89,,41.72
2019,263.78,263.78,1804.36,1785.69,18.66,-1540.58,-903.2,-247.36,-132.72,-257.29,263.78,263.78,263.78,181.4,37.05,28.02,28.02,26.47,1.55,2.47,3.32,0.48,0.48,1.46,1.37,3.24,,,45.33,4.55,-16.78,-16.78,58.18,58.18,58.18,-0.61,0.0,-124.32,-124.32,-103.88,-103.96,0.09,-20.44,-39.3,-39.3,-3.98,-3.98,60.0,-63.98,-35.12,-0.2,192.77,100.16,92.61,,100.16
2020,285.13,285.13,2034.65,2025.47,9.18,-1749.52,-1050.03,-276.51,-149.12,-273.86,285.13,285.13,285.13,232.1,46.42,35.27,35.27,33.33,1.94,1.53,4.64,0.37,0.37,4.27,,4.98,,,6.62,-23.66,-35.32,-35.32,68.25,68.25,68.25,-2.65,0.0,-157.13,-157.13,-155.59,-155.82,0.23,-1.55,-117.5,-117.5,-60.0,-60.0,60.0,-120.0,-53.26,-4.24,203.27,10.49,192.77,,10.49
2021,291.42,291.42,3129.3,3101.87,27.43,-2837.89,-1898.48,-450.47,-205.71,-283.23,291.42,291.42,291.42,283.1,90.9,65.47,65.47,61.59,3.89,3.39,13.66,0.79,0.79,12.87,,8.38,,,-82.59,-142.95,-84.12,-84.12,157.55,157.55,157.55,-13.08,0.0,-711.67,-711.67,-713.74,-714.53,0.79,2.07,1000.34,1000.34,0.0,0.0,40.0,-40.0,-85.06,1085.4,783.35,580.08,203.27,,580.08
