,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.011293568094753495,-0.011293568094753495,-0.009985514838787552,-0.008616003411412377,-0.05068057580675392,-0.16771514578923333,-0.0951543912320871,-0.0951543912320871,-0.009965265969261158,-0.08899153715239463,-0.010597643126643904,-0.011293568094753495,-0.011293568094753495,-0.10207524767533468,-0.12657283876813188,-0.1247808375026546,-0.05050984934363017,-0.05050984934363017,-0.04410861679026325,-0.08415820331317295,-0.12911795850729885,-0.13735127411581488,-0.11461689649205159,-0.1218088887636406,-0.10508310512120608,-0.07859630054247475,-0.08474067365740476,-0.12699284137239605,-0.1277304169597,-0.008292411986729961,-0.10183760682727683,-0.10207524767533468,-0.10207524767533468,-0.008706362502763387,-0.008706362502763387,-0.008706362502763387,-0.08574433930540698,-0.138202758663537,-0.138202758663537,-0.13715611262946356,-0.1373219402320351,-0.0911241685654605,-0.08370421042426025,-0.08370421042426025,-0.036173233709438146,-0.010782535820987099,-0.010782535820987099,-0.011447548302338613,-0.011447548302338613,-0.011299452452931045,-0.09464096007961256,-0.007509500553480361,-0.11747405680360258,-0.11050969698618669,-0.12847719031811036,-0.08664755289824233,-0.11043823417521174,-0.04098149727115526,-0.12860140128279995
Revenue per Share,-0.05034505999509291,-0.05515240387022605,0.12151449676757393,0.0958718865214414,0.012296950285321502,0.012376347096426476,-0.03178371427078442,-0.01637737648885479,0.0700327587299631,0.005239292704925959,0.10092840361933628,-0.04728692409201148,-0.05508865800576593,0.01686430367847476,-0.04544249314795336,0.0034851678858509906,0.026993145909273104,0.02921870145898591,0.051948335810698895,0.03300833436496551,0.00041983168190912884,0.004464353149699273,0.018037171745186594,0.019288144467716706,0.011533675953564287,0.06611438534769926,0.040384163817882957,-0.017532742815963155,-0.014423585764796187,0.08200197548005787,-0.03144243088549103,-0.0467877598013243,-0.049302980401667085,0.16177115248440174,0.07911849773818438,0.08697147114869448,0.06197767091685274,-0.009831202304456362,-0.006614212498675781,0.007235320266178844,0.012675662957596517,0.0488853664071998,0.04687910063065307,0.052743175867319504,0.0553299129001021,0.06698509036362742,0.06378613609462579,0.00020477077966430182,-0.008143856044558709,0.10000868201842775,-0.024942293731332027,0.07894949861569031,0.03554333204298974,0.00846230158307512,0.012087577702675413,0.058964007237792423,0.008188633102702833,0.036425060754589074,0.005466108365963642
EBITDA per Share,0.006434128978704607,0.0044270365933822605,0.17960417254168787,0.17624615694607484,0.06768178524413697,0.021572086293663598,0.030940136181109856,0.0324923361453717,0.1485953246534026,0.03159461577128982,0.15685431641758324,0.008193487799011214,0.006033661302040921,0.004899182147658627,0.0015563094435982715,0.026891746454931066,0.030165515516429,0.04379912828003218,0.0659911262453373,0.022405292341194746,0.020602481300057898,0.02650319969509263,0.05211360995185387,0.04469451237743627,0.012192723037539904,0.07812483329965181,0.026612340034267684,0.0226871874721082,0.027871854987088406,0.06523509538117964,0.0005046650107102448,0.0038003045003323667,-0.004810286029204308,0.06415560823739848,0.06506819372113183,0.06211341774984791,0.025456821495389522,0.0175821741666915,0.01029067816068307,0.01793582272155593,0.02502065717365242,0.05615480481371855,0.08212093595590222,0.0787183819098818,0.016854798012172344,0.13057402757542932,0.12474795266768615,0.03170881584135498,0.026129227867434362,0.15709842928083506,0.01425787484007,0.04395148622886446,0.05424975072741775,0.014711623734370878,0.03182482023417627,0.07974696648259307,-0.013253120355772852,0.02072985018030826,0.028653317718056924
EBIT per Share,0.004299874840855829,0.005017801434921705,0.1782249292868649,0.17607679909959587,0.06826116431708706,0.02234422795517509,0.026603333318424977,0.02086864111949099,0.15651965741223572,0.028864325463388633,0.16218142935448782,0.007145758246723724,0.004539183097240007,0.004355020693959757,0.0020324101828916533,0.027983664266432662,0.03404229698486442,0.03872796764222047,0.06643638749937562,0.012649158149272775,0.012740565482533817,0.021781764921271783,0.04743653158424077,0.045514206218978386,0.007558668573368533,0.07811617625759407,0.02355088994915173,0.023098471028576473,0.02745118407694829,0.057606887220264906,0.0005046650107102448,0.003536725382992753,-0.01045897917456237,0.05708431665209983,0.05920717818370694,0.05774496171545699,0.02508225551212288,0.02034655348041564,0.01035821251671636,0.019523649277832202,0.02552580039606369,0.05445483219621453,0.0772320641302209,0.07254017405374856,0.01508835202050519,0.13411481612361825,0.1270093339721,0.02775557092890368,0.027416565568679507,0.14774673535308502,0.016259745350659313,0.029367650367251485,0.054375994587281415,0.019141278347978165,0.02931643471306694,0.08133959558891934,0.004027959822945756,0.019095070926617254,0.021161920488049008
Earnings per Share (Diluted),0.008489170142085679,0.005465546973034332,0.14969700416667778,0.15484052284789687,0.07601464837561701,0.06313397823269501,0.0638978850338755,0.0558884906251872,0.1476329166231386,0.07611866203755557,0.20015915397383136,0.006862531766870931,0.004025410793564806,-0.007766544870367691,-0.009854900153181502,0.06723701598064914,0.05785253763195132,0.05599303627959226,0.0713356114774752,0.11650360861909466,0.05899730819399695,0.05928905582991501,0.15812534668855277,0.1545050832449282,0.04864799081887643,0.13001334951127153,0.12329029058926007,0.09517838643965648,0.10030198475156858,0.21852301796059914,0.004772569972417697,0.007246928176219388,0.00017275416304772181,0.1709875080027281,0.19103052578730884,0.19103052578730884,0.12796705383157606,0.0703536883503969,0.06149354178690856,0.0741818200663915,0.0735192372227441,0.10960675627805808,0.15128071242257524,0.1468668645407749,0.09957866983205482,0.18429691158349848,0.1945187099966812,0.0570640344510998,0.06509709370719328,0.14321245800671012,0.047163422811078694,0.22107504152232563,0.10943413843344946,0.07192861475066589,0.07297947966688906,0.11169402835961968,0.08959541553560021,0.11826376587180767,0.07874120831033231
EPS without NRI,-0.049224285641576826,-0.053753761142496845,0.08055955866764024,0.14540452831132114,0.03918709312743691,-0.007702227897414089,-0.026677454558307796,-0.00583825757762643,0.10843394809827195,0.045245006994811834,0.09465870407412522,-0.05233103862496887,-0.05133511110769286,-0.05815998156088343,-0.019037942001138463,0.04128212989175468,0.027534381088228733,0.03228015719203289,0.08563919442724835,0.08855619862679999,0.021841476530829837,0.0293560837648394,0.06401734628889211,0.025110749677519646,0.020906769705723197,0.09910959742872594,0.12014745347481041,-0.017951542914159013,-0.022845602989883453,0.13998578795935013,-0.0007072629073685971,-0.031699252940992774,-0.03137494729817504,0.12028222666249476,0.14852638154652703,0.14533257819014248,0.04938868000309449,-0.0011022331954724295,-0.004560188237560129,0.009691418265259252,0.0026156986619699663,0.05268351539562726,0.06511588563941947,0.05739072869447213,0.06860706625931319,0.11843660270761762,0.08991425195343608,0.041956855948875285,-0.002497159248281598,0.09028094305295879,0.005841626472317146,0.11579083340740974,0.04993469352766402,0.019561120804497085,0.03585446284534764,0.048358057409687766,-0.018004348408164186,0.0761261172110283,0.00972924903869292
Owner Earnings per Share (TTM),0.029287398081864282,0.026914004245552226,0.08456818776917421,0.096215917855509,0.11584816544248419,0.06946806354463678,0.17444418117472044,0.16527220629870926,0.1915420536457118,0.08200727168405515,0.09052880499931298,0.03382313304836162,0.026828052571758253,0.03945756467529005,0.03793244859494224,0.07635391610937144,0.094862528273779,0.10254261933436885,0.11714707440503995,0.05890633366824297,0.07021952209871407,0.07581115321325836,0.11347519878054231,0.10437612110780327,0.07721544865370464,0.13133128651499923,0.0553692513895949,0.06900394365195303,0.057334709538297245,0.07871448171098673,0.035855211039824406,0.040723403387475425,0.02789763978265561,0.08403579038949187,0.08794411902670057,0.08268813863140602,0.07115932447096264,0.06631633619807999,0.07466680399151315,0.07675724712983996,0.07641453105370533,0.08328007752995775,0.20256833242496933,0.19648607340476112,0.06160610342644694,0.08691159536852552,0.0912273454187597,0.07557362986898962,0.07161932326503377,0.02815508550915541,0.14298183892469282,0.031763583399606075,0.10908654314698388,0.06999408836891234,0.07549350042041415,0.12960517570008673,0.08585282400859914,0.06574775102958519,0.08049595826031475
Free Cash Flow per Share,0.08787001198705285,0.08970888718171652,0.2747605657605304,0.17502449875280823,0.07290552251995856,0.1224772860128803,0.12066826486409163,0.04563894630733131,0.1729398296993935,0.024109228786636967,0.14423344224002835,0.09056115373748873,0.08732934611668348,0.07689470030295001,0.013784782724125377,0.03470114198218428,0.06965621548066141,0.07168372884814,0.09103003444728908,0.024018693853315898,0.054379404811480674,0.04123558332551318,0.15749208001138476,0.13619196692654764,0.0673538175687927,0.1349945965637462,0.05215750946840151,0.11005884644953451,0.11628312246581525,0.0294328459224535,-0.0013244465032406626,-0.005054354120353926,0.05654667774467742,0.021476706599341183,0.013703514155757043,0.09466679472339022,0.11187752698701608,0.11877928456137929,0.12416874023138624,0.03223687228417508,0.03335013451694339,0.048095172691572895,0.07127529642526696,0.06004351785074116,0.10405700884876047,0.16341827312435928,0.15973755418918514,0.028305875660551587,0.029839980184307432,0.0225816288678204,0.08024874005242434,0.10064678088651809,0.15649275100488297,0.03952173492882713,0.0346345920163967,0.08648082924201907,0.029441615292123628,0.1062187662336107,0.111623645435647
Operating Cash Flow per Share,0.19435465543728805,0.19403365554598076,0.2755538961792586,0.17604542286265315,0.05883746403038211,0.10471627658633849,0.11237581072171522,0.01943084100322086,0.1500140830546775,0.02557933503571825,0.2905220047152552,0.2750867472863199,0.09216410604524251,0.06795539163929588,0.021594074770565984,0.046557131899857905,0.06280018599929997,0.06950928114528418,0.09240377470101498,0.03697524202601521,0.02873853560198006,0.043775794072708464,0.15025931011963617,0.13661620138326624,0.053825694538211996,0.08047819743279187,0.03657771267427559,0.10559543192150829,0.11412338276999985,0.2843315857833359,-0.005972960376402329,0.005186966540044574,0.008965969291867366,0.12762305324227738,0.14421919697768518,0.14666678200578903,0.25628316279136243,0.1879273315143392,0.09252088377580374,0.02747967582719306,0.04742719420026755,0.040096189145752574,0.1540372114773899,0.1527600535341133,0.0844054022238491,0.29259038557777023,0.28982776220138184,0.02696744722477286,0.029705910490988637,0.14425928077822472,0.04730766918713836,0.13840305365520955,0.1524292319441329,0.039534668348180084,0.04260508796527191,0.08922877002435943,0.046731480557767116,0.10624504093318099,0.11109953287766004
Cash per Share,0.052269137242121566,-0.022095956216424482,0.23065508199502666,0.13032287757261973,0.05474682381932122,0.09210108734267512,0.080793875042583,0.006045146869876912,0.10956997054083316,0.021218532859249836,0.2369453138039024,0.059911393042644825,-0.028407571279757213,0.04363817919248542,-0.022802641600887824,0.09921715295377881,0.04668740318844408,0.05093750478860912,0.0836036116317255,0.04959620900388778,0.0048003635463921505,0.025302823901529166,0.1271438145739842,0.05394394941968416,0.004279264879766148,0.09274584998148296,0.08343056084283842,0.013805489276261792,0.08726804326099377,0.13712428523885495,-0.038539503502542385,-0.04021147979639947,0.013107359646690594,0.19890067999717193,0.19459779452443157,0.1987361072403998,0.1535663706655329,0.09675341653910291,0.0893692309404129,0.012727171130534443,0.029690549886627206,0.06437852647475147,0.13137429904849157,0.11319667525912472,0.13762835249357475,0.18117703819992131,0.12322724889981428,-0.010654806885704558,-0.007420542375560886,0.11380271465325315,-0.006217108334317942,0.20868443970712466,0.08232096302184105,0.09439394016497576,0.11478542748891393,0.07140708827439692,0.07306621432985955,0.1301024928974178,0.09488561765308294
