,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-240.14,-240.14,1849.97,1785.5,48.36,16.12,-2090.12,-1722.58,-170.79,-55.74,-141.0,-240.14,-240.14,-242.64,52.28,124.89,22.56,22.56,20.74,1.82,77.35,22.56,-0.04,-0.04,22.6,,2.66,-0.24,-0.24,-419.81,-12.21,-393.6,-393.6,-13.99,-13.99,-13.99,2.5,-16.47,-16.47,-16.7,-17.5,0.8,0.24,0.24,,371.27,371.27,449.06,449.06,1894.05,-1444.99,-77.78,0.0,232.52,114.67,-2.03,119.89,,112.63
2018,-357.06,-357.06,1728.75,1667.44,49.38,11.93,-2085.8,-1734.35,-197.86,-16.35,-137.23,-357.06,-357.06,-357.8,15.61,223.74,23.53,23.53,21.6,1.93,108.39,102.61,-0.03,-0.03,102.64,,1.99,-12.78,-12.78,-597.14,-20.39,-508.69,-508.69,-68.06,-68.06,-68.06,0.74,14.21,14.21,-18.34,-18.42,0.08,33.06,33.06,-0.5,288.08,288.08,395.74,395.74,1881.01,-1485.28,-107.66,0.0,176.79,-54.76,-0.97,232.52,,-55.73
2019,114.3,114.3,2603.47,2505.59,82.5,15.37,-2489.16,-2094.87,-215.75,-9.64,-168.9,114.3,114.3,113.48,14.21,210.32,23.6,23.6,21.53,2.07,110.83,73.77,-0.2,-0.2,13.64,60.33,2.12,,,-111.05,35.28,23.07,23.07,-169.4,-169.4,-169.4,0.82,-16.61,-16.61,-16.61,-16.61,,,,,-140.87,-140.87,-30.19,-30.19,1647.12,-1677.31,-110.68,0.0,133.52,-43.18,-0.1,176.79,,-43.28
2020,414.02,414.02,2561.04,2510.51,31.51,19.01,-2147.02,-1841.77,-174.67,-11.64,-118.94,414.02,414.02,412.82,-157.42,163.1,24.05,24.05,21.82,2.23,118.44,18.27,0.0,0.0,7.94,10.32,2.34,,,407.14,-16.91,991.37,991.37,-567.32,-567.32,-567.32,1.19,-9.22,-9.22,-9.22,-9.22,,,,,-206.11,-206.11,-90.22,-90.22,1791.55,-1881.77,-115.89,0.0,328.81,198.69,-3.4,133.52,,195.29
2021,625.23,625.23,1860.42,1662.61,21.31,176.5,-1235.18,-889.93,-187.09,-2.39,-155.78,625.23,625.23,624.2,-17.27,140.28,51.26,51.26,49.06,2.19,97.06,-11.22,-0.48,-0.48,-11.39,0.64,3.19,,,501.19,-47.22,905.47,905.47,-357.07,-357.07,-357.07,1.04,-6.14,-6.14,-6.14,-6.14,,,,,-650.95,-650.95,-558.14,-558.14,808.82,-1366.97,-92.8,0.0,294.37,-31.85,-2.59,328.81,,-34.44
