,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.01670790147683957,-0.01670790147683957,-0.008090340014979814,-0.07556618628850521,-0.08218518712971076,-0.02334000595006793,-0.0908017776794123,-0.08965264214302501,-0.008830573467452989,-0.01071814483436311,-0.13613026522192126,-0.01670790147683957,-0.01670790147683957,-0.01670790147683957,-0.010652968119457276,-0.08533308703892328,-0.08946275447810144,-0.08946275447810144,-0.09019327001819684,-0.03791137318539021,-0.05323887559598749,-0.15829683981596732,-0.056893549936736315,-0.1286581967655973,-0.05066280460173942,-0.026453180978424223,-0.03564096149294417,-0.05037147214772112,-0.09239581454577088,-0.07899218449291268,-0.010140295437615448,0.01115673512151457,-0.1571670539206141,-0.1571670539206141,-0.11561509548680297,-0.11561509548680297,-0.11561509548680297,-0.09062578116027147,-0.0012980930631907432,-0.033322994305688115,-0.033322994305688115,-0.0139322381019301,-0.007742700102948182,-0.048038386731073024,-0.02092842254760198,-0.022041052301602478,-0.11592419914583574,-0.08943487304044746,-0.011496937227895783,-0.08640058581423209,-0.0348413318526101,-0.0348413318526101,-0.004157344374573229,-0.004157344374573229,-0.07195366118609968,-0.08341871969990035,-0.010769602615332016,-0.05086006083377148,-0.10220715399750202,-0.1094263261147544,-0.04311128199954766,-0.11585273633486082,-0.04098149727115526,-0.07537028112030768
Revenue per Share,-0.06127133172803423,-0.06598783649357647,0.10374036050368036,-0.02834816437818006,0.06368421889832468,0.06643493313777948,0.04170545545483336,0.0374263247915962,0.08130584447097318,-0.040098878469617835,0.002482854409022477,-0.05830079216538239,-0.06592409062911635,0.01780983553239658,-0.04592273212892283,0.0008550265316938825,-0.0076141220693177036,-0.005012715036323687,0.005975229615788495,0.06982411271267706,0.05514229690990824,0.001091326961758187,0.05676216811117794,-0.0027368174325570717,0.013303920312217856,0.027907811347894513,0.02895559732723419,0.019534072103814113,0.04341900597833584,0.048789827326800886,-0.0423055356365398,-0.03265718220957663,0.012701882386827547,0.008837182957079463,0.06847914129696156,0.0009963478707249503,0.006234333985974718,0.04186902439134743,0.06400673017146986,0.07201208422267898,0.05021719885647189,0.06950836494469857,0.0838397832739642,0.052279758558512635,-0.053019514518942615,-0.04188377755276774,3.6224920666887844e-05,0.06018589652686672,-0.04548789673042719,-0.017548983897791012,0.066890139225509,0.06414205126509694,-0.04463996753499003,-0.047128480188500445,-0.03959103754818908,0.05307699056959938,-0.04729456891886853,0.024709387331572963,-0.033127873551283916,-0.03683731489684035,0.054597744186390705,0.01727699274739769,0.036425060754589074,-0.04969320356622262
EBITDA per Share,-0.0059868142391163726,-0.007815471174418238,0.047750606909875974,0.02332327705981914,0.09776450572200507,0.08267566024354865,0.1211705609931442,0.11105922804155517,0.06326847553238898,0.013728956208941078,0.026754096260368003,-0.004227455418809749,-0.0062088464657595755,0.0011977551556065311,0.0007634203530689698,0.023746519795050616,0.0038389892497551715,0.017024757451753764,0.025337136121533717,0.07600708471972902,0.06878156361115478,0.02421577512175609,0.057635350045554506,0.022460647053177133,0.060697440645816704,0.06324585097767584,0.055555869582035323,0.04248549259778056,0.0550540628150109,0.03461023537632328,0.010719504457984613,0.007338160887447452,0.05941028803008092,0.047030148829625223,0.01923925135110591,0.025200634089904826,0.019915921145577112,0.0656048757961383,0.0459996878112997,0.11809255053709515,0.08418798241235836,0.11574029009805359,0.016874627503803648,0.05756864262459112,0.029231572798257183,0.040000624776523296,0.01360833878809567,0.13920649760951848,-0.0038176199585354467,0.011280458340257066,0.10220133969366295,0.09268682602490781,0.029050643039552897,0.024554748413512278,-0.004795697591727044,0.0935743499185966,0.011772027636190327,0.06482767458538025,0.004903907405517486,0.00289770798785763,0.06823698808906414,-9.347673392882602e-05,0.02072985018030826,-0.0018216404017699483
EBIT per Share,-0.008015558826313218,-0.005561507022177182,0.029878204808652123,0.021911889227366282,0.1051256842186361,0.08480524963247571,0.12360620180234731,0.10599814140905704,0.05850998265587292,0.00939702653677547,0.027154200154796793,-0.0052751849710972595,-0.006040125359858878,-0.001306806694389066,-0.00024249902511933649,0.025086731783639613,0.00707770238411709,0.009644511345027685,0.024788540781426373,0.06679721182033585,0.06427219813326197,0.025956513185038683,0.05886119440241044,0.02284805539975898,0.05716119919651432,0.05860676506745713,0.05633580263997996,0.038424158135592294,0.05469211087187808,0.03154878529120733,0.007164436032052438,0.007338160887447452,0.055621352938683026,0.03915773573598462,0.018212876745565692,0.024004786227108797,0.018873521808922853,0.06404377337536186,0.04639155682004406,0.09453082648667939,0.08359208907260036,0.11685043011858237,0.017864473892112986,0.05861720621100779,0.03236260170316162,0.043284184356423325,0.013477566010489456,0.14048412821146017,-0.006271671839003936,0.009867610724713965,0.0987794127739623,0.09160791481253655,0.02629180758213916,0.025649436822080134,-0.00020859818140200014,0.0834229281610483,0.01156994097179942,0.06538859609049753,0.008870718711643362,-0.0006814521151542888,0.06845314297986384,0.012296419040499405,0.019095070926617254,-0.009557907403869813
Earnings per Share (Diluted),-0.003003597593957413,-0.006027220763008767,0.14790920426416443,0.04622718283666352,0.13247467436947327,0.10836945364598972,0.09400914131289188,0.13931449247012279,0.18103251619616206,0.013941469361693163,0.07916571255569707,-0.0045201920496544135,-0.00742542926539551,-0.005999117508649902,0.004369019599043015,0.06691089070663525,0.057131189925202934,0.054994285273161296,0.058122110699415634,0.11121681483091414,0.09931382682354609,0.12836533252328142,0.0980268809915898,0.1267729652910226,0.06130254549241201,0.1699535138746014,0.16465936610873003,0.048982279048834426,0.09578708514897163,0.1321796538396021,0.020782752432418627,0.10546645766285488,0.08597392710954126,0.07969879596560223,0.06199819275621227,0.07710458879975622,0.07710458879975622,0.0982668902924427,0.09822336319320214,0.15054186840746403,0.13319459709315576,0.17730391455434863,0.14642589230392075,0.10434682846773143,0.015184609649661836,0.010569936737779388,0.12695230326662588,0.11640777253465613,0.07640846483113753,0.011145994110780853,0.20008518704739559,0.2079471909859152,0.013607080820333045,0.016525794955325017,0.011182418273636998,0.08399513305929493,0.07889228833848302,0.10013377187522415,0.012070715707344672,0.006214568716047719,0.08351955772992772,0.10076936629425015,0.11826376587180767,0.017634742431786678
EPS without NRI,-0.057326645395550886,-0.060123476329332584,0.08314896162662597,0.03837064222095639,0.10050973146102708,0.03761012766394848,0.008382477817163165,0.07373391380293126,0.1454380952096116,-0.015941390639488323,0.003328245475166581,-0.062259536251397525,-0.05943747086166692,-0.058418837778196224,-0.009374121614009606,0.03961867731439002,0.022256412705291943,0.03213720741634183,0.07317713761271485,0.08316134089055384,0.061483573930220456,0.003740035538271017,0.0755186529076954,-0.007391452031449166,0.03044035303095579,0.07477883022566575,0.035872233614293286,0.0230292937338546,0.07324349801331001,0.12903681672515238,-0.020633479565945762,0.09987079164637085,0.04304442135382083,0.047637181163085046,0.019900711036888084,0.04551675896206771,0.04200426500772598,0.034805272667716165,0.04520577830624931,0.08366800022530453,0.05622620567258764,0.09408722875749692,0.08690508240076414,0.04147787196746552,-0.018366643563756002,-0.018549787592030003,0.04355260640779597,0.08489082133360518,-0.0285573133238795,-0.019273972789620678,0.1310543167480155,0.10266875066180275,-0.002933842316004082,-0.03724408832634585,-0.021849783950650965,0.03457171089356048,-0.01633109572048414,0.0198864090963861,-0.03343698531691784,-0.029527488869588992,0.02047213206697739,-0.0005083000945155089,0.0761261172110283,-0.04391075799445676
Owner Earnings per Share (TTM),0.01755144897671627,0.015178055140404208,0.030375688962166938,0.07325997983611056,0.14564761600923265,0.14863620505263267,0.16681149514088262,0.15964348576324217,0.08309509305476422,0.03903781981335692,0.08277222882397922,0.022129111620296387,0.015092103466610234,0.025765639871674753,0.03207901207070853,0.07868431379766268,0.07051711964537451,0.07859880343752833,0.07822762156423584,0.12732019164745634,0.116205627948413,0.08666792040514587,0.11007656715410583,0.07178282394468616,0.10899200564243378,0.12227436714070568,0.11363978293190614,0.10403270279383635,0.08262880985564382,0.06385084647307454,0.027756696697991197,0.036304767520068656,0.11147512366978062,0.09889493464178739,0.06993447989986082,0.07268694704174791,0.06721457024937055,0.10740741881623785,0.09688175934839247,0.030304878583625336,0.03738182887317762,0.03963165421259238,0.034733919760944955,0.10844893894106271,0.10195801883242657,0.10047599502440446,0.12917002971935343,0.2296859198376109,0.08614649816333518,0.05105906632312273,0.05455021263354781,0.05767155860384241,0.08278577324035645,0.07883146663640059,0.04019191181859597,0.13145206666452866,0.025259175575775505,0.12192109991352808,0.04536435779520079,0.030282744514513623,0.12291760815243082,0.09682822773908456,0.06574775102958519,0.03473427397292119
Free Cash Flow per Share,0.07659504933435468,0.07843392452901832,0.09423361581654562,0.024424723777576436,0.09740847707977505,0.161774808693306,0.23195562065739775,0.13980798794389776,0.02749343235889997,-0.01008004088339637,0.11728504245451123,0.07928619108479057,0.0760543834639853,0.060904001243115895,0.010454231375819184,0.038305241060096,0.029692855220732096,0.03158332562549934,0.03490615962301709,0.1018624932568484,0.07915921509278172,0.12006970257814036,0.06800328077536007,0.12436403012510727,0.08212944043366993,0.14422529606577483,0.12385907735681366,0.08727680276068206,0.122912822730363,0.059874930252008254,-0.005152966469901562,0.004912383053058378,0.06129228376060644,0.12239327680448732,0.015291263577354653,0.009042467042555298,0.08548010594635592,0.03759849149958664,0.14138355932119662,0.2725451564977166,0.24682822589791376,0.0006332197018438356,0.005681644184565462,0.07577944326065013,0.058364068804190705,0.05858665437367222,0.022348812085158723,0.13557050072311339,-0.02104822484247263,0.12237852365577322,0.11846645045401918,0.11315782607301128,0.03208088889973792,0.03416587999500679,0.00566201411955993,0.06922543046176152,0.07271524072580753,0.18148038472162586,0.029505482778333134,0.01242795498776016,0.08895673682682964,0.045869301167990595,0.1062187662336107,0.08603897656302656
Operating Cash Flow per Share,0.18307969278458988,0.1827586928932826,0.12273212005398353,0.020926335535675016,0.08730066126838007,0.16812628275931277,0.2354420975303058,0.09931943388624276,0.13150993220261542,0.008541769479443193,0.1183836685084387,0.26381178463362176,0.08088914339254434,0.08662615655861888,0.021621719405217243,0.04538708253707425,0.036253330271886854,0.04246855727802367,0.049580057697768874,0.10181268361395633,0.07897748131246006,0.10976196996103868,0.07193581590246549,0.11158915642673338,0.07912806965117335,0.16301636269859934,0.1482550713356405,0.08487766200186495,0.035678785911108624,0.044575608016331175,0.1268231513735115,0.0028579581634388014,0.06107771361048351,0.06503503523131005,0.013757228304578182,0.026686137839703153,0.03137318442969377,0.06698130152908346,0.2730508920281176,0.35907561597262555,0.2438818206908263,0.1529479533388713,0.04101912531607744,0.06527165823779207,0.04907565857430539,0.029205288022972845,0.08161298228103689,0.13967182159872046,0.07663037183440757,0.07886735629461827,0.2728444765015696,0.2700681608512311,0.028818879710149535,0.03155734297636532,0.0007931649172470108,0.07543616237128947,0.10553751891243396,0.18645777733270713,0.02939370439042124,0.014246761511638239,0.0773300574425027,0.059804320505258884,0.10624504093318099,0.08225922088033556
Cash per Share,0.041237355958528316,-0.03302543217521354,0.198845116590797,-0.010399378411445866,0.08637722745303388,0.14678917482417342,0.18074318192037084,0.07919888137973478,0.1142564951743339,-0.024651096560465866,0.10553480521483365,0.04887961175905158,-0.039489555595563094,0.06092801125079171,-0.016932087529822507,0.09879229894489915,0.010266432236887233,0.016602264140825107,0.037153243263443284,0.08700538279865423,0.06181087565625035,0.01559347508394741,0.08124913010174613,0.08406356003923475,0.057872418434517875,0.14698918688516474,0.07278960436008834,0.035081402170316675,0.07120095788623014,0.09118750955543747,-0.012154859713353618,-0.02884773051528311,0.03818894605341602,0.09147732185423095,0.0811295182714419,0.08190372173757109,0.08150250408850121,0.07156306297667414,0.17017206741547064,0.22248585484973354,0.21048799670500573,0.07286476910155805,0.07693120943585206,0.06502465229112972,-0.031180936032076945,-0.026285818468995074,0.08025424717229915,0.1716134800778874,0.020534733412905362,0.07736168297560743,0.17655552686984136,0.12145822164917384,-0.02809588490047655,-0.024871325461555523,-0.027080155697087833,0.0604605513334579,0.07409183859259806,0.0946967586415183,0.05025518955142541,0.061952933082909244,0.06614143792473545,0.08588578000735013,0.1301024928974178,0.03762385071374693
