,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-15.58,-15.58,712.84,711.74,,1.1,-728.42,-577.58,-62.02,-84.89,-3.93,-15.58,-15.58,-15.58,75.03,10.43,26.82,26.82,26.82,,1.86,-9.97,,-9.97,-9.62,-9.35,-9.35,-0.27,,1.33,-101.04,-9.6,-16.3,-16.3,-80.7,-80.7,-80.7,5.56,0.0,205.39,205.39,28.83,-0.84,29.67,,,176.56,-369.75,546.31,,-10.72,-10.72,,,,,-10.72,0.0,223.98,179.09,-1.86,46.75,,177.23
2018,-21.88,-21.88,408.11,406.05,0.28,1.79,-430.0,-341.19,-59.35,-26.01,-3.45,-21.88,-21.88,-21.88,3.58,12.36,16.61,16.61,16.61,,1.54,-7.72,,-7.72,-0.05,0.26,0.26,-0.31,,1.97,-37.83,-0.1,40.31,40.31,-78.69,-78.69,-78.69,0.65,0.0,-88.13,-88.13,7.15,-8.18,15.33,,,-95.28,-696.0,600.72,,-36.77,-36.77,,,,,-36.77,0.0,75.65,-146.79,-1.54,223.98,,-148.33
2019,31.09,31.09,557.6,551.45,,6.15,-526.51,-453.16,-59.66,-9.94,-3.75,31.09,31.09,31.09,-5.64,37.31,42.89,42.89,42.06,0.83,0.86,-8.32,-0.2,-8.12,0.44,0.8,0.8,-0.36,,1.44,-0.58,28.19,37.59,37.59,-62.14,-62.14,-62.14,-4.22,0.0,28.22,28.22,-34.75,-50.07,15.32,,,28.49,-361.11,389.6,34.48,7.61,7.61,-5.8,-5.8,-20.8,15.0,-3.19,16.6,142.65,66.92,0.08,75.65,,67.0
2020,753.97,753.97,3631.74,3611.6,15.43,4.71,-2877.77,-2593.63,-184.53,-68.71,-30.9,753.97,753.97,753.97,231.31,358.84,331.69,331.69,317.33,14.35,20.82,-8.54,0.76,-9.3,13.21,5.46,5.46,7.75,,1.67,163.83,-36.27,0.68,0.68,168.33,168.33,168.33,31.09,0.0,-630.43,-630.43,-379.97,-380.79,0.83,,,85.41,-137.4,222.81,-335.88,-69.21,-69.21,-327.9,-327.9,-577.9,250.0,-19.42,278.12,192.81,54.33,-4.17,142.65,,50.16
2021,2341.65,2341.65,7281.51,7241.51,16.73,23.27,-4939.86,-3898.5,-266.05,-701.06,-74.25,2341.65,2341.65,2341.65,2402.02,400.48,348.72,348.72,331.31,17.42,7.73,-14.53,-0.5,-14.03,57.09,-0.59,-0.59,51.01,6.68,1.46,-460.85,-270.77,-384.1,-384.1,191.25,191.25,191.25,2.77,0.0,-1689.22,-1689.22,-468.08,-470.32,2.24,-353.24,-353.24,-867.9,-2466.44,1598.54,,240.86,240.86,-480.95,-480.95,-480.95,,-206.37,928.19,1084.42,893.3,-1.68,192.81,,891.62
