,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Purchase/Sale of Business, Net",Sale of Business,Purchase/Acquisition of Business,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,370.1,370.1,3239.18,3196.89,42.29,-2869.08,-2733.93,-55.94,-65.26,-13.94,370.1,370.1,370.1,155.62,159.44,139.55,139.55,137.71,1.84,37.33,-17.36,,-17.36,-0.09,0.1,0.1,-0.19,55.04,-48.05,-60.51,-60.51,163.55,163.55,163.55,0.05,0.0,-1651.41,-1651.41,-708.74,-715.35,6.61,-497.24,-1100.0,602.76,-390.19,,-390.19,-55.24,1734.93,1734.93,1527.8,1527.8,2469.0,-941.2,-94.44,301.57,571.42,453.62,0.0,117.8,,453.62
2018,753.67,753.67,5187.13,5182.38,4.75,-4433.46,-4064.43,-126.39,-211.77,-30.86,753.67,753.67,753.67,285.81,783.17,414.3,414.3,411.43,2.87,152.5,-3.56,,-3.56,219.93,1.96,1.96,217.97,-315.31,-125.45,-369.7,-369.7,234.33,234.33,234.33,-54.49,0.0,-1580.39,-1580.39,-618.85,-618.85,,519.41,,519.41,-792.59,,-792.59,-688.37,489.03,489.03,508.03,508.03,2178.0,-1669.98,-173.32,154.32,233.73,-337.7,0.0,571.42,,-337.7
2019,758.72,758.72,4467.96,4461.93,6.03,-3709.24,-3356.73,-150.38,-172.94,-29.2,758.72,758.72,758.72,212.41,577.3,405.32,405.32,402.57,2.75,157.14,-0.37,,-0.37,15.21,10.43,10.43,4.78,-30.99,29.72,-101.74,-101.74,-13.38,-13.38,-13.38,54.41,0.0,760.45,760.45,-550.39,-550.47,0.09,0.39,-200.0,200.39,1276.1,1276.1,,34.35,-1152.26,-1152.26,-1483.9,-1483.9,1520.0,-3003.9,-168.36,500.0,600.62,366.91,-0.01,233.73,,366.9
2020,1274.5,1274.5,4984.84,4969.68,15.16,-3710.34,-3291.34,-123.06,-266.57,-29.36,1274.5,1274.5,1274.5,715.11,442.63,348.59,348.59,346.05,2.54,81.25,-1.46,,-1.46,14.24,5.71,5.71,8.53,116.76,-126.84,2.9,2.9,242.15,242.15,242.15,-1.45,0.0,-637.56,-637.56,-639.01,-646.14,7.13,1.46,-4624.0,4625.46,,,,,-1047.7,-1047.7,-1198.93,-1198.93,2029.73,-3228.65,-80.76,231.98,189.86,-410.76,0.0,600.62,,-410.76
2021,2675.35,2675.35,10575.13,10554.09,21.04,-7899.78,-6487.18,-166.38,-1202.68,-43.54,2675.35,2675.35,2675.35,2149.71,407.34,396.91,396.91,393.88,3.02,21.5,-16.11,-13.77,-2.34,5.05,2.71,2.71,2.34,118.3,18.21,-44.25,-44.25,144.33,144.33,144.33,0.01,0.0,-4642.56,-4642.56,-965.03,-965.14,0.11,-3677.53,-6076.0,2398.47,,,,,2604.59,2604.59,-973.46,-973.46,306.54,-1280.0,-21.11,3599.17,827.24,637.38,0.0,189.86,,637.38
