,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Other Staff Costs,General and Administrative Expenses,Selling and Marketing Expenses,Insurance and Claims,Rent Expense,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Depletion,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Other Income, Operating",Operation and Maintenance Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Other Net of Taxes Adjustments,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1249.56,4620.58,4620.58,-3371.02,-3371.02,-989.92,-655.95,-346.9,-346.9,,-97.91,-200.03,-6.15,-4.95,-298.95,-34.21,-31.29,-31.29,-2.92,-61.12,63.17,63.17,-2.86,259.64,-147.41,-177.76,-155.45,-298.32,-335.97,37.66,142.87,-22.31,-22.31,68.79,,3.26,-35.88,101.42,-60.76,0.73,-61.48,,22.31,112.23,-46.27,65.96,65.96,-34.64,31.32,31.32,,,4620.58,89.92,-87.93,,,,,,,,,,,,0.01,0.01,3132.2,3132.2
2018,1271.79,5200.54,5200.54,-3928.74,-3928.74,-994.3,-679.43,-328.47,-328.47,,-84.74,-255.1,-6.12,-5.0,-347.58,-28.61,-27.97,-27.97,-0.65,-53.23,117.89,117.89,-3.34,277.49,-75.0,-188.39,-168.26,-318.76,-331.7,12.94,150.5,-20.13,-20.13,39.19,-44.28,5.39,10.67,67.42,45.81,7.35,-0.15,38.61,28.38,202.49,-51.41,151.08,151.08,-44.92,106.16,106.16,,,5200.54,174.11,8.55,,0.02,0.02,0.02,0.02,5307.99,5307.99,0.0,0.0,0.0,0.0,0.02,0.02,5307.99,5307.99
2019,1375.57,5239.95,5239.95,-3864.38,-3864.38,-1030.62,-666.62,-328.78,-328.78,,-98.45,-231.17,-2.13,-6.09,-388.23,-39.76,-35.93,-35.93,-3.83,-53.9,120.84,120.84,-2.93,344.95,-174.5,-201.21,-185.45,-291.59,-298.22,6.63,106.14,-15.76,-15.76,17.89,-3.71,2.35,0.22,19.03,-14.34,4.54,-0.01,-18.86,23.16,170.45,-33.49,136.96,136.96,-20.06,116.9,116.9,,,5239.95,147.29,10.88,,0.03,0.03,0.03,0.03,3896.56,3896.56,0.0,0.0,0.0,0.0,0.03,0.03,3896.56,3896.56
2020,1524.46,6318.22,6318.22,-4793.76,-4793.76,-1039.38,-660.97,-421.29,-370.36,-50.93,23.0,-262.69,,,-426.12,-28.89,-28.89,-28.89,,-65.55,142.15,142.15,,485.08,-273.69,-160.82,-145.63,-247.46,-254.51,7.05,101.83,-15.19,-15.19,-45.77,-152.45,5.39,-13.48,114.78,-106.08,-0.9,-29.94,-75.24,38.98,211.39,-11.21,200.18,200.18,-5.05,195.13,195.13,,,6318.22,172.41,55.94,,0.05,0.05,0.05,0.05,3902.55,3902.55,0.0,0.0,0.0,0.0,0.05,0.05,3902.55,3902.55
2021,1580.98,7550.02,7550.02,-5969.04,-5969.04,-1240.5,-741.5,-353.96,-352.7,-1.27,-124.12,-263.42,,,-516.93,-46.38,-46.38,-46.38,,-66.96,131.27,131.27,,340.48,-97.17,-149.07,-140.0,-162.68,-162.68,0.0,22.68,-9.06,-9.06,100.25,-71.1,46.66,-14.44,139.14,-87.27,1.03,-9.68,-78.63,38.92,243.31,-20.7,222.61,222.61,3.99,226.6,226.6,,,7550.02,204.39,17.6,,0.052,0.052,0.052,0.052,4357.69,4357.69,0.0,0.0,0.0,0.0,0.052,0.052,4357.69,4357.69
