,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.11043823417521174,-0.11043823417521174,-0.008616003411412377,-0.012649288368146296,-0.04718208679296518,-0.09086342200832932,-0.09494013082391856,-0.08965264214302501,-0.010822350769046673,-0.010682521288747358,-0.0747517703493568,-0.11043823417521174,-0.11043823417521174,-0.11604386226762411,-0.12810146654355387,-0.10229300273910873,-0.023960360331285964,-0.023960360331285964,-0.08962588901963774,-0.056867006586664375,-0.07414357978964917,-0.10418306271287658,-0.10092664790026794,-0.0833472568889254,-0.1293962950043198,-0.035701766917177316,-0.15391374291572937,-0.07351703382533839,-0.08198682010973411,-0.08132750964676924,-0.012850841649484116,-0.038874107100930914,-0.007930560173982507,-0.008654904721794482,-0.011447548302338613,-0.011447548302338613,-0.13674516802785674,-0.13674516802785674,-0.13674516802785674,-0.15772521304628603,-0.11205029384322292,-0.021296092310877274,-0.021296092310877274,-0.009008872589134792,-0.007900585472494961,-0.05954488221290035,-0.11462831537246872,-0.010493437191960343,-0.010686544933290831,-0.09024306762711129,-0.01150029645605327,-0.01150029645605327,-0.10142836160396934,-0.1353709725115461,-0.010739293087005488,-0.10878856471205019,-0.050494849205407,-0.013480478886580716,-0.04098149727115526,-0.10936574170750626
Revenue per Share,-0.01306849696447477,-0.016876982766033638,0.12538793176760424,0.0931190985658955,0.009930090690704836,0.056636929856607295,0.014245124106286554,0.0374263247915962,-0.04419659769451228,-0.040327702227851425,-0.024097725109495347,-0.00900617896886325,-0.016813236901573513,0.0695301064261114,0.004315015435714803,0.004913704302517511,0.03976569749293014,0.04254238407141573,0.04578093670785718,0.04182048255375721,0.05193949141671341,0.004328790933121166,0.003773889691356497,0.03760742628613675,-0.0033620401429601534,0.02668883039893765,0.03316652488224489,0.042872582090012046,0.043323852951533466,0.06038265495932596,0.050982618638098574,0.04760710884433529,0.08293416114218298,0.10039218635439918,-0.0006284114796867649,-0.009186866438885402,0.06978609286332388,0.0011513862448236734,0.005317437707298967,0.01415547618989576,0.06025883428666974,-0.04623502634218113,-0.04608306818175966,-0.0008147037109945332,0.08627687970558542,0.07606228112097567,-0.050326310549567724,0.10642478837712754,0.07957324553627036,0.05582917768283322,-0.021238263284493016,-0.024361148456134216,-0.05239240202597725,-0.022965916488956965,0.09866880761391518,-0.041489111802345026,0.018115534116380085,0.003197165777608988,0.036425060754589074,-0.04320351979142476
EBITDA per Share,0.008088392453744701,0.006437758973229871,0.1843117618276012,0.16083171298209956,0.04499293919871235,0.06839803645456226,0.05788293912886285,0.11105922804155517,0.008273128630926206,0.013764579754556831,0.020534490452807495,0.009709431200976178,0.008044383681888537,0.028384512147105957,0.029282980150039842,0.04541903296535036,0.060017200031447074,0.07278364937976926,0.06857522431159738,0.04986078372950328,0.08815744677126547,0.025581427688568314,0.04272517441048547,0.07039944528958227,0.020179754812114006,0.015554598116072533,0.06566752031064113,0.0738547255541216,0.0662337924168759,0.027456325351544936,0.0697284371714765,0.017733491102420288,0.06616728104330476,0.06389858580678542,0.03647174217849525,0.030939882878645922,0.024792027283718248,0.032498107342031846,0.027213394397704135,0.036720635027155245,0.05735879182199456,-0.0015706121926232696,-0.011536346857565027,0.01573792110220793,0.036272440825840746,0.0842280524851611,-0.007051775753390727,0.16423798147258264,0.050781964950806904,0.06825355798892314,0.02570821040875767,0.015947015973574064,0.0030820124389595808,0.029820591442247534,0.06466700649662457,0.003420586555097674,0.06616053690732619,0.008507349352457397,0.02072985018030826,0.0014953744541814345
EBIT per Share,0.00784880986011026,0.00933810697192533,0.18287431511878438,0.16583532842397752,0.04557231827166244,0.06820757357789703,0.05607516348635551,0.10599814140905704,0.0077012294200109604,0.009432650082391223,0.019267158208774258,0.010685023066822666,0.008859488634243632,0.02609050068283835,0.029564197654842684,0.04684532948924308,0.06553485448306066,0.06868266208628628,0.06802662897149002,0.030231021121080708,0.07512314023395149,0.01809296382271223,0.04286811325826914,0.06427499317858765,0.01960455862051916,0.01304331506020185,0.06209868668750227,0.07388551037975628,0.07158475089008275,0.023708468346688136,0.07270304151830384,0.014691773313532061,0.05853907288239002,0.05818759358827682,0.03701851796548655,0.022589312691474413,0.025481247166063207,0.03220742629210582,0.026141892229420375,0.03565931496700066,0.057230886303706555,-0.000161067375807053,-0.012174458907184861,0.01560018220121847,0.020373840001347576,0.08302304668802582,-0.005964734898785767,0.16969960525639044,0.043408935266794006,0.06628547257628817,0.02287397425925641,0.014757388654045236,0.004898529624859214,0.030909439840287902,0.062024960986302564,0.0009329169673180536,0.06595555520596333,0.021140605184298347,0.019095070926617254,-0.0045836246975283195
Earnings per Share (Diluted),0.0567934973630511,0.05426324578710685,0.15368048308622578,0.18924785660170593,0.07251143466046356,0.1095015999081822,0.08682891918199474,0.13931449247012279,0.015667475137305226,0.013712645603459573,0.050928478023666686,0.05309399011796201,0.053279450382913325,0.06448876033051001,0.05493544877548833,0.07010856717621433,0.08909390945040349,0.08829816805982404,0.09381665153828386,0.10096619220239035,0.1472519745451801,0.060043291892578385,0.13497155950086404,0.06844971914276955,0.12967216848498161,0.15482935578214652,0.08242584778476267,0.1850129246467566,0.17997109362502228,0.1103626673272261,0.09606405133851041,0.10216760528461985,0.21945520362272428,0.17987191044745832,0.06743950299553803,0.05951319839926952,0.06096720727101712,0.07575758277564405,0.07575758277564405,0.07082007891984736,0.10488732059944883,0.023576051889747596,0.012070193371719261,0.17755296634715542,0.14363393898673046,0.12384844508209629,0.07165269059449271,0.20172776206198775,0.24906428811617276,0.09823805366982218,0.05176752716212824,0.06735968279730695,0.054113263116372594,0.055661218456547,0.1919656099349485,0.0014179179573641752,0.07160353893818788,0.08854260612240622,0.11826376587180767,0.008375059147843445
EPS without NRI,-0.014529332171533616,-0.02240841696630209,0.08380923939190502,0.17918595656463815,0.03568387941228344,0.031768550335288144,-0.005467544228823804,0.07373391380293126,-0.016225578701015018,-0.01590576709387257,-0.02172760718774852,-0.01806160167049021,-0.01761179714492649,0.004546055409372994,0.0397957234688021,0.040064073938211625,0.059239269698802645,0.06375029817374321,0.10708888369302551,0.07991906631718547,0.0577964626179099,0.021502832779727067,0.009138051369502515,0.053836442482965534,-0.0022171388171680307,0.019352506859718302,0.052281826408784225,0.08983621701370714,0.04988789205319894,0.08527862798983843,0.0776843118544132,0.10106632585583243,0.14091797362147523,0.1737319088870677,0.027275555258717464,0.024180386302837933,0.017484513056238625,0.043523549971246585,0.04017594611480948,0.008531682980590163,0.03823631779026749,-0.042166823265529674,-0.046112175263507166,0.09634103558133641,0.08411312908357386,0.05819146101792415,-0.020147072573345744,0.15104355768716254,0.13381659321928985,0.06374168884845459,-0.010479687754439533,-0.014484392895250907,-0.02684845554588472,-0.02336967688447642,0.1395594431457075,-0.03317054634626227,0.008077749079924697,-0.01713688213681359,0.0761261172110283,-0.05190181949319644
Owner Earnings per Share (TTM),0.056159022819061676,0.05395965832348937,0.08860964956224139,0.08508622154071693,0.09303962933963841,0.1087574987478497,0.19915831336744613,0.15964348576324217,0.03200806064401031,0.03907344335897267,0.07681443344730016,0.06118637136464726,0.054073893354016585,0.07478985690891037,0.0785745245108134,0.10331108678364408,0.1400025153986785,0.14777187350799514,0.1108067521191013,0.09031649557654313,0.1494233657771663,0.07954240213848722,0.10893723484456343,0.12371986881740854,0.06649819801769094,0.11669447012405262,0.11901178151801496,0.13041545392404977,0.1215021778774813,0.06761293014777953,0.11862362687947098,0.04710844632180634,0.07964666737311184,0.08393332930688233,0.07807888532355364,0.06503643010874702,0.08054329843020781,0.08277967170730002,0.07730729491492265,0.0849911751565893,0.11102017039191966,0.023318562706906402,0.03144741371253378,0.0667827608748228,0.03667701524532398,0.1360319056103332,0.09572294039114461,0.15277658724855,0.14570409122574493,0.1148310713385912,0.07138649211403142,0.07572129046825536,0.027221870422857133,0.0936922705071546,0.09386626789952678,0.03282053125765206,0.1202878053471655,0.09809850677317315,0.06574775102958519,0.04073455051478382
Free Cash Flow per Share,0.10448173012782487,0.10616245507855487,0.2787339113111626,0.04647309389547458,0.0635879933734416,0.1327195486530733,0.241732418834882,0.13980798794389776,-0.007286652208573359,-0.010308864641629958,0.10824275336686387,0.10717287187826076,0.10378291401352181,0.10603098355855581,0.03499817496326305,0.06904448739156031,0.07659244266871237,0.07815668420795248,0.05188744214293865,0.05046421398811057,0.15305945979846888,0.07749342996411768,0.1325457588676048,0.08377816395738669,0.1033464360889508,0.029099386768338086,0.08925318895584321,0.17147131015199463,0.15065631495036658,0.04969294489596515,0.14392083897001626,0.03872245092219828,0.030365031584578615,0.027917773397109318,0.026940233218687114,0.09446165688745102,0.021847690852669303,0.015598894317869934,0.09203653322167056,0.049242495299463104,0.14769513577147658,0.0881931639214682,0.094230770407968,0.025102204405181513,0.004580858453271545,0.07241740531511622,0.0010995107412286858,0.04929653606973124,0.014420609302146092,0.14232394630210807,0.14208849110449906,0.1371847819642522,0.07765712540348485,0.15352141793771712,0.059812445880001196,0.011974232667715117,0.07786573531337117,0.051268610209081175,0.1062187662336107,0.08628636869656381
Operating Cash Flow per Share,0.17192416091938414,0.17160316102807688,0.27952724172989085,0.16456270987595184,0.03616531760296523,0.15574952311410187,0.14834897575294115,0.09931943388624276,0.004639810470580659,0.008312945721209603,0.11048544164062536,0.2516478447996753,0.07095434238177695,0.09374174866981985,0.0467708790247657,0.06810985627197501,0.088597226262677,0.09633816630960484,0.09627318307785632,0.06655831998203515,0.13597597968509523,0.0343791415289653,0.12766140702812004,0.08299828883067412,0.10915528380191301,0.09138036607721564,0.08417723580994589,0.17110641816897543,0.15746330943260556,0.05585280509140242,0.0677839604779245,0.027368825520291983,0.28526377144546095,0.12985054133521434,0.03938199680137731,0.04364273665087752,0.0202864899081212,0.032878448987118634,0.03790244603323679,0.03349605521262727,0.2796242360346261,0.19166874190490701,0.08956346731826077,0.04223856094081043,0.060588171681545795,0.09431594957229385,0.059186645813424726,0.17771005400011036,0.20928329893293232,0.13926055031791265,0.1412707309612557,0.1385081075848673,0.07683529803469767,0.13133906783020383,0.17225041161583432,0.0135508601681773,0.07470403645750312,0.06911621222971603,0.10624504093318099,0.08408952160424413
Cash per Share,0.08036439455538048,0.010866721697206566,0.23452851699505695,0.1237355473619986,0.03976608927099171,0.14608921512520767,0.12664357485146766,0.07919888137973478,-0.03202243942039229,-0.024879920318699456,0.07435861730381693,0.08900003746665472,0.0035448506656231967,0.1022193314030471,0.0285535625032483,0.11552618241107752,0.059585032794025466,0.06355494648183901,0.08718202967363428,0.04329333815097342,0.14037632244060372,0.01063146595857101,0.029154519464680805,0.06320790366784187,0.08167939671328864,0.020558834866186777,0.057455268814525756,0.153893449201233,0.08046441138077771,0.05986444679749303,0.05611320354513428,0.06906968295572356,0.13805647090098006,0.11787789385003791,-0.005931861256934964,0.052885407853557775,0.08320832194202092,0.08398252540815011,0.08358130775908025,0.03220674313786972,0.15178534111103686,0.06869040946361143,0.05184772254833313,-0.011771218782774626,0.1040111285769914,0.0866594357650311,0.028593717595029492,0.20129121812967382,0.17189835127351374,0.1672209080435634,0.04029891616740758,-0.009643200620930714,0.045627245937119094,0.03261986026320571,0.22700621643916447,0.06386879127143213,0.05411773720007201,0.06798644570974059,0.1301024928974178,0.04150866835982712
