,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Cash Dividends and Interest Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,123.63,123.63,670.33,644.43,19.66,6.24,-546.7,-423.61,-36.43,-45.0,-41.65,123.63,123.63,19.77,53.33,9.74,2.68,2.68,2.27,0.41,,6.07,-0.3,,-0.46,0.17,1.28,0.02,0.02,1.26,,,-43.29,-46.21,-56.15,-56.15,58.77,58.77,58.77,0.28,103.86,-0.86,-0.86,-1.9,-1.95,0.05,0.46,-175.0,175.46,0.58,-56.75,-56.75,-74.75,18.0,182.15,66.02,-6.65,122.78,,59.37
2018,218.85,218.85,1012.45,984.96,22.61,4.88,-793.6,-614.62,-47.43,-68.65,-62.91,218.85,218.85,218.85,232.35,8.14,5.2,5.2,2.45,2.75,,0.41,-1.9,,-1.94,0.04,4.42,,,4.42,,,-21.64,-10.66,-65.05,-65.05,54.91,54.91,54.91,-0.85,0.0,-34.72,-34.72,-36.94,-36.94,,1.94,-369.0,370.94,0.28,-47.33,-47.33,-45.25,-2.08,318.26,136.8,-0.69,182.15,,136.11
2019,268.52,268.52,1275.44,1224.18,37.23,14.03,-1006.92,-803.22,-66.4,-78.82,-58.47,268.52,268.52,268.52,323.85,0.78,6.41,6.41,3.29,3.12,,-3.04,-6.1,,-6.1,,3.51,,,0.5,3.01,,-56.12,-47.22,-75.85,-75.85,67.69,67.69,67.69,-0.73,0.0,-999.81,-999.81,-26.82,-26.82,,-973.9,-2118.0,1144.1,0.91,1200.71,1200.71,-40.0,1240.71,789.81,469.41,2.13,318.26,,471.54
2020,231.45,231.45,1430.58,1397.75,24.45,8.38,-1199.13,-963.65,-86.86,-94.65,-53.97,231.45,231.45,229.2,402.29,-19.25,7.67,7.67,3.99,3.68,,-4.36,-28.61,,-28.61,,5.96,-0.21,-0.21,0.99,5.17,0.09,-153.84,-120.07,-135.43,-135.43,103.19,103.19,103.19,-1.53,2.24,938.87,938.87,-80.22,-112.93,32.71,1007.49,-1470.0,2477.49,11.6,-95.84,-95.84,-120.0,24.16,1857.04,1074.48,-7.24,789.81,,1067.23
2021,334.94,334.94,2054.57,2014.61,34.13,5.83,-1719.63,-1352.69,-149.96,-124.51,-92.48,334.94,334.94,334.94,606.62,-23.34,18.13,18.13,13.95,4.18,13.0,-15.24,-10.49,-0.06,-10.42,,-29.93,-48.9,-48.9,1.81,17.17,1.19,-248.34,-133.94,-408.7,-408.7,299.34,299.34,299.34,-5.04,0.0,-164.66,-164.66,-193.92,-226.43,32.5,10.42,-1080.0,1090.42,18.84,-250.42,-250.42,-240.96,-9.46,1774.17,-80.14,-2.72,1857.04,,-82.87
TTM,256.62,256.62,2420.66,2354.35,40.77,25.54,-2164.05,-1721.55,-196.31,-145.81,-100.39,256.62,256.62,256.62,647.54,-26.4,29.79,29.79,25.13,4.66,12.77,-30.65,-1.94,8.47,-10.41,,-38.5,,,,8.6,2.14,-364.52,-151.95,-248.99,-248.99,46.82,46.82,46.82,-10.39,0.0,21.38,21.38,-195.51,-228.01,,200.41,-1000.0,1200.41,16.48,-272.0,-272.0,-240.8,-31.2,1385.53,5.99,16.77,1362.76,,22.77
