,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,"Trading/ Listed Investments, Current",Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Notes Receivable, Current","Dividends Receivable, Current","Accrued Interest Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment",Plant and Machinery,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Deferred Tax Assets, Non-Current","Deferred Costs/Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Trade Notes Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,"Capital Lease Obligations, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Other Non-Current Liabilities,"Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Beyond,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,246.11,225.43,63.91,63.91,,,,,51.7,,,47.54,43.62,,,1.48,0.0,0.23,2.44,18.33,43.94,20.68,16.49,16.49,,,,16.49,,,,,,,0.78,0.78,0.78,,0.78,,,,,1.81,1.81,,1.81,1.81,1.0,0.61,,36.34,26.48,25.66,25.66,8.22,3.69,13.75,0.0,,,,,,,,0.82,9.86,,,,9.86,9.86,0.0,,,209.78,209.78,14.44,14.44,14.44,,60.47,134.87,,132.41,2.47,,,,,,,,,,,,,,,
2018,377.48,353.23,174.85,174.85,68.72,106.14,,,111.02,70.9,40.12,57.84,46.03,46.03,,10.45,,,1.36,3.7,5.82,24.25,15.07,29.65,,,,29.65,,-14.58,-14.58,,,-14.58,1.71,1.97,1.97,1.97,0.0,-0.26,-0.26,-0.26,-0.26,4.27,4.27,,4.27,4.27,0.58,2.25,0.37,66.24,47.03,42.7,42.7,22.08,0.48,20.14,0.0,,,,,,,,4.33,19.21,,,,19.21,19.21,0.0,,,311.24,311.24,160.36,160.36,60.0,100.36,136.82,14.06,4.01,0.0,10.05,,,,,,,,,,,,,,,
2019,1725.05,1680.76,1406.19,135.99,33.96,102.03,1270.2,1270.2,97.79,62.56,35.23,150.37,110.71,110.83,-0.12,30.72,,,8.94,3.7,22.71,44.28,25.79,47.1,35.84,35.84,,11.26,,-21.31,-21.31,-17.21,-17.21,-4.1,4.19,5.01,5.01,5.01,0.0,-0.82,-0.82,-0.82,-0.82,6.66,6.66,6.66,,,2.5,4.44,0.7,115.22,77.21,73.14,73.14,39.33,0.15,33.66,,,,,,,,,4.07,38.02,,,,38.02,38.02,0.0,,,1609.82,1609.82,1292.33,1292.33,80.0,1212.33,288.21,29.28,11.12,2.1,16.06,,,,,,,,,,,,,,,
2020,1829.63,1772.49,1357.77,503.24,470.32,32.92,854.53,854.53,196.16,146.71,49.45,199.73,182.14,182.17,-0.03,3.71,,,13.88,6.31,12.52,57.14,29.86,59.9,37.54,37.54,,17.49,4.87,-30.04,-30.04,-22.02,-22.02,-8.02,4.04,5.62,5.62,5.62,0.0,-1.58,-1.58,-1.58,-1.58,6.65,6.65,6.65,,,9.89,6.71,,188.5,137.68,134.11,134.11,83.09,0.49,50.53,,,,,,,3.57,3.57,,50.82,,,,50.82,50.82,0.0,,,1641.13,1641.13,1296.76,1296.76,80.03,1216.73,317.96,26.42,15.43,18.39,-7.4,11.81,7.33,4.01,0.41,0.07,11.81,7.33,4.01,0.41,0.07,11.81,7.33,4.01,0.41,0.07
2021,2129.06,1987.4,1114.56,367.15,333.06,34.09,747.41,747.41,326.17,179.33,146.84,327.94,306.82,306.87,-0.04,11.6,0.0,0.3,9.52,8.17,210.56,141.66,67.91,108.43,58.46,58.46,21.73,28.24,,-40.52,-40.52,-26.9,-26.9,-13.62,3.19,5.62,5.62,5.62,0.0,-2.42,-2.42,-2.42,-2.42,56.6,56.6,56.6,,,6.37,7.58,,306.04,237.79,211.97,211.97,138.57,6.47,66.92,,8.64,8.64,8.64,8.64,8.64,17.18,17.18,,68.24,12.12,12.12,12.12,56.13,56.13,0.0,,,1823.02,1823.02,1317.85,1317.85,80.16,1237.69,458.34,46.83,33.46,29.08,-15.71,,,,,,,,,,,,,,,
