,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
0,-0.11973079577805809,-0.11973079577805809,-0.11050969698618669,-0.1288390421308578,-0.08370954630636157,-0.0873384776801034,-0.010069471903944721,-0.011447548302338613,-0.10973090459265403,-0.12836675983122567,-0.10973090459265403,-0.11973079577805809,-0.11973079577805809,-0.08946275447810144,-0.12797725557886425,-0.15571396162263898,-0.09410784597416483,-0.09410784597416483,-0.09051841248600452,-0.08415820331317295,-0.05691124122889438,-0.11464394342185005,-0.115381519009154,-0.09000313500415696,-0.07457237893793567,-0.08314926370668815,-0.004983096351780946,-0.06062729094451867,-0.05403141584216598,-0.10750736365268823,-0.15693347744296512,-0.12697574636863032,-0.12697574636863032,-0.058632741374464184,-0.058632741374464184,-0.058632741374464184,-0.12597262332999162,-0.0425971580774378,-0.033419125128529785,-0.033419125128529785,-0.013113748724362457,-0.00800479140717852,-0.049440093043489806,-0.07529881830933273,-0.087878799464008,-0.013453653951246303,-0.13656027533351356,-0.13656027533351356,-0.06062729094451867,-0.06062729094451867,-0.14002224776439118,-0.13933985745430794,-0.1293962950043198,-0.08375168433274549,-0.08996225141965576,-0.11585273633486082,-0.1273336741357572,-0.04632886351990657,-0.08939129166712649,-0.04098149727115526,-0.10878856471205019
Revenue per Share,-0.02074602657724011,-0.023790272885829824,0.01259365103523562,-0.0007230685862211145,0.05021795672928331,0.06985858385662669,0.07199031112271409,-0.00095639697602499,-0.0054650722259765245,0.005319572375536116,-0.006800785565445755,-0.015874077158643567,-0.023726527021369702,0.06783088959774913,0.004940906799640606,0.00714005279229755,0.031707990035002416,0.033933545584715216,0.05070027720266326,0.03291918877824874,0.03488410710863328,-0.0016464477899319871,0.0005361562916783346,0.04017562706588291,0.03392033581920408,0.03426062161794553,0.0710264792582052,0.07117816520360709,0.058280131726057685,-0.012160096306432076,0.030612085359981347,-0.009521968892909585,-0.011674975141440912,0.10255989118860359,0.02876174269858095,0.038650823605005574,0.04299529691900029,0.0888763528808153,0.07732375281094293,0.05519503974519968,0.08726762261144841,0.08553087711054924,0.05774072968196449,-0.05565515072152408,0.08006887411926372,0.1315134230917951,-0.009903711501331692,-0.01302659667297289,0.07522310833023046,0.07057452457225724,0.0024773888485967394,0.00202660406302229,-0.0039437638576843605,0.028784601328508876,0.03128409025257107,0.018433445754282556,-0.03921903080858145,0.015671874599681498,0.013520535087640433,0.036425060754589074,-0.046738392720058454
EBITDA per Share,0.010303191118956997,0.008702467212173066,0.01766674245555251,0.02901364069044915,0.0423417628256396,0.08094923707364003,0.1555303172473465,0.03779984662705168,0.012195755624117802,0.03173472299093804,0.010643558352394219,0.011407127062776794,0.010309091920831728,0.02869661963365987,0.02990887151396565,0.03289154413211416,0.0419498122518917,0.055583425015494875,0.0715493314283925,0.02231614675447798,0.031418038129286736,0.014303864915461694,0.018766538318530458,0.06252887050992675,0.06019992818773243,0.05306977533262013,0.07097848397030913,0.08293829460352316,0.06671858718773228,0.013108301600789695,0.05634857815717476,0.01638856920589117,0.005936233078647644,0.04504072872167141,0.0463431212951441,0.03819160899516851,0.06262248252468858,0.06834490708451589,0.105780436624678,0.07369208148422954,0.13574978128689855,0.03589989018247256,0.06166397947005541,-0.010823325455385367,0.12476977792972972,0.1686311499109266,0.020973015191067323,0.012489881065537202,0.08582701368609555,0.0824619739671333,0.030904886977926746,0.040211919939391674,0.027378957805550157,0.07462286132770825,0.057023854010841146,0.02535329994346868,0.005487500686642128,0.04344435297287932,0.0007879355934738421,0.02072985018030826,-0.001002007809349224
EBIT per Share,0.010737248272196662,0.012160507316480254,0.01609557835718376,0.02884428284397017,0.0392129754860569,0.08265716192106695,0.16374657427935924,0.02788249609580407,0.013302780247565048,0.02872919336450911,0.010875026273984956,0.013711781551984208,0.011681888978798564,0.028043335580072087,0.030190089018768487,0.035280445194183566,0.04709840718007469,0.05178407783743076,0.07316647859224419,0.012560012562556008,0.03092231349282018,0.014111623285527635,0.016798908893343206,0.058548215566351314,0.053533705877743344,0.05172372667020321,0.06913970551763728,0.08315426837841716,0.06375498833853786,0.011645427200130724,0.05634857815717476,0.014130133662000853,-2.983588491150494e-05,0.045864267137616196,0.046304438714155634,0.046777847878840095,0.06253524672164125,0.06874682794961956,0.08444323443162291,0.0730539694346097,0.1352332778563242,0.020001289357979398,0.06427023080290671,-0.011288857455777599,0.1371065504757642,0.16711373274104357,0.01894154198964327,0.011734131107458719,0.08418021367180815,0.08321929081432151,0.027677029186361186,0.03950661472640814,0.028725510323395376,0.06772511458331615,0.05673940472811587,0.028242266048208273,0.0029562708189801385,0.04323937127151645,0.014570264601494489,0.019095070926617254,-0.007168953159419662
Earnings per Share (Diluted),0.03478703158188628,0.03208758652136399,0.05670222625447315,0.07797952291250256,0.14812248584555882,0.11855928646807125,0.15827031552359946,0.057328834783936036,0.06813874479731119,0.07611410273810577,0.06709355689777761,0.0322910564034047,0.03135350726752667,0.06250654083091563,0.05556134013941414,0.06808185121010926,0.08556755598426893,0.08385400404046213,0.09354079630860772,0.11641446303237789,0.0931513127900353,0.1269189266586872,0.1308378720522234,0.09272308215428589,0.1762460454652825,0.1712042144435482,0.09374042365997177,0.10923998727524074,0.11686996093264497,0.053599297628924056,0.08488883811312783,0.06734647245758636,0.06124053479822532,0.09731331600757327,0.10782534867915622,0.10782534867915622,0.08680979777582694,0.13191140896057438,0.17603976388129228,0.15856968530645185,0.2037192547273848,0.1428879363916943,0.1238684306124452,0.07021384746417444,0.10628989592933047,0.26862110264844363,0.06504708636953511,0.0780999221684136,0.11805206953250234,0.1177781650965908,0.032869008620990486,0.05552516556205217,0.12377767936685174,0.14358298574966732,0.13614579348371594,0.08511838435076095,0.004133254820481022,0.06818736307724811,0.09800604927708528,0.11826376587180767,0.009743173000388499
EPS without NRI,-0.021924465229708222,-0.029516213856239915,-0.012512915924074424,0.0704586234022729,0.11386843190120702,0.038121819846735544,0.04637219650349834,-0.01401580485416063,0.027023894817763433,0.04492164809695192,-0.011877494547309329,-0.025169398560428036,-0.024719594034864317,0.0016471691676486844,0.04004816288105992,0.040980176471513134,0.055446684224022914,0.06071925191478407,0.10844253662416148,0.08846705304008322,0.0480196646239464,0.0052015736495118065,0.0003075135737873687,0.06515652403049374,0.08113504832217758,0.03564989311676017,0.07721053775943096,0.07872068745547353,0.12444266053800514,0.016468057196898013,0.07988479222635893,0.02073655085345153,0.023295156555001223,0.03470221372836091,0.058299121212099056,0.05540742256189156,0.026601453645361664,0.05888008388446194,0.10393041690899676,0.07574593982978134,0.11497897936995047,0.08374057844020567,0.040787928198337514,-0.020490103823687066,0.07737284929368787,0.1553874479701698,0.002836959369957549,-0.002614659965870885,0.09783632676809911,0.05445757498851005,-0.014124451555070704,0.018904196215807766,0.03989285323099365,0.0331535914120532,0.05553505195727502,0.03689267583791739,-0.030551462958813263,0.004825410995280528,-0.0033542703429144806,0.0761261172110283,-0.050414378667103986
Owner Earnings per Share (TTM),0.04399800002765295,0.04179863553208064,0.049792149356410555,0.0734664763961439,0.0835850868765474,0.12482653621639478,0.20292835053853064,0.0729762595601476,0.05947275156151216,0.07892486191795278,0.06211492524616176,0.048888305610527205,0.04177582759989652,0.08151981693185308,0.07920041587473921,0.08554939696836117,0.10206230735196092,0.10983443715326094,0.11817395098190414,0.05881718808152621,0.08255336161553198,0.07311221308756934,0.06130465890083842,0.10392806432731323,0.10934547880551126,0.10110577751062841,0.12877210589144125,0.13383913789042204,0.09553844370269117,0.04109765934492794,0.10738244278631906,0.0669259996038631,0.05428457288334144,0.0921414216278887,0.09217299674026619,0.08713523874020565,0.11482821526631269,0.12262638238991581,0.006496549104059164,0.013854048635592106,0.07724062545723574,0.03597575128264235,0.10601444200061493,0.08792556799132979,0.22888041021043198,0.14292256522493377,0.08132085822372057,0.08575773418559918,0.14188826216848063,0.13756315026118712,0.05724842772671884,0.09220613967243625,0.06685646903821071,0.13563212241731537,0.11595986287816779,0.08030875404059565,0.03260687616229545,0.09773014487482903,0.10226681040626648,0.06574775102958519,0.03924528879269972
Free Cash Flow per Share,0.12408165989117027,0.1261858192989253,0.09338790704298276,0.023336638222154996,0.038112550575623134,0.1685473688288781,0.27651486814269455,0.02759880565184704,0.00957631988718884,0.02367910428659524,0.09487470089950964,0.1269416093407885,0.1236374705347099,0.10815886471571715,0.03562406632718886,0.06259574995828521,0.0674677620369394,0.06949527540441798,0.08326357085707872,0.023929548266599127,0.07751709852444563,0.09519809077717908,0.10141381086227529,0.05268760128249441,0.1378663980068297,0.11949078272388104,0.10081337226821557,0.14597437840355124,0.08717737602821052,0.013254520885885194,0.06576443997651835,0.010549369926361995,0.07357177879712572,0.03837421951243761,0.021910199035497784,0.12137126116156535,0.07677749138691219,0.1482185321026774,0.09106015377923465,0.09341175904165032,0.042059549035870156,0.0038348558582353724,0.06809155085547006,-0.00434963813562377,0.12920049041011197,0.03811504460920517,0.12655160635695828,0.13221021134574124,0.06643887044307209,0.06852386153834095,0.04829897889526409,0.060633254680862204,0.1080306330117215,0.1364039062937682,0.15826039606666376,0.055812377841982785,0.012466364547782653,0.06854915948576415,0.04805997268665642,0.1062187662336107,0.08854019680159493
Operating Cash Flow per Share,0.17391533325967265,0.17359433336836536,0.07214649119234252,0.0263546758020982,0.03305500093832885,0.16716804037658298,0.27753234849342806,0.03048169201546161,0.00672461999587646,0.025719442255366463,0.09688298916932717,0.25328296948247864,0.07294551472206541,0.09650686505162225,0.04739677038869151,0.05390084500819557,0.07505866078969022,0.08176775593567441,0.09900522377082861,0.03688609643929844,0.04775013590417337,0.09925930850587354,0.10620048054969147,0.08347100766659223,0.1611393325245305,0.14695266936340293,0.11006189605606938,0.08727489100075471,0.07667490468227624,0.11044423690020555,0.048418316019687685,0.01792995388013772,0.022509299782005006,0.03241699936271413,0.04549156108618232,0.05404780345075525,0.061510774020888156,0.294461287499951,0.36178928630940344,0.23365299353384256,0.17516948256201348,0.05984216908650963,0.058100037735472655,0.05307384014634364,0.12722191140731703,0.253911684213684,0.11897944785208617,0.11656368434340472,0.08803942870958215,0.09333651995105723,0.012925809331398683,0.04795588170165978,0.1065748826571035,0.16688251130231127,0.1560139110370474,0.05247046533296051,0.015631492330277566,0.05190176798775248,0.06197655918698784,0.10624504093318099,0.08567499998659792
Cash per Share,0.08003025336353176,0.00953062322634086,0.0869794798644346,0.019909687304190685,0.07001540640799889,0.14992668769566955,0.23234304954208673,-0.007329600004413897,0.003559265951296538,0.02152202495770028,0.08981783530629743,0.09019000136803795,0.003149308169361124,0.10184626748180331,0.029179453867174108,0.10685397638327877,0.05251740405235224,0.05676750565251726,0.08372517944019899,0.04950706341717102,0.03127938786840372,0.011134740765138542,0.08305691588802072,0.07138450543312758,0.1504244550535761,0.07734790953681812,0.04270235492347206,0.09164673804783219,0.08249254568396243,0.01851807161958971,0.043993196951556374,0.004127050453905156,0.05990645016742552,0.10446426409200378,0.10481014623346685,0.10495314262421851,0.06301930734591389,0.16003706519530422,0.20667694639526032,0.19118399281882503,0.09471961152227229,0.10326512598195521,0.048738795255762,0.021653982896712488,0.1718660291670072,0.19128857124930254,0.06117005445041231,0.014486410497886074,0.08461059961222522,0.08761506109101329,0.01499332426110308,0.014112953166691547,0.10402488187990389,0.127460767710023,0.08658205482589935,0.10751539917157091,0.06556224817622054,0.03937179341029221,0.08356607782891279,0.1301024928974178,0.04070743814186992
Dividends per Share,0.0404972022930599,0.023704795798226652,0.0423104922516129,0.058966423812013426,0.11794969604764996,0.04219147286388519,0.11126865250576741,0.11197950761874242,0.040851751520287215,0.059644763358236416,0.04070059572544303,0.012732250927332,0.016784255793739104,0.07731971325086961,0.04477797503106121,0.05515878001366909,0.054816039234782364,0.0594361447192185,0.06757825134896105,0.06353122266834418,0.0543950900472103,0.07816439755826232,0.11557781788562965,0.09219271098554023,0.09113472852705416,0.05068026010685654,0.015811211145151133,0.07984318484486701,0.08231067248726116,0.05928907633241273,0.06730930485742416,0.06402137129821182,0.06584982513268096,0.06787727025592502,0.061893137977204755,0.06263414089706668,0.08113784838672429,0.09335559140599943,0.05295192976935706,0.004662867637024823,0.05460640364108693,0.046068217046191115,0.08138717376270829,0.006707931694833929,-0.05473137956275743,0.10300252148095823,0.04591825606504278,0.042031400501870694,0.11742616270491794,0.08629455305708784,0.03641047375953356,0.030156907116640822,0.2570313824137987,0.1385279344233236,0.08376793862400801,0.07156513590926052,-0.006735625093396901,0.061417653424118236,0.06651505067504886,0.07052376583793281,0.011025335713777513
Book Value per Share,-0.0032694502206563397,-0.006987083957235975,0.005139106555012479,0.010348376968263398,0.06101301340035313,0.06346501141921548,0.07943973732200196,-0.011028422048527237,-0.004284781717812101,0.002599959002464327,0.003517249909475881,-0.005289536236964185,-0.008715141526207861,0.011066948659253052,0.0072128909566087935,0.016121180392211103,0.03257954036588293,0.03754124958162276,0.052605913976093446,0.03957529996874354,0.030791799525527068,-0.0010025349903236384,0.01199685111520337,0.04416465578265471,0.0549509446778701,0.05113039851025465,0.05520445362437736,0.07308937529930173,0.05626215280572153,0.00481014057141163,0.01940195407131831,-0.0013259296460804947,-0.011134067163321599,0.04314360382062041,0.03480562111109463,0.040791027601918634,0.04416087387591377,0.08078773882661719,0.06650516953669962,0.04863199470145355,0.05839668226329736,0.05977373198624821,0.05669652704362169,-0.04789984961989445,0.06490660617206867,0.10666233216676078,1.9210848099417057e-05,-0.005242216308743368,0.07889201506785246,0.07368471539145104,0.014749036315280411,0.00220905079035776,0.006319369898128857,0.04519777919846618,0.052759643569580704,0.029955614673421487,-0.037924622058220815,0.018172470526366565,0.010259947550041445,0.06580994953493402,-0.042323048164970845
