,"Cash Flows from/Used in Operating Activities, Direct","Net Cash Flow from Continuing Operating Activities, Direct","Cash Receipts from Operating Activities, Direct","Receipts from Customers, Direct","Receipts from Tax Refunds, Direct","Other Cash Receipts from Operating Activities, Direct","Cash Payments from Operating Activities, Direct","Payments to Suppliers for Goods and Services, Direct","Payments to Employees, Direct","Taxes Paid, Direct","Other Cash Payments from Operating Activities, Direct","Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss for Other Investment, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Deferred Assets/Liabilities,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,75.99,75.99,226.26,219.44,,6.82,-150.27,-58.13,-25.78,-38.94,-27.43,75.99,75.99,75.99,100.26,11.98,6.21,6.21,5.59,0.61,1.13,-0.11,-0.11,2.88,0.88,0.88,2.0,,1.87,-36.24,-6.47,-31.71,-31.71,2.26,2.26,2.26,-0.32,0.0,-9.19,-9.19,-9.3,-9.31,0.02,0.11,-15.0,15.11,-0.08,-0.08,,,,,-0.08,,0.0,125.4,66.72,-1.05,59.73,,65.67
2018,125.39,125.39,296.62,287.08,,9.54,-171.23,-58.15,-30.53,-51.67,-30.87,125.39,125.39,125.39,122.97,17.83,6.95,6.95,6.33,0.62,0.02,-0.37,-0.37,9.81,0.58,0.58,9.23,,1.42,-15.41,-4.9,-10.18,-10.18,1.31,1.31,1.31,-1.64,0.0,-57.97,-57.97,-20.34,-20.99,0.65,-37.63,-103.0,65.37,-49.5,-49.5,,,,,-49.5,,0.0,143.3,17.92,-0.02,125.4,,17.9
2019,129.94,129.94,328.19,309.9,,18.29,-198.25,-71.69,-38.57,-37.76,-50.23,129.94,129.94,129.94,135.23,-5.68,8.74,8.74,7.99,0.75,1.08,-14.49,-14.49,-2.47,-0.03,-0.03,-2.45,,1.46,0.4,-9.24,0.62,0.62,8.62,8.62,8.62,0.4,0.0,-1021.05,-1021.05,-60.74,-60.78,0.04,-960.31,-3534.0,2573.69,974.54,974.54,,,,,-4.5,,979.04,225.64,83.42,-1.08,143.3,,82.35
2020,145.06,145.06,351.85,305.89,0.65,45.3,-206.79,-63.29,-42.59,-33.61,-67.29,145.06,145.06,103.21,125.57,-16.62,11.32,11.32,10.01,1.3,2.44,-36.42,-36.42,1.44,2.69,2.69,,-1.25,4.61,-5.74,1.57,-7.2,-7.2,6.05,6.05,6.05,-6.16,41.85,30.91,30.91,-276.52,-276.56,0.04,307.42,-3857.0,4164.42,-0.41,-0.41,45.0,45.0,45.0,,-40.91,-4.5,0.0,399.67,175.55,-1.53,225.64,,174.03
2021,35.11,35.11,313.65,279.09,5.0,29.57,-278.55,-143.05,-56.83,-21.3,-57.36,35.11,35.11,17.12,43.42,19.52,28.23,28.23,26.75,1.48,2.09,-18.71,-18.71,3.08,0.01,0.01,2.39,0.67,4.84,-45.82,-29.11,-21.76,-21.76,6.79,6.79,6.79,-1.74,17.98,-27.0,-27.0,-381.46,-381.49,0.03,354.47,-2666.25,3020.71,-22.31,-22.31,25.0,25.0,70.11,-45.11,-41.67,-12.0,6.36,385.41,-14.2,-0.06,399.67,,-14.26
