,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.10954222810926241,-0.12217360814658858,-0.1288390421308578,-0.0105108181459507,-0.010544894972929248,-0.0048439469580159366,-0.007324165659328668,-0.11539800540167547,-0.11573847254448885,-0.12951564634001805,-0.04538906850998791,-0.046400326330881515,-0.008759110656478043,-0.003696156548509305,-0.08672860253617676,-0.08672860253617676,-0.07560824337817883,-0.15829683981596732,-0.09265048829779404,-0.09409985229798681,-0.08974824520246134,-0.043939567241076595,-0.057190791335156387,-0.054396200038174275,-0.036536141882068954,-0.04669314764509325,-0.05668543904641905,-0.049947229766989475,-0.049947229766989475,-0.04363034920155653,-0.08517159556741526,-0.048538673660562505,-0.08658176963003668,-0.09024306762711129,-0.12743028957633007,-0.05310432064471208,-0.05013789567007215,-0.03887177207526806,-0.04616397120037255,-0.08939129166712649,-0.08921030044152278,-0.08974824520246134,-0.08974824520246134,-0.1073944088288015,-0.08827865268295901,-0.08052367679962937,-0.03632956511325777,-0.036165222862455104,-0.12906613408266562,-0.1329974159053569,-0.1416709742589335,-0.04826452952424504,-0.058633957055697426,-0.04138528555156347,-0.05099172313922229,-0.040504245598031084,-0.040448491870057356,-0.008757950921790303,-0.0017193476908192607,-0.03726222479594557,-0.030068854365428624,-0.041546628725319334,-0.041849070230088964,-0.0511915297025195,-0.04112240521510667
Revenue per Share,0.019960871844467702,0.29407250072390884,0.25133780551492485,0.22442218620095128,0.09258601899866972,0.19879487101962967,0.1616818429925332,-0.014391629312604896,0.00855804421273248,0.013911493597459617,-0.000836637194182325,0.02307559965369656,0.0940515087879857,-0.03821205654851756,0.04354468907085824,0.057445931558557956,0.05755507540827333,0.005613701670027956,0.11137789203819635,0.11276442965279933,0.061243007548814905,0.088857510074332,0.11812129878819963,0.13107680245471462,0.005332185353239884,0.08099689707762785,0.10446184798969455,0.09025438731025077,0.012021525879383288,0.11900727956865696,0.03729612693320394,0.10707544822212241,0.053729026207071845,0.11140029423113262,0.049219941916014774,0.031222546167062083,0.009693169246226445,0.07514938976081145,0.03862037498751783,0.013276362531221896,0.018053665093177455,0.01426592497279397,0.015029101004303248,0.044150796019248824,0.05942546729882358,0.06540987891579846,0.05780217783130816,0.1011292301357221,0.2468462238754517,0.06319411702484884,-0.018667070688115732,0.013329985492261564,0.04895240829229385,0.021551273772441315,0.04714732768113239,0.029089504698321302,0.0275321782209636,0.057534959428070846,0.05639356284744968,0.13621157851788843,0.14510020322018688,0.01899359955017367,0.020500997234844692,-0.0018070021491746625,0.004729839678440636
EBITDA per Share,0.004197602209208258,0.0264876385218076,0.03341229433809211,0.16699272053925482,0.1619934461437096,0.17744171334353948,0.05722606032197316,0.012598769003487434,0.02671646703539085,0.028001633741368628,0.01830401435850905,0.03374972602180391,0.06306131210317131,0.00937391749976126,0.06109751440923596,0.07617331711803524,0.08156157719202277,0.03611741468634408,0.07343179081977495,0.07687829500029689,0.035822210603650005,0.04885056679516555,0.0717529521784766,0.08132446716639305,0.04379335008558583,0.04214933849145475,0.049671712552385894,0.06547630038689059,0.07411965625972136,0.053521227628696745,0.06671826358198737,0.05671739006902137,0.07801673738852356,0.06683394351541544,0.0328141421529914,0.023012939637089138,0.042916313845989776,0.0787348434661911,0.06002816440155718,0.03004076493474136,0.026386680308919563,0.013001741124746499,0.014576766897959947,0.04060206429953201,0.013853476901475462,0.016160691632956917,0.010615999227182283,0.015698627911639774,0.02959074584001448,0.022236784485824113,0.026121558256653823,0.009797681544230889,0.05660093063101611,0.015308553753243399,0.05791594553029579,0.07190751361332502,0.08613095224538758,0.04686179223091966,0.05437776211461579,0.08215736091294977,0.08116951649324285,0.017146514658132953,0.024185384820313738,0.04939945402078574,0.055942227156586206
EBIT per Share,0.00641014266115854,0.025109756387562875,0.0330392676191619,0.16828322549952052,0.16808112342003836,0.1762540955972133,0.05553013061646982,0.01179126824937545,0.025365374551407534,0.030958231891373568,0.01580237567677671,0.0333316357310456,0.056653540933004884,0.006637048099879465,0.06433780127420344,0.07803858079107946,0.08412873049892049,0.033612786932697716,0.07547183614626017,0.0787569778210297,0.020403741306241736,0.05055999794788165,0.07024274987905545,0.08683296687425252,0.04412443753737245,0.0484103632399662,0.04839322973095346,0.06479192672917924,0.0746563330614338,0.0686642611854795,0.06813310105248728,0.059666362067524945,0.0789751387978589,0.07159006584444898,0.03216076790720207,0.03860289481211541,0.04271916820649091,0.07766999473607418,0.06060088440354028,0.030689133715695618,0.024946276604049723,0.013294168330387206,0.014704495172954045,0.015505707063079665,0.015413654768685536,0.012674522100986838,0.02081855470464246,0.016291381136642337,0.024660833569772025,0.020711531049555507,0.029034566067232523,0.0205989621941716,0.055087506515610084,0.027779232670848857,0.05755313497624775,0.08126335503648542,0.08468685297704187,0.052922292141235755,0.06158273810429737,0.08581008970463484,0.07663240099655674,0.02465865667405064,0.04164907760730493,0.05550376373094486,0.02686014415604783
Earnings per Share (Diluted),0.10464437835446083,0.10273151904352436,0.12734594463541996,0.16930473000593568,0.19116468634407274,0.24073101758554316,0.1740811361032081,0.02671421687721747,0.06957561091661663,0.07968536641489013,0.0688422852293037,0.06201574566605928,0.193959387884731,0.010490828192119803,0.10077872504585257,0.10842997252955326,0.09048974587791647,0.07530357976728941,0.09866504873569068,0.11788166765142771,0.13089424337867228,0.1375238967122932,0.16285872450347655,0.17132025108959104,0.07798625159939948,0.12355334283694047,0.16159191698472283,0.06758494309981605,0.07419522427720503,0.13575579143955954,0.14095365505370946,0.14996398195915894,0.1110604510957736,0.1559418714184062,0.053558311062468514,0.11762452659405748,0.06723292567473502,0.1167576219743946,0.07581540925993994,0.042072128781578455,0.07146685065380745,0.12997956544935116,0.10808275249003631,0.1162657690163986,0.12321809069807792,0.08263855615001868,0.11848011443988568,0.16651737446858839,0.12666762367692352,0.13519414960102477,0.03184945546832953,0.05045502882397718,0.11640177411076122,0.13393222443042735,0.14693142725399602,0.16184889148502016,0.15171751690624918,0.11588411440291685,0.1503145782269496,0.3192681623923476,0.1650990621011363,0.07465547186108282,0.13584558588072576,0.0038542780000012018,0.0962250024388184
EPS without NRI,0.038887631690916954,0.05010796089112364,0.045504466027458036,0.15830413228448506,0.15249432254574852,0.08363929722255639,0.09152881476152291,0.031423848815142603,0.04574025623021386,0.024270223998665415,-0.004937229284302073,0.026415914317279934,0.09947762376319692,-0.005653463500232613,0.10050212416978613,0.11493340590262285,0.12207706824461824,0.07565128077570579,0.07678848012813698,0.06538945651471094,0.0414127252730066,0.026298610076776585,0.03748577982129163,0.07662734656452058,0.03408922772291363,0.05633397687386691,0.062279305019835966,0.002721916515480767,0.035877532756404054,0.0491354130121191,0.02025945462765668,0.024140364418199674,0.03627167102386976,0.07339359337779883,0.023260963514298846,0.10077302811310129,0.033839867159603285,0.1120603078214805,0.07220376380282427,0.052491219321471445,0.031061866011148607,0.00970870309442411,-0.005957521845266179,0.07785713025335068,0.004006510320454608,0.002092781655422221,0.04741445202964575,0.06939169572577299,0.010304650970554562,0.029613085260258035,0.03223954220821957,0.10245523504953499,0.16616976044175388,0.17350444135035126,0.1645706341928454,0.04151287984529049,0.04062021467530048,0.16033872690268003,0.16774975719014035,0.060764297623698706,0.06451959171542544,0.15135703971112513,0.1937620423993776,0.07566945021479654,0.05335919427979533
Owner Earnings per Share (TTM),0.07417797517729077,0.009888191203145375,0.04058963241533608,0.03978357258780082,0.08829786004156723,0.17067303463551636,0.0872473089515256,0.024006204377612167,0.071655519081463,0.09583609800339904,0.08422570885024651,0.08576200678628139,0.0878046938405284,0.04518153734370861,0.11744760829432137,0.12383276683257088,0.07019566025951993,0.09431177136858535,0.11108047573797873,0.11076249379829105,0.13658696734177894,0.11867049061614868,0.12427516981982986,0.11121908090521399,0.07475503795092295,0.0867631118948463,0.08845863181684424,0.117349861880703,0.12109222875306563,0.17113611932177358,0.12163179205798197,0.16135391429276527,0.13227350702796628,0.1679736362633157,0.08006578556357628,0.06096200989502167,0.1164057161302256,0.1351136298644014,0.11988169667337069,0.023165442368762293,0.07839548683556666,0.07935050013500712,0.08368600634728433,0.09974961523030666,0.08091627329770794,0.12089444019573797,0.05646328321413947,0.05342758866314196,0.06462179383965004,0.13817863343541534,0.06544859183503847,0.03321256836588434,0.09024266090964962,0.014077955855495415,0.09182307420321911,0.19469005292838182,0.19538557899395223,0.06752432083328334,0.0676155919418613,0.18490303311870512,0.19864849158876707,0.01234384098083794,0.03312436427881049,0.02750523938444495,0.03409979120962937
Free Cash Flow per Share,0.011840178867634485,0.007249251180104141,0.008872108642735816,0.04571868771196141,0.049160731718393996,0.16816910078604955,0.02432428511588824,0.011272691624168048,0.025758371979796156,0.03240560255820131,0.052061890450841274,0.06077067959147197,0.02743141555936429,-0.0027609223709635774,0.07082346399016894,0.0813663319490842,0.06753935528961205,0.060601545063004796,0.07616498999092366,0.05963711172248385,0.025318010928074845,0.07991971844204183,0.0303290632355671,0.03496954927477808,0.05189682568072315,0.05648689024510398,0.0315150940960645,0.06651421611070873,0.07797856881931024,0.0676231773899341,0.07949669538788631,0.09224186383766908,0.06915467218534582,0.10712354650803323,0.0490505729361706,0.02681828256034946,0.06847959403447008,0.08836361259209999,0.07073172398588114,0.015493128268399275,0.0265975615726384,0.009586718038763466,0.01626640337356695,0.04652279366322663,0.013506395139475238,0.0815765108187564,0.010134691034469507,0.005663357478006661,0.014908302848541144,0.0417252240573043,0.029154225017742976,-0.011994358016870155,0.03344489688664232,-0.008133852297976195,0.03902591909187896,0.0948917852980292,0.09222284023188715,0.028884817469509768,0.011732601743377702,0.15712858499194923,0.1605027522810186,-0.015466105435478293,-0.001178189322811888,0.02127118640452715,0.02485309904959012
Operating Cash Flow per Share,0.03481795498879647,0.06391450979860588,0.07274045905211712,0.15494516508230707,0.16419133730845473,0.33202462025793045,0.14600255565373355,0.003250120009285251,0.022487870699878496,0.04860678202507857,0.056450874506344145,0.062268002881237385,0.16142839014343055,0.012673875433180938,0.08182901659677266,0.0819988649469672,0.07493543796068705,0.04343758693204702,0.1672644468301911,0.16737861147562655,0.11434245593922679,0.1538656950474431,0.13321383734287445,0.0870646766966452,0.04704823555986082,0.030698319877247172,0.02668199685419655,0.07984836825812507,0.07362359036126968,0.1261465472196642,0.07725841968239318,0.13411435812470696,0.07942766869301367,0.1307610619759245,0.027245525176169842,0.03643998886523055,0.06783081260949465,0.07975074685827786,0.0919541054184152,0.008822101397615629,0.027398303341409386,0.10672680811996797,0.10599056388942199,0.028536375953739486,0.017727703676245977,0.08060227435978919,0.010591553417338345,0.09399781826990698,0.08314743763703533,0.10962157824857956,0.016263445795897117,-0.034286525804288565,0.08041769063226546,-0.02519905970770575,0.08265343654778513,0.10561416266499436,0.08145494044495642,0.036956083289370036,0.01558071143275464,0.14990958776842575,0.15845031834661893,-0.04118566280131433,-0.04619062778568468,0.030019467004987598,0.041412071334242864
Cash per Share,0.07478419686376113,0.08547137981130416,0.019293388507527112,0.13962346904110284,0.12352265733762496,0.1454508455917452,0.1044046150605242,0.012912551154101795,0.02557426937623509,0.015983705330255258,0.012704381286234547,0.02888164840581186,0.10909273509225156,-0.02323361634377362,0.05894031969705042,0.07795246683434172,0.0795562504331757,0.032654675749132556,0.05252204493401219,0.054783986853938496,0.02554286805680723,0.05912840277408243,0.06760730761723746,0.08306036459794996,0.027520648560333635,0.030995611465643214,0.04826978891207471,0.04315377621812927,0.05109642419442074,0.05688526604887986,0.03566624402290193,0.0704063394497928,0.06311203771500033,0.13183485420118465,0.00941201753647999,0.06421289574051285,0.03264525494075547,0.0784567753025932,0.04550694967350247,0.020506546115346302,0.016333945948854,-0.00866584993517395,0.0002070819124919852,0.03776124264102045,0.0057781069665684345,0.05772287874186084,0.038403090146634365,0.03786948577355904,0.0096318063846621,0.008940927979152937,0.005075782016110323,0.038579122069203914,0.01464745355308859,0.020241522510624214,0.03680706012055298,0.08864350338171773,0.07628576011250723,0.05421955866637247,0.0615298100526244,0.1541171098640807,0.16086228563922422,0.03492340495745204,0.023782835880307225,0.032629289741418495,0.06137982962807925
