,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Selling and Marketing Expenses,Research and Development Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Fair Value or Unrealized Gain/Loss on Financial Assets,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Reported Normalized Diluted EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,105.41,153.17,153.17,-47.77,-47.77,-89.63,-41.87,-9.42,-9.42,-4.47,-2.64,-2.64,-25.34,-49.98,-0.93,-0.93,-0.93,-2.38,5.53,5.53,15.78,15.22,0.51,0.58,-0.46,-0.46,1.04,-0.06,-0.06,17.59,,,-1.06,18.64,-2.76,0.0,-2.75,,-0.13,30.99,-3.91,27.08,27.08,7.4,34.48,34.48,,,153.17,31.12,,0.69,0.69,0.69,0.69,66.67,66.67,,,,,0.69,0.69,49.97,49.97
2018,166.29,241.77,241.77,-75.48,-75.48,-143.65,-90.75,-12.2,-12.2,-5.43,-2.61,-2.61,-70.49,-53.38,-1.9,-1.9,-1.9,-3.25,5.63,5.63,22.64,0.57,-0.12,-0.01,-0.27,-0.27,0.25,-0.1,-0.1,0.95,,-2.19,0.67,2.47,0.12,0.04,0.08,,-0.39,23.21,-6.54,16.67,16.67,4.84,21.51,21.51,,,241.77,23.6,,0.43,0.43,0.43,0.43,66.67,66.67,,,,,0.43,0.43,50.03,50.03
2019,286.07,403.96,403.96,-117.89,-117.89,-190.13,-116.7,-16.46,-16.46,-8.13,-3.14,-3.14,-88.97,-70.42,-4.0,-4.0,-4.0,-4.26,5.25,5.25,95.94,-4.59,0.31,0.43,-0.26,-0.26,0.68,-0.12,-0.12,-1.79,,-1.72,-0.78,0.71,-2.76,0.0,-0.27,-2.49,-0.74,91.36,-13.28,78.08,78.08,4.5,82.57,82.57,,,403.96,92.09,,1.65,1.65,1.65,1.65,50.05,50.05,,,,,1.65,1.65,50.05,50.05
2020,337.31,479.44,479.44,-142.13,-142.13,-214.27,-145.57,-19.43,-19.43,-6.75,-5.63,-5.63,-113.76,-71.9,-4.9,-4.9,-4.9,-6.77,14.88,14.88,123.04,-1.83,0.23,0.38,-0.83,-0.83,1.21,-0.15,-0.15,-0.5,,-0.28,-0.43,0.21,-3.32,0.0,-0.01,-3.32,1.77,121.21,-17.02,104.19,104.19,6.58,110.78,110.78,,,479.44,119.45,97.74,2.22,2.22,2.22,2.22,49.9,49.9,0.0,0.0,,,2.22,2.22,49.9,49.9
2021,575.84,828.69,828.69,-252.84,-252.84,-375.19,-243.72,-28.16,-28.16,-13.37,-5.88,-5.88,-196.31,-134.88,-6.92,-6.92,-6.92,-8.49,18.82,18.82,200.65,20.9,0.36,0.53,-1.63,-1.63,2.16,-0.17,-0.17,31.82,21.72,1.68,-1.0,9.42,-10.33,0.02,-9.74,-0.6,-0.95,221.55,-26.7,194.85,194.85,13.07,207.92,207.92,,,828.69,222.5,167.58,3.19,3.19,3.17,3.17,65.18,65.59,0.0,0.0,0.0,0.0,3.19,3.17,65.18,65.59
