,Gross Profit,Total Revenue,Business Revenue,Sales Return and Allowances/Discounts,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Staff Cost, Cost of Revenue",Operating Income/Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Disposal of Businesses,Goodwill Impairment/Write Off,Merger and Acquisition Income/Expense,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized EBITDA,Earnings from Equity Interest,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,159.39,2418.23,2418.23,,,-2258.83,-212.63,-2046.21,-32.8,-23.02,-23.02,-13.32,-9.71,-8.83,-8.83,-0.95,1.06,-2.01,126.59,-11.5,2.68,-1.21,-1.35,0.14,3.89,5.78,-1.89,-14.36,-3.45,-10.91,0.18,0.18,,,,115.09,-31.73,83.36,83.36,1.42,84.79,84.79,84.79,,,2418.23,126.77,0.268,126.59,149.61,,7.64,7.64,7.64,7.64,11.1,11.1,0.0,0.0,7.64,7.64,11.1,11.1
2018,157.8,2498.22,2418.31,-23.83,103.73,-2340.42,-218.68,-2121.74,-32.13,-23.3,-23.3,-14.47,-8.83,-7.74,-7.74,-1.08,1.07,-2.15,125.67,3.93,0.23,-1.35,-1.46,0.12,1.58,3.77,-2.19,3.7,0.07,3.63,,,,,,129.6,-38.77,90.83,90.83,0.11,90.94,90.94,90.94,,,2498.22,125.67,0.299,125.73,149.03,,8.19,8.19,8.19,8.19,11.1,11.1,0.0,0.0,8.19,8.19,11.1,11.1
2019,177.92,2488.48,2415.53,-26.24,99.19,-2310.56,-209.29,-2101.27,-48.76,-41.71,-41.71,-32.86,-8.85,-6.56,-6.56,-0.49,2.02,-2.5,129.16,-1.22,-1.18,-0.83,-1.05,0.23,-0.36,3.01,-3.36,-0.04,-0.45,0.41,,,,,,127.94,-54.79,73.15,73.15,-0.17,72.98,72.98,72.98,,,2488.48,129.16,0.427,128.34,170.06,,6.58,6.58,6.58,6.58,11.1,11.1,0.0,0.0,6.58,6.58,11.1,11.1
2020,77.34,1752.01,1752.01,,,-1674.67,-122.14,-1552.53,-55.43,-42.43,-42.43,-34.0,-8.43,-1.99,-1.99,-11.0,1.84,-12.84,21.92,-4.93,-1.69,0.18,-0.14,0.32,-1.86,1.05,-2.91,-3.25,-1.79,-1.46,,,,,,16.98,-16.86,0.12,0.12,1.4,1.52,1.52,1.52,,,1752.01,21.92,0.898,32.04,74.48,,0.14,0.14,0.14,0.14,11.18,11.18,,,0.14,0.14,11.18,11.18
2021,118.81,2032.54,2032.54,,,-1913.74,-133.22,-1780.52,-43.56,-37.94,-37.94,-31.37,-6.57,-7.52,-7.52,1.91,3.95,-2.05,75.25,-0.32,-2.42,0.02,-0.12,0.13,-2.43,0.24,-2.68,2.1,-0.74,2.83,,,,,,74.93,-30.98,43.95,43.95,0.12,44.07,44.07,44.07,,,0.0,75.25,0.409,75.25,113.2,,3.97,3.97,3.97,3.97,11.1,11.1,0.0,0.0,3.97,3.97,11.1,11.1
