,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Rent and Landing Fees, Cost of Revenue",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Other Staff Costs,General and Administrative Expenses,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Taxes Other Than Income Taxes,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Provisions,Other Provisions,Operation and Maintenance Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Investments and Other Financial Instruments,Irregular Income/Expense,Write Off/Write Down of Other Assets,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Other Irregular Income/Expense,Pretax Income,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Operating Profit,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental",Provision for Income Tax,Current Tax,Deferred Tax,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-1.14,0.71,0.71,,-1.85,-1.81,,-0.03,-10.06,-8.48,-5.18,-5.18,-1.65,-0.26,-1.32,-0.07,-1.24,-1.24,-1.24,-0.17,-0.17,0.18,-0.34,,,,-11.2,-2.33,-1.74,-1.74,-1.74,0.0,0.0,0.0,-0.41,-0.41,,-0.18,-0.18,,,,-13.52,-13.52,-13.52,0.0,-13.52,-13.52,-13.52,,,0.71,-11.37,,0.0,,,,,0.0,0.0,,-0.662503,-0.662503,-0.662503,-0.662503,20.27,20.29,-0.6625,-0.662503,20.27,20.29
2018,-0.09,2.26,2.26,,-2.35,-2.33,,-0.02,-8.45,-7.33,-4.12,-4.12,-1.9,-0.25,-0.9,-0.17,-0.79,-0.79,-0.79,-0.24,-0.09,0.11,-0.2,,,,-8.54,-2.38,-2.55,-2.55,-2.55,,,,0.17,0.17,,,,,,,-10.92,-10.92,-10.92,0.0,-10.92,-10.92,-10.92,,,2.26,-8.54,-8.54,0.0,,,,,0.0,0.0,,-0.533683,-0.533683,-0.533683,-0.533683,20.29,20.29,-0.5337,-0.533683,20.29,20.29
2019,-0.84,0.94,0.94,,-1.78,-1.75,,-0.03,-7.49,-6.36,-3.91,-3.91,-1.62,-0.25,-0.46,-0.13,-0.84,-0.84,-0.84,-0.15,-0.14,0.04,-0.19,,,,-8.33,-1.86,-2.12,-2.12,-2.12,,,,0.27,0.27,,,,,,,-10.19,-10.19,-10.19,0.0,-10.19,-10.19,-10.19,,,0.94,-8.33,-8.33,,,,,,,,,-0.31,-0.31,-0.31,-0.31,33.1,51.68,-0.31,-0.31,33.1,51.68
2020,-0.98,2.01,1.85,0.16,-2.98,-0.73,-0.43,-1.82,-4.88,-3.33,-3.33,,,,,,-1.26,-1.26,-1.26,-0.14,-0.15,,-0.15,,,,-5.86,-1.56,-1.56,-0.66,-0.66,,-0.9,,,,,,,,,,-7.42,-7.42,-7.42,0.0,-7.42,-7.42,-7.42,,,2.01,-5.86,,,,-1.26,-1.26,-1.26,0.0,,,-0.15,-0.15,-0.15,-0.15,50.6,51.53,-0.15,-0.15,50.6,51.53
2021,-1.32,2.26,1.91,0.35,-3.58,-1.28,-0.42,-1.88,-3.18,-3.15,-3.15,,,,,,-0.56,-0.56,-0.56,-0.12,0.65,0.68,-0.04,,,,-4.5,-0.11,-0.11,-1.23,-1.23,,1.13,,,,,,,,,,-4.6,-4.6,-4.6,0.0,-4.6,-4.6,-4.6,,,2.26,-4.48,,,,-0.56,-0.56,-0.56,,,,-0.09,-0.09,-0.09,-0.09,50.6,51.53,-0.09,-0.09,50.6,51.53
