,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,"Cash Restricted or Pledged, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Finance Lease Receivable, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Costs/Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,"Trade and Other Receivables, Non-Current","Finance Lease Receivable, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Cash Restricted or Pledged, Non-Current","Deferred Costs/Assets, Non-Current",Total Long Term Investments,Long Term Equity Investments,Investments in Joint Ventures,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Interest Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Other Current Portion of LT Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Capital Lease Obligations, Current","Derivative and Hedging Liabilities, Current","Provisions, Current","Provision for Employee Entitlements, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Convertible Debentures/Loans, Non-Current","Bank/Institutional Loans, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Other Non-Current Liabilities,Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1220.99,419.98,130.64,103.83,26.82,44.39,90.26,49.96,20.0,20.3,37.36,30.32,5.21,,1.84,24.84,92.49,801.01,497.79,705.58,63.31,40.51,22.8,121.22,97.16,24.06,9.9,,511.15,-207.79,-207.79,,,,72.68,72.68,32.45,31.45,1.0,32.4,160.68,5.01,5.01,5.01,3187.47,271.28,79.79,59.63,48.58,5.52,5.52,20.16,25.63,20.14,20.14,20.14,,20.14,,,5.49,13.12,13.12,118.11,118.11,34.64,2916.18,1087.58,921.21,921.21,,,,921.21,,166.38,320.31,320.31,42.45,1465.84,-1966.48,-2180.0,150.8,150.8,0.0,150.8,-2330.65,-0.16,213.53,941.34,20.14,,601.06,,259.7,127.21,-66.76,,,,,,,,,,,,,,,,,,,,,,,,,941.34,20.14,,601.06,,259.7,127.21,-66.76,,,,,
2018,1389.67,672.58,325.08,220.73,104.35,28.66,132.48,53.27,22.3,56.9,91.48,84.89,5.59,,1.0,32.74,62.15,717.09,481.41,719.79,59.14,40.51,18.63,120.08,99.21,20.87,29.08,,511.49,-238.38,-238.38,,,,67.08,67.08,28.75,27.09,1.66,31.1,102.7,6.05,6.05,6.05,1298.96,279.67,99.36,73.26,66.89,4.68,1.7,26.1,33.08,29.85,29.85,29.85,,29.85,,,3.23,16.74,16.74,94.16,94.16,36.33,1019.29,721.56,711.43,711.43,,,,711.43,,10.13,252.26,252.26,45.47,0.0,90.71,-91.66,2480.61,2480.61,0.01,2480.6,-2572.4,0.13,182.37,741.28,29.88,391.06,153.64,40.06,44.21,127.65,-45.21,,,,,,,,,187.16,23.49,24.95,22.46,22.11,21.91,72.25,,187.16,23.49,24.95,22.46,22.11,21.91,72.25,,989.37,59.74,416.01,204.58,62.17,75.85,216.26,-45.21,60.93,6.37,28.47,9.73,16.36
2019,1322.59,472.71,202.82,202.82,0.0,30.8,109.61,67.83,21.21,20.57,49.96,37.83,5.11,,7.02,21.05,58.47,849.88,607.06,869.68,76.21,40.51,35.69,130.26,101.65,28.61,12.61,,650.6,-262.62,-262.62,,,,50.75,50.75,30.91,29.15,1.76,143.76,11.67,5.73,5.73,5.73,1490.45,573.96,83.98,63.3,55.58,3.88,3.85,20.68,353.41,348.58,348.58,337.58,,337.58,,10.99,4.83,17.17,17.17,89.19,89.19,30.21,916.49,762.95,745.39,299.23,,,,299.23,446.17,17.55,136.0,136.0,17.54,,-167.86,-259.59,2686.77,2686.77,0.01,2686.76,-2946.38,0.02,91.73,636.81,350.13,139.37,26.05,29.45,35.94,77.15,-21.27,,,,,,,,,43.41,7.25,5.5,4.17,4.23,4.36,17.91,,43.41,7.25,5.5,4.17,4.23,4.36,17.91,,1026.84,403.94,144.87,127.69,33.68,121.81,216.13,-21.27,346.62,46.56,97.48,81.51,121.07
2020,1454.39,618.6,246.95,246.95,,52.47,142.06,79.09,29.06,33.91,110.58,99.51,5.43,,5.64,25.08,41.47,835.78,636.25,945.92,84.23,46.73,37.5,135.53,106.64,28.89,21.12,35.62,669.42,-309.67,-309.67,,,,45.27,45.27,25.83,24.12,1.71,117.29,9.19,1.95,1.95,,1312.99,436.38,90.02,63.29,58.33,2.22,2.73,26.73,160.61,141.49,141.49,120.85,118.02,2.83,0.0,20.64,19.12,28.34,28.34,114.29,114.29,43.12,876.61,776.87,771.88,270.05,141.74,99.39,28.92,,501.83,4.99,96.68,96.68,3.07,,141.4,78.82,3182.77,3182.77,0.02,3182.75,-3103.94,-0.01,62.57,527.05,121.47,16.39,22.17,24.89,258.02,84.12,,0.34,0.1,0.1,0.09,0.08,0.03,,-0.05,49.75,11.39,8.21,8.29,8.47,8.33,19.86,-14.81,50.09,11.48,8.31,8.38,8.56,8.36,19.86,-14.86,901.65,181.35,24.7,130.91,33.44,350.36,195.74,-14.86,324.5,48.4,100.37,83.98,91.76
2021,1725.57,806.42,396.04,396.04,,92.54,143.37,80.81,31.89,30.67,124.24,87.79,5.78,25.2,5.46,25.2,25.04,919.15,710.77,1067.36,101.87,48.93,52.94,140.48,110.6,29.88,43.54,106.66,674.8,-356.59,-356.59,1.96,1.96,1.96,47.44,47.44,23.59,23.59,,126.54,8.86,,,,1727.1,342.48,102.33,76.62,72.97,2.16,1.49,25.71,59.71,53.65,53.65,25.83,3.44,22.4,,27.82,6.06,38.22,38.22,89.98,89.98,52.24,1384.62,1068.99,1068.99,500.9,252.47,222.86,25.57,,568.09,,99.81,99.81,7.28,208.55,-1.53,-44.33,3219.1,3219.1,0.02,3219.08,-3263.08,-0.35,42.8,526.73,25.83,32.43,36.37,270.61,44.87,129.56,-12.94,118.5,46.07,45.12,42.87,41.38,36.56,55.78,-149.27,119.29,13.15,14.99,13.5,13.52,13.06,61.64,-10.58,237.79,59.22,60.11,56.37,54.9,49.62,117.42,-159.85,764.52,85.05,92.54,92.74,325.51,94.49,246.97,-172.79,,,,,
