,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,"Purchased Fuel, Power and Gas",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Insurance and Claims,Rent Expense,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Other Finance Income,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Losson Investment Properties,Fair Value Gain/Loss on Investment Properties,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Realized Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Fair Value or Unrealized Gain/Loss on Financial Assets,Rental Income,Irregular Income/Expense,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Effective Tax Rate,Reported Normalized EBITDA,Reported Operating Expense,Discontinued Operations,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,703.81,1140.01,1140.01,-436.19,-261.72,-181.82,7.34,-578.22,-212.05,-174.75,-10.44,-10.44,-5.05,-21.82,-72.59,-72.59,-60.26,-12.33,-2.45,-2.45,-291.14,-291.14,125.59,1.06,-23.12,-15.85,-19.52,3.67,-7.27,-7.27,,19.29,4.79,4.79,10.08,10.08,-5.25,9.67,,,,1.4,-1.91,-5.68,3.76,0.0,5.4,126.65,-16.39,110.26,77.17,-5.7,71.47,71.47,71.47,,,1140.01,,,-947.35,-33.09,,,,,,,,,0.449,0.449,159.12,159.12
2018,735.93,1196.19,1196.19,-460.26,-274.39,-192.52,6.65,-603.82,-220.46,-176.33,-12.35,-12.35,-4.19,-27.59,-78.09,-78.09,-61.51,-16.59,-3.85,-3.85,-301.42,-301.42,132.11,52.53,-19.14,-9.75,-14.28,4.53,-9.38,-9.38,,62.08,1.05,1.05,11.52,11.52,-12.32,19.34,,,42.49,1.67,-3.09,-3.11,0.02,,11.02,184.64,-35.87,148.77,135.66,-8.47,127.19,127.19,127.19,,,1196.19,,,-1001.17,-13.11,,,,,,,,,0.799,0.799,159.12,159.12
2019,757.68,1211.83,1211.83,-454.15,-295.95,-164.64,6.44,-620.63,-214.98,-184.9,-13.53,-13.53,-4.39,-12.17,-106.48,-106.48,-88.02,-18.47,-0.94,-0.94,-298.23,-298.23,137.04,-10.39,-14.77,-8.54,-12.82,4.28,-6.23,-6.23,,-3.85,0.31,0.31,6.47,6.47,-4.39,-6.24,,,,1.69,-3.98,-4.16,0.18,,10.52,126.65,-36.22,90.43,90.43,-6.86,83.57,83.57,83.57,,,1211.83,,263.79,,0.0,,,,,,,,,0.525,0.525,159.12,159.12
2020,755.58,1224.79,1224.79,-469.21,-308.31,-167.33,6.42,-612.84,-213.86,-188.43,-10.44,-10.44,-4.22,-10.77,-104.22,-104.22,-86.83,-17.39,-0.75,-0.75,-294.0,-294.0,142.74,-0.18,-15.97,-9.24,-12.81,3.57,-6.73,-6.73,,8.07,0.57,,6.71,6.71,-3.97,4.75,,,,1.62,-1.18,-1.35,0.17,,7.28,142.56,-33.2,109.36,109.36,-7.36,102.01,102.01,102.01,,,1224.79,0.23,263.74,,,,,,,,,,,0.641,0.641,159.04,159.04
2021,817.5,1359.98,1359.98,-542.48,-311.15,-240.59,9.26,-647.92,-205.88,-181.41,-9.67,-9.67,-4.38,-10.42,-109.57,-109.57,-92.98,-16.6,-2.04,-2.04,-330.43,-330.43,169.59,2.4,-10.37,-6.6,-8.68,2.08,-3.77,-3.77,,2.84,0.82,,18.27,18.27,-13.66,-2.58,,,,1.18,-0.08,-0.36,0.28,,8.84,171.99,-48.99,123.0,123.0,-9.68,113.32,113.32,113.32,,,1413.72,,,,,0.724,0.724,0.724,0.724,156.43,156.43,0.0,0.0,0.724,0.724,156.43,156.43
