,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,Other Short Term Investments,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current",Other Current Assets,"Deferred Tax Assets, Current","Derivative Investment and Hedging Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment","Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment","Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Other Intangible Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Subsidiaries,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Deferred Tax Assets, Non-Current","Pension and Other Employee Benefits, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Provisions, Current","Provision for Employee Entitlements, Current","Other Employee-Related Liabilities, Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Current","Other Provisions, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Provision for Asset Retirement Obligation/Site Restoration and Rehabilitation, Non-Current","Other Provisions, Non-Current",Other Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Other Loans, Non-Current","Derivative and Hedging Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc, Available for Sale Financial Investments Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,279697.0,207099.0,126963.0,126963.0,,,64390.0,,,,9386.0,9386.0,9386.0,5179.0,1180.0,,72591.0,57686.0,81338.0,42290.0,14111.0,28179.0,12463.0,12463.0,26111.0,474.0,-23652.0,-23652.0,-15022.0,-15022.0,-8242.0,-8242.0,-388.0,8075.0,8073.0,4109.0,3964.0,1996.0,1968.0,2699.0,2647.0,2647.0,52.0,52.0,1953.0,1953.0,,83.0,2095.0,37193.0,34924.0,23223.0,23223.0,15262.0,7961.0,3658.0,3658.0,3658.0,883.0,2775.0,,,,1259.0,906.0,906.0,16.0,337.0,6780.0,2269.0,1052.0,682.0,682.0,370.0,,1212.0,,,,,,,242504.0,241703.0,43949.0,43951.0,19972.0,23979.0,-2.0,186448.0,11306.0,11293.0,13.0,801.0,,,,,,,,,,,,,,,,,,,,,,,
2019,296941.0,220610.0,139914.0,139914.0,,,65665.0,,,,10423.0,10423.0,10423.0,4606.0,,,76327.0,61288.0,86573.0,47365.0,17099.0,30266.0,13612.0,13612.0,25164.0,432.0,-25285.0,-25285.0,-16089.0,-16089.0,-8818.0,-8818.0,-378.0,6840.0,6838.0,2876.0,3962.0,1570.0,2392.0,2693.0,2647.0,2647.0,46.0,46.0,1802.0,1802.0,3087.0,,617.0,37630.0,35580.0,21598.0,21598.0,13877.0,7721.0,3416.0,3416.0,3416.0,1227.0,2189.0,,,,1299.0,915.0,915.0,23.0,361.0,9264.0,2050.0,1080.0,703.0,703.0,377.0,,964.0,,,,,,,259311.0,258373.0,43949.0,43951.0,19972.0,23979.0,-2.0,205591.0,8833.0,8825.0,8.0,938.0,,,,,,,,,,,,,,,,,,,,,,,
2020,311084.0,233803.0,149344.0,149344.0,,,68011.0,,,,10493.0,10493.0,10493.0,5954.0,,,77273.0,63040.0,89869.0,48588.0,17029.0,31559.0,14935.0,14935.0,25894.0,452.0,-26829.0,-26829.0,-16789.0,-16789.0,-9643.0,-9643.0,-397.0,5914.0,5913.0,2054.0,3859.0,1162.0,2697.0,2680.0,2647.0,2647.0,33.0,33.0,1660.0,1660.0,3357.0,,622.0,39277.0,37170.0,23563.0,23563.0,16413.0,7150.0,3261.0,3261.0,3261.0,1045.0,2216.0,,,,1227.0,985.0,985.0,23.0,219.0,9114.0,2107.0,1252.0,799.0,799.0,453.0,,852.0,,,,,,,271807.0,270664.0,44013.0,44015.0,19972.0,24043.0,-2.0,219616.0,7035.0,7030.0,4.0,1143.0,,,,,,,,,,,,,,,,,,,,,,,
2021,317832.0,225222.0,146626.0,138669.0,7957.0,7957.0,63356.0,,,,10275.0,10275.0,10275.0,4963.0,,,92605.0,63200.0,92583.0,50361.0,17078.0,33283.0,16091.0,16091.0,25674.0,457.0,-29383.0,-29383.0,-17900.0,-17900.0,-11092.0,-11092.0,-391.0,5066.0,5065.0,1199.0,3866.0,740.0,3126.0,19724.0,2563.0,2563.0,17161.0,17161.0,1495.0,1495.0,2523.0,,597.0,38891.0,37145.0,23188.0,23188.0,14468.0,8720.0,2014.0,2014.0,2014.0,782.0,1232.0,,,,1385.0,996.0,996.0,152.0,237.0,10554.0,1746.0,911.0,552.0,552.0,359.0,,831.0,,,,,,,278941.0,277623.0,44013.0,44015.0,19972.0,24043.0,-2.0,224811.0,8799.0,6569.0,2229.0,1318.0,,,,,,,,,,,,,,,,,,,,,,,
2022,317720.0,226923.0,151948.0,141767.0,10181.0,10181.0,59847.0,,,,11091.0,11091.0,11091.0,4035.0,,,90792.0,65332.0,97716.0,53909.0,19198.0,34711.0,17116.0,17116.0,26253.0,438.0,-32384.0,-32384.0,-19233.0,-19233.0,-12757.0,-12757.0,-394.0,4837.0,4837.0,509.0,4328.0,393.0,3935.0,15176.0,609.0,609.0,14567.0,14567.0,1450.0,1450.0,3416.0,1.0,580.0,32841.0,31268.0,18045.0,18045.0,13161.0,4884.0,2283.0,2283.0,2283.0,933.0,1350.0,,,,1415.0,984.0,984.0,205.0,226.0,9521.0,1573.0,658.0,313.0,313.0,345.0,,911.0,,,,,,,284879.0,283297.0,44013.0,44015.0,19972.0,24043.0,-2.0,228162.0,11122.0,9131.0,1991.0,1582.0,,,,,,,,,,,,,,,,,,,,,,,
