,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,"Staff Cost, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,"Other Income/Expense, Operating","Income from Grants Received, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Net Investment Income,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Write Off/Write Down of Other Assets,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,-4.64,1.56,1.56,-6.2,-6.2,-0.91,-3.78,-3.78,-0.19,-0.19,3.05,3.05,0.0,-5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.55,0.0,-5.55,-5.55,-5.55,-5.55,-5.55,,,1.56,-10.17,-5.55,-0.671682,-0.671682,-0.671682,-0.671682,8.27,8.27,-0.6717,-0.671682,8.27,8.27
2020,-6.68,2.48,2.48,-9.16,-9.16,-3.12,-6.18,-6.18,-0.23,-0.23,3.29,3.3,-0.01,-9.8,-0.66,-0.58,-0.58,-0.58,0.02,0.02,-0.11,-0.11,-10.46,0.0,-10.46,-10.46,-10.46,-10.46,-10.46,,,2.48,-15.57,-9.78,-1.265587,-1.265587,-1.265587,-1.265587,8.27,8.27,-1.2656,-1.265587,8.27,8.27
2021,-10.12,2.46,2.46,-12.58,-12.58,-16.26,-19.9,-19.9,-0.3,-0.3,3.93,4.07,-0.14,-26.39,-0.56,-0.56,-0.56,-0.56,0.0,0.0,0.0,0.0,-26.95,0.0,-26.95,-26.95,-26.95,-26.95,-26.95,,,2.46,-32.92,-26.39,-3.990482,-3.990482,-3.990482,-3.990482,6.75,8.27,-3.2593,-3.259344,8.27,8.27
TTM,-14.33,1.4,1.4,-15.72,-15.01,-14.85,-17.19,-17.19,-0.31,-0.31,2.64,,-1.43,-29.18,-0.66,-1.13,-1.13,,,,0.0,0.0,-29.84,0.0,-29.84,-29.84,-29.84,-29.84,-29.84,,,3.26,-51.83,-43.32,-3.490482,-3.490482,-3.490482,-3.490482,7.29,8.81,-3.3638,-3.363796,10.51,10.51
