,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Short Term Investments,Other Short Term Investments,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Finance Lease Receivable, Current","Taxes Receivable, Current","Other Receivables, Current","General Allowance for Receivables and Write Offs, Current","Amount Due From Related Parties, Current","Prepayments and Deposits, Current","Cash Restricted or Pledged, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,Accumulated Depreciation of Leasehold and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Construction in Progress,Investment Properties and Properties Held for Development,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Licenses and Rights,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,Investments in Joint Ventures,"Investment in Financial Assets, Non-Current","Financial Assets Designated as Fair Value Through Profit or Loss, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Deferred Tax Assets, Non-Current","Trade and Other Receivables, Non-Current","Other Receivables, Non-Current","Loans Receivable, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current","Other Payable, Current","Dividends Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Capital Lease Obligations, Current",Current Debt,"Other Loans, Current Debt","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Other Financial Liabilities, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt due Beyond,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 5
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,3673.42,1742.75,1534.1,1534.1,1534.1,,,70.4,61.26,0.34,8.79,72.84,37.25,,,,18.17,17.41,,0.01,65.03,0.38,1930.67,874.76,2056.04,1517.21,680.4,836.81,430.89,328.79,95.7,6.4,107.95,-1181.28,-1181.28,-848.99,-175.16,-673.83,-332.29,-259.29,-67.48,-5.52,0.0,492.04,77.15,101.39,31.04,70.35,,65.0,5.35,-24.24,,,,-24.24,-24.24,402.18,149.79,144.64,5.14,252.39,245.49,6.91,6.91,81.8,81.8,1.48,1.25,,1.25,727.47,603.46,325.31,325.31,95.82,58.85,72.81,97.81,0.02,269.53,269.53,269.53,269.53,269.53,,,,8.62,8.62,124.01,50.59,50.59,50.59,50.59,,,73.42,73.42,2945.95,2731.98,108.4,108.4,108.4,2623.58,213.97,320.12,269.53,3.1,9.7,37.78,,,,,,,,,,,320.12,269.53,3.1,9.7,37.78,,,
2018,4137.95,1864.39,1356.41,1356.41,1356.41,,,79.26,67.83,0.27,11.16,351.47,31.09,34.04,-2.96,,28.01,292.36,,0.01,76.88,0.38,2273.55,882.46,2177.78,1517.88,596.16,921.72,473.51,349.41,117.62,6.48,186.39,-1295.32,-1295.32,-928.61,-163.44,-765.18,-366.71,-281.26,-79.67,-5.78,0.0,679.87,68.73,68.73,7.13,61.6,,55.99,5.61,,,,,,,471.66,161.3,149.35,11.95,310.36,310.36,0.0,0.0,83.07,83.07,1.7,86.08,86.08,,832.2,541.67,347.22,347.22,94.67,61.26,73.52,117.75,0.03,169.6,169.6,169.6,169.6,169.6,,,,24.85,24.85,290.53,182.66,49.91,49.91,49.91,,132.75,107.87,107.87,3305.74,3230.49,108.4,108.4,108.4,3122.09,75.25,219.51,169.6,3.19,9.98,36.74,,,,,,,,,,,219.51,169.6,3.19,9.98,36.74,,,
2019,4927.28,2082.25,1705.4,1705.4,1705.4,,,126.69,114.36,0.11,12.22,151.48,20.31,23.49,-3.18,,41.41,90.05,-0.29,0.0,98.68,0.0,2845.03,1249.99,2641.62,2091.54,445.69,1645.86,523.22,365.75,151.06,6.41,26.86,-1391.63,-1391.63,-991.77,-156.89,-834.88,-399.86,-289.34,-104.6,-5.92,0.0,1032.12,45.97,45.97,1.34,44.63,,38.63,6.0,,,,,,,408.99,146.28,134.57,11.71,262.71,262.71,,,98.89,98.89,9.07,0.0,0.0,,1518.84,817.19,404.91,404.91,131.94,39.86,68.45,164.64,0.03,390.39,390.39,390.39,160.16,160.16,230.23,,,21.9,21.9,701.64,526.29,463.51,47.52,47.52,415.99,62.78,175.36,175.36,3408.44,3329.07,108.4,108.4,108.4,3220.67,79.37,207.68,160.16,3.47,10.83,33.23,646.22,230.23,189.27,222.53,4.19,646.22,230.23,189.27,222.53,4.19,1264.78,738.49,192.74,296.13,37.42,410.88,348.1,62.78
2020,4610.39,2034.2,1738.38,1738.38,1738.38,,,137.2,112.75,0.1,24.36,103.43,28.43,31.74,-3.31,11.83,46.0,26.59,-9.43,,55.19,,2576.19,1111.47,2638.89,2058.06,447.31,1610.75,565.04,371.22,187.3,6.52,15.79,-1527.42,-1527.42,-1096.66,-174.22,-922.44,-430.76,-295.18,-129.78,-5.8,0.0,997.96,38.73,81.59,31.25,50.33,13.41,36.92,,-42.86,-12.89,-12.89,-12.89,-29.97,-29.97,302.49,65.81,56.1,9.72,236.67,236.67,,,97.98,97.98,27.57,,,,1381.54,739.58,317.87,317.87,119.83,21.8,48.67,127.57,0.0,394.24,394.24,394.24,146.47,146.47,247.77,,,27.47,27.47,641.97,485.63,424.56,39.58,39.58,384.99,61.07,156.34,156.34,3228.85,3157.77,108.4,108.4,108.4,3049.36,71.09,186.04,146.47,5.18,16.17,18.22,632.75,247.77,225.85,155.26,3.88,632.75,247.77,225.85,155.26,3.88,1119.47,633.84,231.03,232.5,22.1,300.67,239.61,61.07
2021,4301.22,1809.11,1527.54,1527.54,1527.54,,,120.39,99.15,0.02,21.22,83.14,18.86,19.1,-0.23,12.03,45.94,15.77,-9.46,,78.05,,2492.1,1089.47,2717.95,2104.51,447.1,1657.42,612.32,382.85,222.58,6.89,1.12,-1628.48,-1628.48,-1161.73,-192.79,-968.95,-466.75,-305.16,-155.59,-6.0,0.0,996.03,36.95,79.05,30.51,48.54,12.98,35.56,,-42.1,-12.85,-12.85,-12.85,-29.25,-29.25,244.12,64.8,56.31,8.49,179.32,179.32,,,88.33,88.33,37.21,,,,1187.07,575.14,288.35,288.35,117.52,20.53,26.45,123.86,,271.66,271.66,271.66,41.69,41.69,229.97,,,15.13,15.13,611.93,445.73,409.71,35.32,35.32,374.4,36.02,166.2,166.2,3114.15,3060.11,108.4,108.4,108.4,2951.7,54.04,77.0,41.69,4.99,15.6,14.73,604.37,229.97,263.6,89.16,21.64,604.37,229.97,263.6,89.16,21.64,681.37,271.66,268.59,104.76,36.37,,,
