,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,"Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Irregular Income/Expense,Disposal of Businesses,Impairment/Write Off/Write Down of Capital Assets,Restructuring and Reorganization Income/Expense,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Preferred/Other Stock Distribution,Preferred Stock Dividends,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Normalized Income,Reported Normalized EBITDA,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental",Discontinued Operations,Dilution to Earnings,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1047.0,8803.0,8803.0,-7756.0,-4958.0,-2798.0,-880.0,-880.0,167.0,-742.0,-637.0,-637.0,-637.0,,,,,-86.0,,,,-86.0,-19.0,-575.0,902.0,327.0,327.0,,327.0,,,327.0,327.0,,,8803.0,-132.0,267.0,1.57,,,,,0.0,,,,,,,,3.94,3.94,83.0,83.0
2018,1459.0,9504.0,9504.0,-8045.0,-5355.0,-2690.0,-1017.0,-1017.0,442.0,-699.0,-739.0,-739.0,-739.0,,,,,,,,,,40.0,-257.0,30.0,-227.0,-227.0,2.0,-225.0,,,-225.0,-225.0,,,9504.0,-14.0,433.0,0.12,,,,,,,,,,,,,-2.68,-2.68,84.0,84.0
2019,1728.0,9779.0,9779.0,-8051.0,-5486.0,-2565.0,-969.0,-969.0,759.0,-746.0,-805.0,-805.0,-805.0,,,,,0.0,,,,0.0,59.0,13.0,-63.0,-50.0,-50.0,-8.0,-58.0,,,-58.0,-58.0,,,9779.0,168.0,649.0,,,,,,,,,,,,,,-0.49,-0.49,117.0,117.0
2020,-401.0,5258.0,5258.0,-5659.0,-3627.0,-2032.0,-664.0,-664.0,-1065.0,-987.0,-608.0,-608.0,-608.0,,,,,-388.0,,,-175.0,-213.0,9.0,-2052.0,329.0,-1723.0,-1723.0,9.0,-1714.0,,,-1714.0,-1714.0,,,5258.0,,,,,,,,,,,,,,,,-11.44,-11.44,150.0,150.0
2021,2723.0,7336.0,7336.0,-4613.0,-3920.0,-693.0,-688.0,-688.0,2035.0,-1352.0,-469.0,-469.0,-469.0,,-627.0,-627.0,-627.0,-277.0,400.0,0.0,-677.0,,21.0,683.0,-318.0,365.0,365.0,1.0,366.0,-450.0,-450.0,-84.0,-84.0,,,7336.0,,,,,-693.0,-693.0,-693.0,,,-0.27,-0.27,-0.27,-0.27,315.0,315.0,-0.27,-0.27,315.0,315.0
