,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
0,-0.09849789662217036,-0.05112608323680127,-0.09973701776228533,-0.09973701776228533,-0.08490871172673015,-0.054515592712825967,-0.050363434926793745,-0.08057193598423067,-0.10243229655504296,-0.09535026804797206,-0.050840592512441364,-0.050840592512441364,-0.05052033088429065,-0.05052033088429065,-0.03616755400804818,-0.03616755400804818,-0.043990895045226144,-0.049605920646061334,-0.05112608323680127,-0.05112608323680127,-0.05112608323680127,-0.03979117072499186,-0.050498369081942336,-0.028593062341155162,-0.07851553054931278,-0.03491245636506068,-0.0012020859575304233,-0.008850372875318856,-0.034800501847771725,-0.08693922681922008,-0.07878241637130629,-0.0028987228105985157,-0.04927120286228469,-0.049605920646061334,-0.0797698754337964,-0.04427158367934671,-0.0361837507167361,-0.004235443190228663,-0.07765160223756806,-0.08707599881126134,-0.049605920646061334,-0.033873177395037646
Revenue per Share,0.052055836555162924,0.04618052660020527,0.04982012913354829,0.04243793348396639,0.04284958548201935,0.03386501381150271,0.05194414845077455,0.05149399130109236,0.10770721144047042,0.07752836107392845,0.04987779452857742,0.05032402429540236,0.04089473173565044,0.043627967244510166,0.04674300338163002,0.06451816420650934,0.01703042457081965,0.048340167898568306,0.03469703495981574,0.04110573278933357,0.04449858082019515,0.14839326748173967,0.03788511335452493,0.05009578752545618,0.04711692235979517,0.039677807837356444,0.061973521666125915,0.07826360679719657,0.02799417329156644,0.03990329227802177,0.03900275539206952,0.06424075101077523,0.0690560075114429,0.046212952139447455,0.03878178756437375,0.037590679744388754,0.032010490603290045,0.13498877630358674,0.06144233890896243,0.1103152359122661,0.04087335148187033,0.057684081209150834
EBITDA per Share,0.00040267887672309653,0.06036507530911127,0.025448092802846368,0.015151717597695544,0.013762068258418848,0.048784189717065836,0.02790019975225807,0.01931734143227886,0.03242710703332778,0.0418566047231976,0.057545214559999835,0.05488118632114665,0.03325411929709563,0.006445305787816225,0.00024805972669990253,0.03316104983132027,0.05568855384995933,0.06650547675107502,0.06603648912121333,0.05606663096830354,0.05276706127951527,0.05242096198033906,0.059976826152066454,0.02181735567481805,0.023652948981192502,0.05630154360660729,0.05515816698890836,0.06664093585751198,0.060956390921204515,0.026855353796494744,0.030021004084295116,0.06796945828568943,0.07062280555188852,0.05926539414080341,0.03813240270627841,0.05360019580254013,0.05783526659992289,0.04398250281481389,0.08748004730649692,0.02341661819535736,0.04188588967464127,0.0701810304399417
EBIT per Share,0.005437943777292105,0.06746533394408087,0.02889777660498343,0.021185093199409206,0.01564646212912556,0.06506961338024587,0.03486106895841649,0.026637776612638043,0.032635207352623395,0.0410588623483666,0.06590094238422449,0.06412982862878093,0.03383163179339894,0.004081959211847217,0.011584015637968785,0.03317038597428295,0.05690438340126296,0.07361441035093409,0.06528749602271969,0.0631000302131135,0.06001710934550164,0.059944162450441756,0.06395794625758895,0.023779187862873856,0.032683655756029335,0.026402451240004014,0.05566456671717914,0.06721560835349076,-0.006071361485220254,0.024117795286302535,0.0348907228368011,0.0658364686507805,0.06257028160518953,0.0681947732869598,0.038360791948093345,0.04981978593655265,0.04383678731461011,0.0377194384574275,0.08530830422262252,0.023234576134136948,0.04488929665181093,0.0692430345967143
Earnings per Share (Diluted),0.11525409982382842,0.1755715449812814,0.11177769118577091,0.11416523797450191,0.07050527797332133,0.10206363266321775,0.10121186645994147,0.11298870660882634,0.060992867845545334,0.12852261311598945,0.10002784932877233,0.12601433528272557,0.16524802171834024,0.09934632089703992,0.10056624291708871,0.18439307940590122,0.09705879290609051,0.11887881875455569,0.11206901144366112,0.12205049951600135,0.11154590852923602,0.204553896971491,0.10782951698718031,0.11579856878499006,0.13072755431469674,0.08325904025312537,0.10821723360112233,0.10574287783488681,0.06987258568368451,0.13082516704818953,0.1281081104941286,0.11746375094546345,0.09342381810774644,0.16927495110667642,0.12391755218009783,0.09368005130951257,0.08733829343631883,0.1643645166913299,0.1186717518670198,0.22478974451116573,0.13072997935875633,0.12425968358961101
EPS without NRI,0.07571019137344677,0.0703098427490299,0.07708116960271627,0.040561777635358384,0.04267821718840987,0.014025601144145049,0.08391376481292132,0.06255870601905218,0.02842263779886714,0.13698982051954267,0.12553052434615394,0.04325129462888337,0.06133379506374491,0.06815121910361902,0.03121994140058414,0.10425421586491415,0.11738609530209038,0.11326622785317815,0.06212850825056129,0.03674421118509552,0.03762781575984213,0.07056739096988475,0.08689838149679721,0.10898259912868384,0.1252361588738163,0.1044335314037408,0.08425016497709238,0.09557803528392224,0.10450030805578232,0.12427386302497187,0.09694065855022595,0.11468858010745511,0.12162687184212678,0.036210932025639186,0.11439566372755629,0.06164179669972259,0.03370618491729273,0.03433221094729972,0.10640696721328141,0.06353169155771574,0.030988672579369925,0.1194457954811832
Owner Earnings per Share (TTM),0.10556010112138249,0.17070062315509058,0.06666250139530329,0.0639274254090281,0.041051368925443046,0.09323615064884402,0.06598020744266282,0.05001135123829596,0.08602637393782929,0.07246993409192154,0.08746904267419751,0.09982162575906334,0.08097634375488406,0.06311886599625322,0.05324745833347854,0.13739194196646745,0.03580541593118492,0.09679184364798772,0.0985128275872779,0.1118473144198068,0.09663350527541592,0.15289666675003663,0.10533001992481311,0.05757845117515287,0.06012284792455694,0.03742465808260232,0.09942583690105378,0.10537133495433344,0.046720961828187135,0.06322902184061134,0.06148230364746803,0.09779504500381336,0.10466978790214015,0.17326251949183047,0.037581279253690175,0.04777015943156114,0.04387319162907088,0.15885337888981324,0.10644149673203748,0.08717263367400231,0.10355400379054272,0.11681390464715583
Free Cash Flow per Share,0.006447362010338962,0.06639456866041799,0.11100710255736511,0.052650922476838925,0.40929872207096557,0.027382572141151404,0.020653744011944964,0.017295377630317278,0.03629110717580957,0.030238974230707195,0.13095240853713572,0.04480970775251243,0.0077139305841763045,0.018764730040002866,0.018320288151948385,0.09139173264757951,0.020343886262703757,0.05126407593524993,0.03954009033735216,0.05475417117749372,0.11886432436764391,0.0682013786556091,0.04973643877962508,0.013043190194634369,0.01749337739676825,0.037952637188275504,0.052290043121084796,0.05243246520736799,0.0371702816773875,0.013028545748472859,0.018011468164046942,0.05162116029071671,0.044892231229579416,0.034454685207461255,0.028901758409541563,0.040284276613730054,0.02119718466244323,0.06197452456861826,0.058140564992220624,0.0038133200319343877,0.048338487624094845,0.06262531149378434
Operating Cash Flow per Share,0.06297861914789002,0.12706526984093033,0.10558843245733801,0.04486466749038985,0.39353908950808736,0.03298770671502719,0.020718122981083765,0.01829687755846291,0.04680316627268976,0.022122552987437167,0.0667324418380631,0.051693650317069205,0.02383189142067879,0.02078158323682709,0.011217333306612462,0.0476454982822399,0.02975656849102543,0.053397465767576625,0.0419917514914032,0.05118945685622354,0.07147893136531014,0.1227782491114351,0.04665161072639513,0.018869233437801804,0.01447628285048932,-0.020071182828434862,0.04923225165411291,0.051067678218706745,-0.006401653953692108,0.013675466930385278,0.017884444614706514,0.06125198788612723,0.09355951661915518,0.0640036462284844,0.02485335805818386,0.0892083968601692,0.004406210465428082,0.056843541316260814,0.06196543499456719,0.08660465007946529,0.04840934037586131,0.0643107552721449
Cash per Share,0.12088131706616285,0.11509480084019226,0.13489981606881035,0.1389446536868085,0.496677786731085,0.034545535425746204,0.03297051693149653,0.06894539726054724,0.02774444847360466,0.0755171264652889,0.04414188823574029,0.03380652299844643,0.025822660189950976,0.032761166188098975,0.019722094139562413,0.061511082954838904,0.02034186771850598,0.052460906006611845,0.049150001499793185,0.11586146532254189,0.06249588208549158,0.15926114833154262,0.04267867766267791,0.03991642192302956,0.06100757477495067,0.01740684546895694,0.07943125232740501,0.09085286658792731,-0.0071291031968774244,0.05736345251752,0.06131816855678152,0.08370736849714193,0.07583171822505295,0.10877138331460526,0.13643509573186555,0.09941240061908879,0.1074485909609155,0.13999023137815791,0.16376894024318764,0.04604585183273989,0.01411148246268481,0.05391903490087406
