,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Amount Due From Related Parties, Current","Accrued Income/Unbilled Revenue/Cost in Excess of Billings, Current",Other Current Assets,Total Non-Current Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current",Other Current Liabilities,Total Non-Current Liabilities,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Other Provisions, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,7.3,1.86,0.13,0.13,0.13,1.71,,1.71,,0.02,5.45,5.45,,,5.45,5.45,0.72,0.09,0.05,0.05,0.03,,0.02,0.04,0.63,0.53,,,0.53,0.1,0.1,,6.58,6.58,4.88,4.94,2.16,2.78,-0.06,1.01,0.69,0.69
2018,6.7,1.25,0.2,0.2,0.2,1.05,0.03,1.02,,,5.45,5.45,5.45,5.45,,,0.26,0.04,0.04,0.04,0.03,0.0,0.01,,0.21,0.16,,,0.16,0.06,0.06,0.0,6.44,6.44,4.96,5.06,2.16,2.9,-0.1,1.46,0.03,0.03
2019,7.09,1.65,0.12,0.12,0.12,1.53,0.03,1.5,,0.0,5.45,5.45,5.45,5.45,,,0.46,0.06,0.06,0.06,0.03,0.01,0.02,,0.4,0.23,0.0,0.0,0.23,0.17,0.17,0.0,6.63,6.63,4.96,5.06,2.16,2.9,-0.1,1.65,0.03,0.03
2020,7.12,1.67,0.2,0.2,0.2,1.47,0.01,1.46,,0.01,5.45,5.45,5.45,5.45,,,0.24,0.03,0.03,0.03,0.01,0.0,0.02,,0.21,0.14,0.0,0.0,0.14,0.07,0.07,0.0,6.88,6.88,4.96,5.06,2.16,2.9,-0.1,1.9,0.03,0.03
2021,8.23,2.48,0.27,0.27,0.27,2.21,0.03,2.18,0.0,0.0,5.75,5.75,5.75,5.75,,,0.86,0.03,0.03,0.03,0.02,0.0,0.02,,0.82,0.68,0.0,0.0,0.68,0.14,0.14,,7.37,7.37,4.9,5.06,2.16,2.9,-0.16,2.44,0.03,0.03
