,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Irregular Income/Expense,Merger and Acquisition Income/Expense,Disposal of Businesses,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Net Investment Income,Gain/Loss on Foreign Currency Exchange,Realized Gain/Loss on Foreign Currency Exchange,Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized Operating Profit,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Basic EPS,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1540.95,4323.67,4323.67,-2782.72,-2782.72,-1444.77,-1444.77,96.18,-33.17,-41.87,-41.87,-41.87,0.0,,0.0,0.0,-4.2,12.89,12.89,12.89,63.01,39.84,102.85,102.85,-6.31,96.54,96.54,96.54,,,4323.67,96.18,38.34,0.632,120.76,10.35,10.35,10.3,10.3,9.33,9.37,0.0,0.0,0.0,10.35,10.3,9.33,9.37
2018,1555.71,4625.36,4625.36,-3069.65,-3069.65,-1497.81,-1497.81,57.9,-71.19,-50.51,-50.51,-50.51,-28.77,-28.77,,,-2.09,10.17,10.17,10.17,-13.29,-1.87,-15.16,-15.16,-4.77,-19.93,-19.93,-19.93,,,4625.36,57.9,47.18,-0.141,126.75,-2.13,-2.13,-2.13,-2.13,9.35,9.35,0.0,0.0,0.0,-2.13,-2.13,9.35,9.35
2019,1670.5,4826.55,4826.55,-3156.05,-3156.05,-1489.75,-1489.75,180.75,-146.53,-45.99,-45.99,-45.99,-92.79,-92.79,,,-7.75,0.0,0.0,0.0,34.23,-15.67,18.56,18.56,-7.19,11.38,11.38,11.38,,,4826.55,180.75,91.97,0.458,195.41,1.21,1.21,1.21,1.21,9.37,11.69,0.0,0.0,0.0,1.21,1.21,9.37,11.69
2020,1768.91,5007.36,5007.36,-3238.45,-3238.45,-1455.53,-1455.53,313.38,-72.34,-36.74,-36.74,-36.74,-31.21,-31.21,,,-4.39,0.0,0.0,0.0,241.04,-58.94,182.1,182.1,-9.6,172.49,172.49,172.49,,,5007.36,313.38,191.59,0.245,307.63,18.4,18.4,18.3,18.3,9.37,9.43,0.0,0.0,0.0,18.4,18.3,9.37,9.43
2021,1954.19,5562.71,5562.71,-3608.53,-3608.53,-1515.02,-1515.02,439.17,-184.02,-33.45,-33.45,-33.45,-146.31,-146.31,,,-4.27,,,,255.15,-65.57,189.58,189.58,0.0,189.58,189.58,189.58,,,5562.71,439.17,301.75,0.257,442.42,20.23,20.23,20.17,20.17,9.37,9.4,0.0,0.0,0.0,20.23,20.17,9.37,9.4
