,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,"Cash Restricted or Pledged, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Assets Held for Sale/Discontinued Operations, Current",Other Current Assets,"Deferred Tax Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Licenses and Rights,Research and Development,Other Intangible Assets,Software and Technology,Trademarks and Patents,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Licences and Rights,Accumulated Amortization of Research and Development,Accumulated Amortization of Other Intangible Assets,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Other Intangible Assets,"Cash Restricted or Pledged, Non-Current",Other Non-Current Assets,"Deferred Costs/Assets, Non-Current","Deferred Tax Assets, Non-Current",Total Long Term Investments,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Interest Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Capital Lease Obligations, Current",Other Current Liabilities,"Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Other Loans, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Other Non-Current Liabilities,"Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current","Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Other Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 3,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Operating Lease due in Year 5,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Lease Liability - Due in year 5,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,1197.97,441.7,307.07,307.07,,0.41,37.5,,,37.5,81.4,81.4,82.25,-0.85,13.33,,1.98,,756.27,36.67,86.67,23.98,23.98,49.15,24.96,24.2,5.0,,8.54,-50.0,-50.0,717.21,1061.81,775.19,,697.75,77.45,,,286.61,-344.59,-47.83,-47.83,,-12.82,-35.01,-296.76,-296.76,,0.75,1.64,,,677.98,143.96,127.5,43.46,31.07,12.38,,84.04,0.65,0.65,0.65,0.65,0.65,0.0,,6.76,9.06,9.06,534.02,334.48,334.48,334.48,308.81,25.67,,,22.46,22.46,153.69,23.4,23.4,,,,519.99,519.99,968.24,968.63,0.05,0.0,968.58,-0.39,-455.11,6.86,335.12,6.68,13.36,371.79,-56.72,50.4,7.83,7.29,7.48,7.67,10.25,,9.87,,,,,50.4,7.83,7.29,7.48,7.67,10.25,,9.87,385.52,14.52,7.29,20.84,7.67,381.66,10.25,-56.72
2018,1299.67,528.11,445.55,293.56,151.99,0.53,29.01,,,,23.43,23.43,26.11,-2.68,19.38,,10.19,,771.56,60.52,117.43,25.05,25.05,48.87,24.8,24.07,34.49,,9.02,-56.91,-56.91,710.63,732.67,450.61,423.0,19.06,8.55,,,282.06,-22.04,-22.04,-22.04,0.0,-13.29,-8.75,0.0,0.0,,0.41,0.0,,,687.68,140.26,125.74,71.2,49.37,21.83,,54.54,0.62,0.62,0.62,0.62,0.62,,,13.9,0.0,0.0,547.43,343.14,343.14,343.14,318.67,24.47,,,7.48,7.48,196.8,0.0,0.0,,,,611.98,611.98,1003.02,1005.15,0.05,0.0,1005.11,-2.13,-393.84,2.81,320.52,6.65,354.41,,-40.54,43.86,7.38,7.67,7.87,10.07,7.77,,3.1,,,,,43.86,7.38,7.67,7.87,10.07,7.77,,3.1,364.38,14.04,7.67,362.28,10.07,3.1,7.77,-40.54
2019,799.72,201.11,125.84,62.09,63.75,12.84,25.22,1.75,13.51,9.96,22.08,22.08,22.77,-0.68,11.57,,3.56,,598.61,165.98,230.45,25.31,25.31,51.97,27.11,24.86,120.31,23.45,9.42,-64.48,-64.48,402.33,441.77,441.77,423.0,18.77,,,,0.0,-39.44,-39.44,-39.44,-25.64,-13.81,,,,30.27,0.03,,,,488.9,86.39,65.33,31.17,26.84,4.33,,34.16,8.35,8.35,8.35,0.6,0.6,,7.75,12.7,,,402.51,300.67,241.27,218.27,192.77,25.5,23.0,59.41,9.58,9.58,92.26,,,,,,310.82,310.82,978.8,979.44,0.05,0.0,979.39,-0.64,-666.81,-1.17,321.4,14.23,95.0,212.18,,30.74,7.75,7.94,9.97,3.04,4.54,-5.62,3.13,,,,,30.74,7.75,7.94,9.97,3.04,4.54,-5.62,3.13,352.15,21.98,7.94,104.97,3.04,215.3,4.54,-5.62
2020,632.68,221.34,71.37,71.37,0.0,12.92,28.68,3.43,6.6,18.64,20.19,20.19,21.46,-1.27,14.81,71.8,1.58,,411.35,25.74,61.77,15.32,15.32,22.46,2.57,19.89,0.17,18.48,5.34,-36.02,-36.02,366.98,441.69,441.69,423.0,18.69,,,,,-74.71,-70.58,-70.58,-56.4,-14.18,,-4.13,-4.13,18.61,0.01,,,,394.73,137.25,50.32,22.61,12.88,9.72,,27.72,76.58,76.58,76.58,68.63,68.63,,7.94,10.36,,,257.47,184.57,183.37,166.17,137.62,28.56,17.2,1.19,19.12,19.12,53.79,,,,,,237.96,237.96,1007.16,1007.8,0.01,0.0,1007.79,-0.64,-766.4,-2.8,325.77,82.51,24.84,218.42,,25.14,7.94,10.02,3.1,3.18,1.33,-3.7,3.27,,,,,25.14,7.94,10.02,3.1,3.18,1.33,-3.7,3.27,350.91,90.45,10.02,27.94,3.18,221.69,1.33,-3.7
2021,455.47,102.16,45.63,45.63,,13.4,18.55,3.34,0.0,15.21,17.0,17.0,18.01,-1.01,6.57,0.0,1.0,,353.31,11.13,46.13,15.32,15.32,22.42,2.32,20.1,0.0,6.75,1.64,-35.0,-35.0,335.98,437.59,437.59,423.0,14.59,,,,,-101.61,-101.61,-101.61,-87.16,-14.44,,,,6.19,0.01,,,,304.33,54.03,37.6,16.98,11.82,5.17,,20.62,8.19,8.19,8.19,0.0,0.0,,8.19,8.24,,,250.31,182.79,182.76,178.67,151.03,27.65,4.09,0.04,13.93,13.93,53.59,,,,,,151.14,151.14,1022.51,1023.15,0.01,0.0,1023.14,-0.64,-870.36,-1.02,243.26,12.42,230.84,,,12.27,8.35,1.22,1.25,1.29,1.33,-1.17,,100.59,27.09,37.5,36.0,12.27,8.35,1.22,1.25,1.29,1.33,-1.17,,356.13,47.87,1.22,269.59,1.29,36.0,1.33,-1.17
