,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Rent and Landing Fees, Cost of Revenue","Purchased Fuel, Power and Gas",Operation Maintenance and Repairs,"Staff Cost, Cost of Revenue","Dpreciation & Amortization, Cost of Revenue",Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Pension and Other Employee Benefits Costs,Other Staff Costs,General and Administrative Expenses,"Legal, Accounting, Auditing and Consulting Fee",Insurance and Claims,Rent Expense,Selling and Marketing Expenses,Telecommunication Expense,Operation and Maintenance Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Taxes Other Than Income Taxes,Provisions,Provision for Doubtful Accounts,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Realized Gain/Loss on Derivatives,Unrealized Gain/Loss on Derivatives,Other Investment Income,Gain/Loss on Investments and Other Financial Instruments,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Gain/Loss on Extinguishment of Debt,Restructuring and Reorganization Income/Expense,Other Irregular Income/Expense,Goodwill Impairment/Write Off,Disposal of Businesses,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Operating Profit,Reported Normalized EBITDA,Basic EPS,Basic EPS from Continuing Operations,Basic EPS from Discontinued Operations,Diluted EPS,Diluted EPS from Continuing Operations,Diluted EPS from Discontinued Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,5040.42,12946.92,12895.61,51.31,-7906.5,-7034.86,,,,-348.7,-522.93,-3790.08,-3398.09,-1015.92,-10.6,-1005.32,-139.73,-180.07,-13.85,-97.93,-1932.84,-17.75,-51.27,-409.05,-409.05,-24.05,-8.49,-12.57,4.08,100.87,157.78,-56.9,1250.34,-766.94,-150.12,-124.75,-266.02,141.28,-25.37,,-25.37,-560.48,-30.36,-30.36,-523.29,0.0,0.0,,-6.83,,14.18,-70.52,18.89,-95.16,-10.95,,-4.98,2.53,0.0,19.15,483.4,-177.51,-157.58,-19.93,305.89,,305.89,-156.47,149.42,149.42,149.42,,,12946.92,1251.95,,,0.2524,0.2524,,0.252354,0.252354,,592.11,592.11,0.0,0.0,0.0505,0.05048,2960.53,2960.53
2018,6985.11,18689.69,18689.69,,-11704.58,-10032.63,,-389.3,,-521.62,-761.02,-5353.38,-4851.0,-1368.79,-25.92,-1342.87,-205.52,-427.99,-14.59,-144.81,-2655.71,-33.6,-61.14,-536.73,-536.73,-76.74,-18.68,-18.68,,190.91,287.71,-96.8,1631.73,-1001.8,-306.44,-259.79,-555.81,296.03,-46.65,,-46.65,-603.64,-81.07,,-551.47,29.7,29.7,,-0.81,,23.84,-115.56,41.75,-131.49,-6.12,,-6.6,-13.1,,0.0,629.94,-314.83,-261.27,-53.55,315.11,,315.11,-218.23,96.88,96.88,96.88,,,18689.69,1605.96,,,0.1636,0.1636,,0.1636,0.1636,,592.11,592.11,0.0,0.0,0.0327,0.03272,2960.53,2960.53
2019,8781.97,23313.81,23313.81,,-14531.84,-12345.56,,-511.81,,-674.44,-1000.04,-6556.75,-5910.01,-1672.56,-35.69,-1636.87,-374.37,-388.37,-15.45,,-3427.86,-31.42,-70.19,-743.17,-743.17,-47.88,-11.52,-11.52,,226.02,393.48,-167.46,2225.22,-279.77,-415.4,-313.53,-589.0,275.47,-101.87,0.17,-102.03,-20.95,-123.73,,334.78,-295.47,-295.47,,63.48,,33.17,123.4,263.1,-101.27,-32.73,,-6.68,4.35,-3.37,,1945.45,-649.51,-450.7,-198.81,1295.94,,1295.94,-274.43,1021.5,1021.5,1021.5,,,23313.81,2233.75,2245.9,4050.6,1.7252,1.7252,,1.7252,1.7252,,592.11,592.11,0.0,0.0,0.345,0.34504,2960.53,2960.53
2020,9943.39,26742.69,26742.69,,-16799.3,-13927.61,,-597.52,-202.33,-831.68,-1240.16,-7015.53,-6314.92,-1968.82,-29.79,-1939.03,-346.58,-440.19,-19.41,,-3539.92,,-76.98,-832.89,-832.89,-39.05,-40.38,-37.35,-3.03,288.69,419.72,-131.04,2927.86,-860.91,-445.91,-382.52,-659.39,276.86,-63.38,3.36,-66.74,-535.72,-249.0,,1.7,-285.03,-229.59,-55.44,-3.37,,36.56,84.15,115.06,-20.1,-14.97,,-5.68,9.82,0.0,,2066.95,-610.08,-610.28,0.21,1456.87,-3.96,1452.91,-638.15,814.76,814.76,814.76,,,26742.69,2784.27,,,1.376,1.3827,-0.0067,1.376,1.3827,-0.0067,592.11,592.11,0.0,0.0,0.2752,0.2752,2960.53,2960.53
2021,14153.89,39296.01,39296.01,,-25142.12,-21450.46,-17.74,-879.47,-265.58,-1143.39,-1385.48,-9605.01,-8869.58,-2642.47,,,-420.46,-621.08,-25.45,-87.38,-5072.75,,-100.47,-1013.53,-1013.53,-50.49,-15.33,7.02,-22.35,444.39,663.16,-218.78,4548.89,-745.97,-980.87,-853.99,-1091.83,237.84,-126.88,2.97,-129.85,284.26,-542.38,,1062.3,-244.81,-271.97,27.15,9.16,,12.06,-61.42,254.17,-266.68,-9.57,1.21,-49.41,8.86,,,3802.92,-1435.66,-1010.65,-425.01,2367.27,0.0,2367.27,-1298.96,1068.3,1068.3,1068.3,,,39296.01,4385.57,,,1.8042,1.8042,0.0,1.8042,1.8042,0.0,592.11,592.11,0.0,0.0,0.3608,0.36084,2960.53,2960.53
