,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Fair Value Gain/Loss on Investment Properties, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment",Other Non-Cash Items,"Other Provisions, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Accrued Income/Unbilled Revenue/Cost in Excess of Billings,Change in Other Receivables,Change in Prepayments and Deposits,Change in Cash Restricted or Pledged,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Payables,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,"Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Net Cash Flow from Discontinuing Operating Activities,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Sale of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investment Properties, Net",Purchase of Investment Properties,"Purchase/Sale of Investments, Net",Sale of Investments,Purchase of Investments,Other Investing Cash Flow,Increase/Decrease in Restricted Cash and Cash Equivalents,"Purchase/Sale of Other Non-Current Assets, Net",Purchase of Other Non-Current Assets,Net Cash Flow from Discontinuing Investing Activities,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Net Movement in Non-Controlling/Minority Interest,Cash Dividends and Interest Paid,Cash Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-1076.41,-1076.41,-1090.42,146.29,-62.72,1.59,1.59,1.59,,-63.91,-0.77,-0.77,,0.38,0.38,0.38,,,,,,,,-1173.99,-139.3,,,,,-16.38,,,-1053.2,-1053.2,-1038.74,-14.46,34.89,,,73.7,-59.69,,-437.51,-437.51,-0.72,-0.72,0.0,,,,0.0,,0.0,-541.06,-541.06,-321.4,346.29,-667.69,,425.67,,,,-29.02,-29.02,,,,,,,,,,-29.02,,602.75,-1542.94,72.63,2073.06,,-1542.94
2018,83.3,83.3,260.78,273.48,-302.46,6.39,6.39,6.39,,1.71,-13.81,-13.81,,-296.75,-0.01,-0.01,,,-296.74,,,,,289.76,-113.96,21.81,,,21.81,-34.38,-47.42,,74.35,74.35,-12.42,86.77,389.35,,-51.54,30.34,-156.28,,-1907.73,-1907.73,-57.45,-57.6,0.15,,,,-1361.59,-1361.59,,-641.99,-641.99,1152.17,1152.17,,-998.86,0.0,,,,2095.85,2095.85,2153.73,2153.73,3671.33,-1517.6,,,,,,-35.53,-22.36,835.58,271.42,-38.59,602.75,,271.42
2019,-311.56,-311.56,494.46,634.83,-502.17,19.12,19.12,19.12,,65.11,-586.34,-575.64,-10.7,-0.05,0.06,0.06,,-0.11,0.0,,,,,361.81,-56.94,-26.69,,-26.61,-0.08,-100.34,-128.47,,-344.38,-344.38,-2.57,-341.81,1018.61,,-117.73,12.31,-700.6,,-212.5,-212.5,-0.99,-3.3,2.32,,,,0.0,0.0,,-211.51,-211.51,0.0,0.0,,0.0,,,,,709.89,709.89,715.3,715.3,1512.48,-797.18,-5.41,-5.41,,,,0.0,0.0,1001.46,185.84,-19.96,835.58,,185.84
2020,-2010.9,-2010.9,-1360.02,2756.45,-1898.32,24.81,24.81,23.75,1.06,43.88,-1967.49,-1962.56,-4.93,0.48,0.48,0.48,,0.0,,,,,,-2218.15,-769.29,-27.9,,-25.42,-2.48,-2844.64,252.79,,632.08,632.08,94.28,537.8,538.81,,-125.45,32.24,-557.67,,-759.43,-759.43,-21.94,-21.94,0.0,-9.55,-9.55,,0.07,,0.07,-728.0,-728.0,,,,,,,,,4282.5,4282.5,4166.28,4166.28,4402.6,-236.31,-9.08,-9.08,125.3,,,,,2647.32,1512.17,133.7,1001.46,,1512.17
2021,-9643.49,-9643.49,-8369.65,2946.0,-310.62,11.46,11.46,10.22,1.24,86.5,-409.97,-405.58,-4.38,1.39,1.39,1.39,,,,,,,,-11005.03,-21861.1,829.85,6.42,-6.72,830.16,2480.69,-306.65,-1.26,7736.63,7736.63,212.96,7523.67,116.81,,-332.78,35.7,-976.75,,-1522.49,-1522.49,-23.7,-23.7,,0.0,0.0,,-583.66,-583.66,0.0,-915.13,-915.13,,,,,,,,,10936.61,10936.61,11126.39,11126.39,12208.22,-1081.83,-5.38,-5.38,-158.21,-26.19,-26.19,,,2588.39,-229.36,170.43,2647.32,,-229.36
