,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Other Receivables, Current","General Allowance for Receivables and Write Offs, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Goodwill,Total Long Term Investments,Long Term Equity Investments,Investments in Joint Ventures,"Other Investments, Non-Current",Other Non-Current Assets,"Prepayments and Deposits, Non-Current","Prepayments, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Commercial Paper,"Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Provisions, Current","Other Provisions, Current","Provision for Employee Entitlements, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Capital Lease Obligations, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Pension and Other Post-Retirement Benefit Plans, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Other Non-Current Liabilities,"Payables and Accrued Expenses, Non-Current","Trade and Other Payables, Non-Current","Taxes Payable, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value","Common Stock, without Par Value",Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due in Year 5,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,10385.8,1617.0,186.8,186.8,793.3,395.2,398.1,555.1,555.1,561.7,-6.6,,,32.4,49.4,8768.8,809.1,1865.9,551.5,63.2,488.3,1214.5,882.0,332.5,99.9,,-1056.8,-1056.8,7561.2,7627.7,4490.1,3137.6,2808.5,,329.1,-66.5,-66.5,-66.5,,-66.5,,0.0,290.6,163.6,163.6,127.0,107.9,,,7814.9,1947.3,1217.5,639.9,639.9,,577.6,583.2,583.2,257.6,219.4,38.2,325.6,325.6,146.6,146.6,,,5867.6,4443.9,4443.9,4443.9,,235.3,235.3,235.3,1094.5,1094.5,93.9,,,,2570.9,2559.9,1672.9,1672.9,1672.9,,,1166.5,-279.5,11.0,5027.1,257.6,77.1,576.8,326.8,1182.6,2317.0,289.2,172.0,41.7,33.4,26.2,20.4,16.6,33.7,,1674.7,633.8,279.4,232.9,528.6,172.0,41.7,33.4,26.2,20.4,16.6,33.7,,6873.8,933.1,110.5,882.4,347.2,1432.1,2879.3,289.2
2018,10256.4,1479.9,96.6,96.6,786.3,380.2,406.1,518.1,518.1,524.5,-6.4,,,27.2,51.7,8776.5,985.1,2066.5,688.8,62.6,626.2,1263.4,926.5,336.9,114.3,,-1081.4,-1081.4,7401.2,7486.1,4527.9,2958.2,2646.9,,311.3,-84.9,-84.9,-84.9,,-84.9,0.0,0.0,288.0,167.2,167.2,120.8,102.2,,,7074.2,2001.7,1216.1,710.0,710.0,,506.1,643.5,643.5,560.0,509.9,50.1,83.5,83.5,142.1,142.1,,,5072.5,4052.9,4052.9,4052.9,,181.6,181.6,181.6,706.5,706.5,131.5,,,,3182.2,3170.9,1770.6,1770.6,1770.6,,,1760.2,-359.9,11.3,4696.4,643.5,219.9,340.4,1101.7,257.7,2168.6,-35.4,153.8,42.9,32.9,24.3,18.7,12.6,22.4,,1626.6,697.0,287.3,192.6,449.7,153.8,42.9,32.9,24.3,18.7,12.6,22.4,,6476.8,1383.4,252.8,652.0,1120.4,462.9,2640.7,-35.4
2019,10362.1,1550.2,155.4,155.4,801.2,387.9,413.3,502.9,502.9,508.5,-5.6,,,36.0,54.7,8811.9,952.6,1819.6,726.0,67.5,658.5,1007.8,1007.8,,85.8,,-867.0,-867.0,7428.6,7807.9,4505.2,3302.7,2643.0,351.4,308.3,-379.3,-379.3,-379.3,-275.0,-104.3,0.0,0.0,310.4,186.0,186.0,124.4,120.3,,,6905.4,2154.4,1318.8,846.9,846.9,,471.9,698.4,698.4,600.7,575.3,25.4,97.7,97.7,137.2,137.2,,,4751.0,3625.8,3625.8,3625.8,,289.6,289.6,289.6,697.6,697.6,138.0,,,,3456.7,3444.2,1888.6,1888.6,1888.6,,,2055.8,-500.2,12.5,4324.2,698.4,341.1,864.2,257.8,763.1,1402.7,-3.1,162.2,41.8,35.7,25.8,16.0,10.6,32.3,,1512.7,687.0,247.9,173.0,404.8,162.2,41.8,35.7,25.8,16.0,10.6,32.3,,5999.1,1427.2,376.8,1137.9,273.8,946.7,1839.8,-3.1
2020,12089.7,2083.6,423.6,423.6,1032.6,533.3,499.3,528.5,528.5,533.7,-5.2,,,38.0,60.9,10006.1,1165.2,2150.6,785.4,87.2,698.2,1102.9,1102.9,,125.5,136.8,-985.4,-985.4,8341.7,8750.9,4986.3,3764.6,3030.0,397.8,336.8,-409.2,-409.2,-409.2,-281.8,-127.4,,,322.9,193.0,193.0,129.9,176.3,,,8149.7,3046.5,1712.6,1123.0,1032.3,90.7,589.6,1150.6,1150.6,886.7,845.8,40.9,263.9,263.9,183.3,183.3,,,5103.2,3857.3,3857.3,3753.8,103.5,352.3,352.3,352.3,727.2,727.2,166.4,,,,3940.0,3926.1,1981.3,1981.3,1981.3,,,2415.6,-470.8,13.9,4904.4,1150.6,765.0,265.2,791.9,271.4,1643.4,16.9,140.8,39.4,29.2,22.3,15.3,12.6,28.8,-6.8,1701.5,724.4,264.1,176.0,537.0,140.8,39.4,29.2,22.3,15.3,12.6,28.8,-6.8,6746.7,1914.4,794.2,551.6,807.2,460.0,2209.2,10.1
2021,12905.8,2195.8,351.7,351.7,1182.3,626.1,556.2,549.5,549.5,554.7,-5.2,,,41.7,70.6,10710.0,1277.1,2339.0,789.8,95.1,694.7,1200.5,1200.5,,211.9,136.8,-1061.9,-1061.9,8929.4,9342.4,5335.8,4006.6,3067.4,389.6,549.6,-413.0,-413.0,-413.0,-248.5,-164.5,,,301.3,164.0,164.0,137.3,202.2,,,8480.3,3223.8,1725.1,1163.2,1064.2,99.0,561.9,1309.4,1309.4,539.1,530.8,8.3,770.3,770.3,189.3,189.3,,,5256.5,4079.4,4079.4,3973.3,106.1,240.2,240.2,240.2,792.3,792.3,144.6,,,,4425.5,4411.0,2055.1,2055.1,2055.1,,,2782.4,-426.5,14.5,5282.7,1309.4,264.5,797.2,278.0,509.2,2135.0,-10.6,140.4,38.3,28.6,20.8,15.7,12.0,38.8,-13.8,838.8,126.3,204.3,192.6,315.6,140.4,38.3,28.6,20.8,15.7,12.0,38.8,-13.8,6261.9,1474.0,293.1,1022.3,293.7,713.8,2489.4,-24.4
