,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Pension and Other Employee Benefits Costs,Directors' Remuneration,Other Staff Costs,General and Administrative Expenses,Rent Expense,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Provisions,Provision for Doubtful Accounts,"Other Income/Expense, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,Dividend and Investment Income,Gain/Loss on Investments and Other Financial Instruments,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Fair Value or Unrealized Gain/Loss on Financial Assets,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Disposal of Businesses,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,149827.0,691166.0,691166.0,-541339.0,-541339.0,-105434.0,-79616.0,-54134.0,-42178.0,-2199.0,-584.0,-9173.0,-19043.0,-6439.0,-4787.0,-4787.0,-4787.0,-72.0,-72.0,-20959.0,-20959.0,44393.0,977.0,-30.0,-30.0,-47.0,17.0,590.0,129.0,70.0,264.0,264.0,133.0,-6.0,233.0,-161.0,73.0,-234.0,,,345.0,45363.0,-13460.0,-13853.0,392.0,31903.0,31902.0,-342.0,31560.0,31560.0,31560.0,,,691166.0,-105440.0,44386.0,45460.0,,166.455,166.455,166.455,166.455,189.6,189.6,0.0,0.0,,166.455,166.455,189.6,189.6
2018,157817.0,759871.0,759871.0,-602054.0,-602054.0,-109754.0,-82481.0,-54970.0,-42549.0,-2364.0,-580.0,-9477.0,-20812.0,-6699.0,-5126.0,-5126.0,-5126.0,-73.0,-73.0,-22074.0,-22074.0,48063.0,1039.0,-34.0,-34.0,-47.0,13.0,600.0,162.0,,259.0,259.0,179.0,,248.0,-184.0,35.0,-227.0,8.0,,409.0,49100.0,-15122.0,-15744.0,622.0,33978.0,33977.0,-375.0,33601.0,33601.0,33601.0,,,759871.0,-109758.0,48058.0,30519.0,,177.22,177.22,177.213607,177.213607,189.6,189.61,0.0,0.0,,177.22,177.22,189.6,189.6
2019,179999.0,886536.0,886536.0,-706537.0,-706537.0,-117801.0,-88935.0,-59017.0,-45646.0,-2468.0,-598.0,-10305.0,-23024.0,-6894.0,-5664.0,-5664.0,-5664.0,-95.0,-95.0,-23107.0,-23107.0,62198.0,474.0,-37.0,-37.0,-47.0,10.0,943.0,186.0,34.0,572.0,572.0,151.0,,253.0,-1071.0,-73.0,-967.0,-31.0,,386.0,62668.0,-18706.0,-20331.0,1625.0,43962.0,43962.0,-465.0,43497.0,43497.0,43497.0,,,886536.0,-117806.0,62192.0,63706.0,,229.42,229.42,229.412372,229.412372,189.6,189.6,0.0,0.0,,229.42,229.42,189.6,189.6
2020,173725.0,836323.0,836323.0,-662598.0,-662598.0,-117409.0,-89401.0,-58308.0,-45039.0,-2461.0,-586.0,-10222.0,-23998.0,-7095.0,-5990.0,-5990.0,-5990.0,-40.0,-40.0,-21978.0,-21978.0,56316.0,1272.0,-34.0,-34.0,-44.0,10.0,914.0,181.0,225.0,390.0,390.0,118.0,,262.0,-191.0,-46.0,-143.0,-2.0,,321.0,57584.0,-17774.0,-17786.0,12.0,39810.0,39809.0,-500.0,39309.0,39309.0,39309.0,,,836323.0,-117415.0,56309.0,57550.0,,207.33,207.33,207.327639,207.327639,189.6,189.6,0.0,0.0,,207.33,207.33,189.6,189.6
2021,176890.0,851894.0,851894.0,-675003.0,-675003.0,-121058.0,-92563.0,-58948.0,-46035.0,-1772.0,-548.0,-10593.0,-26140.0,-7475.0,-6151.0,-6151.0,-6151.0,5.0,5.0,-22349.0,-22349.0,55832.0,2360.0,-30.0,-30.0,-44.0,14.0,1102.0,225.0,19.0,794.0,794.0,64.0,,263.0,604.0,830.0,-220.0,-6.0,,421.0,58190.0,-17718.0,-17142.0,-576.0,40472.0,40471.0,-543.0,39927.0,39927.0,39927.0,,,851894.0,-121062.0,55827.0,57567.0,,210.59,210.59,210.583867,210.583867,189.6,189.6,0.0,0.0,0.0,210.59,210.59,189.6,189.6
