,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Extinguishment of Debt, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment",Other Non-Cash Items,"Amortization of Securities, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Accrued Expenses,Change in Deferred Assets/Liabilities,Change in Other Operating Capital,Change in Prepayments and Deposits,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Increase/Decrease in Restricted Cash and Cash Equivalents,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Issue and Financing Costs,Debt Issuance Costs,Proceeds from Issuance/Exercising of Stock Options/Warrants,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Interest Paid, Supplemental","Income Tax Paid, Supplemental",Total Net Change in Cash
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-20.49,-20.49,-20.49,-18.49,-2.32,0.82,0.82,0.09,0.72,2.46,-0.01,,,,,,,,,,-5.59,,,0.32,,0.22,0.22,0.3,-0.35,-0.35,0.65,-0.11,,-0.1,13.58,13.58,-0.11,-0.15,0.03,13.69,-5.05,18.74,,,,8.5,8.5,8.4,8.4,,,,,,,,,0.1,,16.9,1.59,-0.01,15.31,,1.59,,0.0,
2018,-21.91,-21.91,-21.91,-53.17,30.34,1.15,1.15,0.17,0.98,2.7,0.21,,,,,,,26.28,26.28,,0.0,,,0.93,,0.01,0.01,1.16,1.75,1.75,-0.59,-0.07,,-0.17,-16.89,-16.89,-0.11,-0.11,0.0,0.0,0.0,0.0,-16.78,-16.78,,60.67,60.67,41.52,41.52,20.0,20.0,20.0,,,,-1.35,-1.35,0.5,,38.93,21.88,0.0,17.05,,21.88,-0.26,,
2019,-56.7,-56.7,-56.7,-56.79,12.63,2.6,2.6,0.14,2.46,4.57,1.65,,3.81,3.81,,,,0.0,0.0,,0.0,,,-12.54,-1.86,-15.3,-15.3,4.6,,,,-0.02,0.05,,-0.21,-0.21,-0.21,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,,33.86,33.86,22.63,22.63,30.0,30.0,50.0,-20.0,,,-4.06,-4.06,0.41,-15.12,22.36,-23.05,0.0,45.41,,-23.05,-4.87,,
2020,-14.44,-14.44,-14.44,-45.39,10.82,2.65,2.65,0.19,2.46,5.55,1.72,,0.91,0.91,,,,,,,,,,20.14,-3.2,4.85,4.85,1.87,,,,16.55,0.07,,-0.36,-0.36,-0.36,-0.36,,,,,,,,37.49,37.49,49.92,49.92,-11.75,-11.75,2.04,-13.79,-0.05,-0.05,-0.83,-0.83,0.29,-0.09,45.06,22.7,0.0,22.36,,22.7,-5.51,,
2021,-50.1,-50.1,-50.1,-58.42,10.06,2.77,2.77,0.31,2.46,7.45,0.63,1.28,-2.07,-2.07,,,,,,,,,,-1.74,1.35,-10.6,-10.6,8.48,,,,-0.93,-0.03,,-33.12,-33.12,-0.16,-0.16,,-32.97,-32.97,,,,,216.9,216.9,216.83,216.83,0.0,0.0,0.0,0.0,-0.15,-0.15,0.0,0.0,0.37,-0.15,178.74,133.68,0.0,45.06,,133.68,-4.85,,
