,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,"Available-for-Sale Securities, Current",Other Short Term Investments,"Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Inventory Allowance/Adjustments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Amount Due From Related Parties, Current","Other Receivables, Current","Notes Receivable, Current","Prepayments and Deposits, Current","Assets Held for Sale/Discontinued Operations, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Flight, Fleet, Vehicle and Related Equipment",Construction in Progress and Advance Payments,"Leased Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Buildings,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Impairment of PPE,Investment Properties and Properties Held for Development,Gross Investment Properties and Properties Held for Development,Accumulated Depreciation of Investment Properties and Properties Held for Development,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Licenses and Rights,Other Intangible Assets,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Other Intangible Assets,Accumulated Amortization of Licences and Rights,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,Investments in Joint Ventures,"Investment in Financial Assets, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Other Investments, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deferred Tax Assets, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Trade Notes Payable, Current","Dividends Payable, Current","Amount Due to Related Parties/Shareholders, Current","Taxes Payable, Current","Other Payable, Current","Interest Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank/Credit Facilities, Current Debt","Notes Payable, Current Debt","Borrowings from Associates and Related Parties, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt","Derivative and Hedging Liabilities, Current","Other Financial Liabilities, Current","Provisions, Current","Other Provisions, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Borrowings from Associates and Related Parties, Non-Current","Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Reserves/Accumulated Comprehensive Income/Losses,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 5,Debt due in Year 4,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,Total Contractual Obligations due in year 4,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 5,Operating Lease due Beyond
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,39443.46,19866.05,9504.27,7504.27,7475.14,29.13,2000.0,,2000.0,,6597.6,4446.59,904.31,1246.69,,3535.92,386.48,386.52,-0.04,1975.41,83.55,1090.48,228.27,,19577.41,13867.55,48211.33,3641.22,3641.22,43569.0,41661.82,1907.18,1001.12,,-34343.79,-33055.42,-2239.73,-2239.73,-30815.69,-29299.13,-1516.56,-1288.37,391.27,594.14,-202.87,397.66,806.24,806.24,725.15,81.09,-408.58,-408.58,-408.58,-57.6,-350.98,4452.04,4452.04,,,,,,,349.59,349.59,119.31,10927.92,10922.24,9504.58,9504.58,1908.46,0.0,23.69,3731.69,3290.04,549.85,0.86,,607.67,606.16,606.16,606.16,,,,,,,,1.52,,,470.87,470.87,339.13,5.68,,,,,,,,,5.68,5.68,28515.54,28230.23,10814.18,10814.18,10814.18,17416.06,285.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,44385.9,25298.88,14641.6,8741.89,8719.81,22.08,5899.71,1672.43,4227.28,,8120.88,5739.15,1099.24,1440.72,-158.23,2474.04,81.99,82.04,-0.05,2286.25,105.8,0.0,38.03,24.33,19087.02,13205.79,47582.16,3229.64,3229.64,42793.12,41007.23,1785.89,1559.4,,-34376.37,-33499.05,-2142.54,-2142.54,-31356.51,-29905.38,-1451.13,-877.32,376.74,594.14,-217.4,355.59,784.91,784.91,700.82,84.09,-429.32,-429.32,-429.32,-63.53,-365.8,4527.13,4527.13,,,,,,,502.69,502.69,119.08,13923.46,13913.01,12629.05,12629.05,2923.0,,26.49,4567.81,4642.69,463.11,5.95,,508.25,497.25,497.25,497.25,,,,,,,,11.01,,,446.7,446.7,329.0,10.44,,,,,,,,,10.44,10.44,30462.44,30346.06,10823.81,10823.81,10823.81,19522.25,116.38,,,,,,,,,,,,84.75,81.19,0.74,0.75,2.07,,84.75,81.19,0.74,0.75,2.07,,,84.75,81.19,0.74,0.75,2.07
2019,45494.08,22309.16,13818.13,7449.7,7382.68,67.02,6368.43,1540.92,4827.51,,6754.43,4815.52,1072.04,1022.34,-155.46,1712.83,120.74,120.74,,1565.99,26.1,,23.77,0.0,23184.91,13139.99,48502.42,3358.58,3358.58,43326.84,41455.16,1871.68,1815.55,1.44,-35362.42,-34536.58,-2310.97,-2310.97,-32225.61,-30793.08,-1432.53,-825.84,367.47,602.66,-235.19,337.85,406.07,406.07,320.21,85.86,-68.22,-68.22,-68.22,-68.22,0.0,8724.99,5208.76,4973.46,235.29,5.0,5.0,5.0,3511.23,463.78,463.78,150.83,15500.23,15479.63,13264.66,13264.66,7330.0,,,5708.39,226.27,,,,1559.85,1559.05,1547.6,1547.6,,,11.45,11.45,,,,0.8,,,655.12,655.12,,20.6,10.59,10.59,,,,10.59,,,10.01,10.01,29993.85,29863.29,10823.81,10823.81,10823.81,19039.47,130.56,,,,,,22.04,11.7,8.85,2.44,0.5,-1.43,22.04,11.7,8.85,2.44,0.5,-1.43,22.04,11.7,8.85,2.44,0.5,-1.43,,,,,,
2020,44619.13,17304.84,12172.97,6916.41,6910.74,5.67,5256.56,1207.11,4049.44,0.0,3888.75,2829.57,696.23,591.49,-228.53,1223.58,113.16,113.8,-0.63,1092.32,18.1,,19.55,,27314.29,13436.14,49904.88,3492.43,3492.43,44700.55,42742.33,1958.22,1710.12,1.77,-36468.74,-35555.33,-2396.56,-2396.56,-33158.77,-31700.91,-1457.85,-913.41,367.59,627.49,-259.9,412.58,483.72,483.72,397.81,85.91,-71.14,-71.14,-71.14,-71.14,,12435.67,5387.83,5146.16,241.67,5.0,5.0,5.0,7042.84,410.19,410.19,252.12,15284.16,15232.25,8991.9,8991.9,1294.14,26.2,29.52,3656.84,3440.25,543.71,1.25,,4575.16,4575.16,4565.81,1548.0,3017.81,,9.35,9.35,,,0.0,,,,495.4,495.4,1169.78,51.91,3.12,3.12,,,,3.12,35.36,35.36,13.43,13.43,29334.98,29197.99,10823.81,10823.81,10823.81,18374.18,136.99,,,,,,12.7,9.37,2.14,1.09,0.1,,12.7,9.37,2.14,1.09,0.1,,12.7,9.37,2.14,1.09,0.1,,,,,,,
2021,46920.59,20932.28,13546.31,5112.01,5108.77,3.24,8434.3,1047.69,7386.61,81.41,5923.53,4641.01,795.79,709.99,-223.27,1337.35,77.43,79.41,-1.99,1212.33,47.6,,43.69,,25988.31,14608.09,52533.74,3877.38,3877.38,45361.59,43364.73,1996.86,3293.18,1.59,-37925.65,-36485.14,-2696.15,-2696.15,-33788.99,-32276.27,-1512.72,-1440.51,352.19,626.41,-274.23,392.61,466.67,466.67,380.76,85.91,-74.06,-74.06,-74.06,-74.06,,9675.32,4088.89,3812.85,276.04,5.0,5.0,5.0,5581.44,775.96,775.96,184.14,16543.19,15795.74,13697.16,13296.77,1527.71,562.59,30.58,6304.82,4123.7,747.38,,400.39,1586.83,1563.03,1559.8,1559.8,0.0,,3.23,3.23,,,23.8,,0.0,0.0,424.61,424.61,87.14,747.45,701.38,701.38,700.0,700.0,,1.38,33.34,33.34,12.72,12.72,30377.4,30242.14,10823.81,10823.81,10823.81,19418.33,135.26,2853.99,2141.41,7.67,704.91,,5.36,3.81,0.73,0.81,,,5.36,3.81,0.73,0.81,,,2859.35,2145.22,8.4,705.73,,,,,,,,
