,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment",Other Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Payables,Change in Provisions,Change in Other Operating Capital,Change in Other Current Assets,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Sale of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investment Properties, Net",Sale of Investment Properties,Purchase of Investment Properties,"Purchase/Sale of Investments, Net",Sale of Investments,Purchase of Investments,Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,"Cash and Cash Equivalents, End of Period",Change in Cash,Other Changes,"Cash and Cash Equivalents, Beginning of Period",Effect of Exchange Rate Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,6.65,6.65,6.65,1.21,3.32,0.0,0.0,0.0,,-0.37,3.69,3.69,2.12,0.48,-0.92,-0.92,2.11,2.11,1.76,0.35,0.12,0.32,,-1.18,-1.18,-0.64,-0.65,0.01,-0.16,-0.16,,-0.37,-0.38,0.0,0.0,,0.0,,,,,,-5.4,-5.4,-0.43,,-0.43,-4.97,-4.97,8.36,-13.33,,,8.18,0.07,0.78,7.33,,,0.07
2018,0.6,0.6,0.6,2.15,1.57,-2.58,-2.58,-2.58,,0.1,4.06,4.06,-3.13,-0.98,-1.33,-1.33,-0.03,-0.03,-0.04,0.01,0.07,-0.86,,8.12,8.12,4.75,-0.53,5.29,-0.13,-0.13,,-1.34,-1.34,0.0,4.86,4.95,-0.09,-0.02,,-0.02,,,-8.16,-8.16,-0.74,,-0.74,-7.42,-7.42,0.0,-7.42,,,8.38,0.56,-0.36,8.18,,,0.56
2019,4.68,4.68,4.68,4.4,-0.55,-5.3,-5.3,-5.3,,0.14,4.6,4.6,0.83,-0.28,0.02,0.02,0.81,0.81,-0.22,1.03,0.08,0.2,,9.17,9.17,11.13,-2.41,13.54,-0.63,-0.63,,0.0,0.0,,0.0,0.0,0.0,-1.34,,-1.34,,,-5.62,-5.62,0.6,1.64,-1.04,-5.47,-5.47,,-5.47,-0.74,-0.74,17.46,8.24,0.85,8.38,,,8.24
2020,4.78,4.78,4.78,3.96,2.14,1.99,-3.62,-3.62,5.61,0.15,,,-1.33,-2.16,-2.35,-2.35,3.07,3.07,0.52,2.55,0.04,0.07,,-4.75,-4.75,-9.9,-9.91,0.01,-0.47,-0.47,,4.91,,4.91,0.71,0.71,,0.0,,0.0,,,5.3,5.3,0.03,1.99,-1.96,6.45,6.45,8.15,-1.7,-1.18,-1.18,23.62,5.33,0.83,17.46,,,5.33
2021,-9.46,-9.46,-9.46,4.04,2.68,2.63,-1.87,-1.87,4.5,0.05,,,-16.18,-17.08,-1.25,-1.25,2.11,2.11,0.68,1.43,0.02,0.02,,-13.76,-13.76,0.74,-4.36,5.1,-1.28,-1.28,,-13.24,-13.24,0.0,0.0,0.0,,0.01,0.01,,,,9.23,9.23,-2.03,0.0,-2.03,12.21,12.21,14.95,-2.74,-0.95,-0.95,7.62,-13.99,-2.01,23.62,,,-13.99
TTM,-9.89,,,,,,,,,,,,,,,,,,,,,,,-16.58,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,8.0,-15.27,0.28,22.99,,,-15.27
