,Gross Profit,Total Revenue,Business Revenue,Other Revenue,Cost of Revenue,Cost of Goods and Services,"Rent and Landing Fees, Cost of Revenue","Staff Cost, Cost of Revenue",Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Depreciation,Amortization,"Other Income/Expense, Operating","Income from Grants Received, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Income,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,"Income from Associates, JointVentures and Other Participating Interests",Income from Other Participating Interests,Gain/Loss on Foreign Currency Exchange,Gain/Loss on Derivatives,Dividend and Investment Income,Rental Income,Irregular Income/Expense,Fixed Asset Disposals,Impairment/Write Off/Write Down of Capital Assets,Write Off/Write Down of Other Assets,Other Irregular Income/Expense,Goodwill Impairment/Write Off,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Effective Tax Rate,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Discontinued Operations,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
0,-0.10982771883362231,-0.10439564005195173,-0.1107951877105466,-0.04799218331571076,-0.009579844758053756,-0.10978236237362293,-0.1098513190925905,-0.11087438540425434,-0.0971048957116753,-0.0049532399432157094,-0.1088466825078597,-0.10956610619549914,-0.011396090521369707,-0.011396090521369707,-0.038772405165828756,0.005769504812995473,-0.10089878389303047,-0.10246784903958507,-0.04682513325763033,-0.10676053847618766,-0.05241341463284496,-0.09022807507674484,-0.024325838296194238,-0.009648573649573909,-0.05580604471106243,-0.010593890665069073,-0.07793235906576326,-0.09062578116027147,-0.051134760605019675,-0.05979531433475267,-0.05130037409608541,-0.09973701776228533,-0.010024169789782435,-0.03616755400804818,-0.09401168612912045,-0.12825247870224343,-0.03877720987745489,-0.09950852367714697,-0.08353080563450155,-0.03910534973327829,-0.10253931185056,-0.03120912014957182,-0.1583875563047562,-0.15801543914638916,-0.16420902693364178,-0.16158111670391617,-0.1368607807620167,-0.1574934930768749,-0.1505744857539407,-0.15063591897306092,-0.03632956511325777,-0.036165222862455104,-0.11073678893799455,-0.008111543202779814,-0.16031832474588897,-0.12818464932259202,-0.03357952551686748,-0.12093133955647198,-0.1386537396479729,-0.031098315376033695,-0.13302100486236032,-0.09791273198935757,-0.1590575870386133,-0.034871788844800744,-0.01055761181653705,-0.0011596463637443821
Revenue per Share,0.020011798011517132,0.28341956187003287,0.24068486666104885,0.07425006193127894,0.19612238190711156,-0.017247049940737145,0.09132217547009186,0.10299746147143855,0.07906370358453482,0.19873031666678442,0.056031636754841574,-0.02401813890098334,-0.018053087845706292,0.0026181935713526397,0.028512103102722737,-0.04380071383858716,0.1020904301408865,0.022165888544663816,0.06894943357945288,0.048005550207232864,0.07127922259639495,0.11573353482264655,0.04111542544267085,0.09703283922126804,0.1505203141714818,0.10723689793058573,0.061017047211175915,0.11182429714654106,0.051749791498845406,0.10407303341068179,0.10955874212004947,0.03496284792000857,0.01634050474611897,0.10518690083628525,0.021441136700462833,0.03806620807529763,0.02420213803104591,0.011338692526678008,0.06407161008926919,0.0542786429566743,0.019422739403499572,0.06510528598152532,0.02213777395091377,0.028795905749512782,0.01361869201079095,0.018586075101800072,0.005122182623260718,0.06818492069984408,0.07343798151207898,0.0569128950256492,0.05780217783130816,0.1011292301357221,0.23614235885452625,0.22199622214079026,0.07194052330259901,0.03293279231610192,0.10562349693190318,-0.0003378792150508982,-0.004199961194989638,0.055192396762046195,-0.003202423237679784,0.01793185600628954,0.006248039431891401,-0.053367743064881124,0.05174639947473851,0.072034338070222
EBITDA per Share,0.004248528376257684,0.010851818741287218,0.01769872131657985,0.05635015739908946,0.15281258280756926,0.01230862798143769,0.008753087080022169,0.014736113663944585,0.018414346244051853,0.17737715899069426,0.0014245301274854816,-0.001442455956442411,0.018604358083772997,0.03471950203653462,0.060998465084693754,0.022101592557330907,0.05465367428956355,0.0481963387606621,0.053027978967343535,0.01288137986924726,0.0597028561413177,0.07528365867320394,0.07401980887973916,0.030245159397446337,0.07998647963319047,0.03312691614499049,0.09639523026771973,0.055619143012518385,0.041217982768773795,0.05037681039998885,0.047290312871875524,0.0211271973118058,0.06349180763361649,-0.0010625362307597431,0.04246026901579815,0.028770003654013568,0.03555352956129858,0.01902121955086867,0.0844372770833466,0.05626243142954763,0.04580567544043902,0.012888996979522479,0.040559710689624114,0.03679920272218798,0.014812145054442515,0.020166332204423206,0.0218859113929667,0.024108119049645306,0.02617110417030345,0.013842410225214784,0.010615999227182283,0.015698627911639774,0.013989219325921955,0.2028778899376417,0.03041414131494032,0.008667797676997801,0.013692907820655976,0.033799136760995385,0.038718069109348524,0.09474364518269639,0.034100943013981345,0.04899772444040339,0.037699831471632604,-0.009028755891392706,0.054410471838236406,0.05262596810285977
EBIT per Share,0.006461068828207966,0.009473936607042502,0.01732569459764964,0.07362594347824661,0.15557680280780437,0.01322333196940946,0.015745219243612163,0.015853870397019684,0.017957760113337145,0.1761895412443681,0.00776716181657823,-0.0007708383264602506,0.019322924377749785,0.03472288957467771,0.06605850854666505,0.0221850685764907,0.0548284908993269,0.05639172118093687,0.03879824740910688,0.01363330796385094,0.05777349025098939,0.08226978504537956,0.07377817632954267,0.030081121212162637,0.08015799279021196,0.0341192444549781,0.09635918706744905,0.06812551566194759,0.04237187412199203,0.05317504661832702,0.045104636318940676,0.019603571684986356,0.06368593229403108,0.020022911627418493,0.043081208188433175,0.027349792090860935,0.04987157922555865,0.01928048291552572,0.082988121340845,0.06175344914722459,0.04670280357000395,0.01568427299102201,0.041331146482550214,0.03568933678569542,0.015227639272055055,0.021256665017593993,-0.006845753611727789,0.02579136392882722,0.0228080016503052,0.012665350886338179,0.02081855470464246,0.016291381136642337,0.009898086115257863,0.18918921794580115,0.02804935035246687,0.005463742515288731,0.018482001193882616,0.037247209951830736,0.020460940174633277,0.09397488340286263,0.03418310274818104,0.03032923087425985,0.048631027365708325,-0.0020234906344291604,0.045610707644962285,0.022663093023564524
Earnings per Share (Diluted),0.10469530452151024,0.09286640948954109,0.11651668937350178,0.05324170541887552,0.12426805944234708,0.06886845098880223,0.0697203936864465,0.06528602654155895,0.059215469333106195,0.24066646323269797,0.05402351391509224,0.014069786144858744,0.04893705871559812,0.054885441700132126,0.06090571427850733,0.09144670645381955,0.08197424361312815,0.08324174106954248,0.1298053543065718,0.1266163912606108,0.12370782167562201,0.16490081290321623,0.09655145700231695,0.14628336540242573,0.11757653818931477,0.14449566915715734,0.13522172761144427,0.15438390369633495,0.1803749315514995,0.14875846154309083,0.18055832663676172,0.11054096860679347,0.10100373294090201,0.12725136392139896,0.06408326248432052,0.024638339378060325,0.098528151043983,0.06385891080509329,0.1210694806636662,0.08958440102170154,0.058061757420245996,0.10860732623159597,0.04577589607354719,0.07685647950298785,0.12415824299929755,0.10565867411808874,0.0767345942930288,0.12882653518160375,0.0878717192940239,0.1999245536157618,0.11848011443988568,0.16651737446858839,0.11548554891885136,0.25465633200301535,0.14629144905772332,0.021484078968331054,0.1663671662641479,0.028925308700032043,0.030559400851970012,0.08536078885436083,0.044486485405083764,0.06329326740787515,0.040114986291902334,0.16433352628811318,0.08944348675183923,0.2109822590802726
EPS without NRI,0.03877472008167077,0.033756207795520785,0.030895669528118497,0.07312274429718206,0.1079088962756386,0.024001662885945595,0.0006044778215967034,0.0383290826075412,0.07860550845985065,0.08353000423735663,-0.006572511610479285,0.012498915134692406,0.04862252831091417,0.05622656752353557,0.09096564434800457,0.11911280869504601,0.06659480653981481,0.02293198678707664,0.03388520415417356,0.012939577175622241,-0.0024381924426509468,0.071591697636907,0.05752177383005669,0.05723486695804308,0.05764805974654155,0.06024429488209628,0.10096165857423585,0.06848763732235187,0.05686178420774099,0.02461120697842744,0.059367233947009976,0.05074993511178301,0.09110439349513508,0.06830536065616416,0.046187855342034505,-0.0027713545154833246,0.08837972677173098,0.030481952259525543,0.1153843667995982,0.07051051066092981,0.08251336807075843,0.10560801982946653,0.057567042831273334,0.0368192230902295,0.007211941045258883,-0.006731941413252898,0.03827852137525655,0.0075685996250395345,0.005559948410355252,0.008599567343802133,0.04741445202964575,0.06939169572577299,-0.004523007438837699,0.19742059584521765,0.0402324569396764,-0.01018454565179807,0.05942998716354311,0.00394156139926056,0.03803110196011113,0.09305345576352778,0.01017788823101394,0.05694110541465126,0.0726279091045639,0.23930938871782154,0.1722371403148323,0.155281522259354
Owner Earnings per Share (TTM),0.0742289013443402,-0.0042986312729372264,0.026944402056576833,0.0871463254386789,0.1436370147974239,0.06232953843788969,0.06742713956952548,0.05499721039732035,0.057084508610424634,0.17060848028267112,0.06221998532352171,0.013180807190082446,0.06711981320537878,0.07228477108390023,0.05987809312592076,0.027652953766256348,0.09107307926697722,0.09901552741050304,0.15083244608878402,0.08745739684972838,0.11502400710247755,0.10534061343037095,0.10473414499710693,0.07041727105271685,0.13004307179547908,0.06436972650164098,0.13982077956673003,0.16507352032922856,0.06448426835196985,0.1551370991656174,0.0780125079537027,0.07087715891680627,0.11327136917136232,0.11845853118464401,0.05556251074717042,0.05937514245053913,0.07411973095398146,0.09315860977869005,0.13284062465028773,0.09175369661430659,0.058509037535092956,0.05969984812854803,0.031563217978698065,0.08688338893672833,0.07598864378954477,0.08543563274405472,0.08410776959943927,0.08883180031447013,0.1280291040839202,0.12327597686995227,0.05646328321413947,0.05342758866314196,0.04983435858171522,0.2810924907740574,0.14329635638153188,0.05457465954898624,0.11384820713662465,0.09642242587735866,0.08833704383321016,0.14057536283085265,0.08690749324567197,0.10241413795129872,0.06742588162967501,-0.004297964856955363,0.008588283357952805,0.014100995962831219
Free Cash Flow per Share,0.011891105034683908,-0.0073592629883160905,-0.0053724300670872065,0.0440744919566374,0.1669787680010109,0.011462744824153541,0.01199316909885249,0.013819451828624742,0.030907254882154976,0.16810454643320433,0.0036964322132236422,-0.006704601880192946,0.023023724146434478,0.027725624703325222,0.05909663996529597,0.006544262049335285,0.049584744152554976,0.03919531708555627,0.061532945580801995,0.04915533449214888,0.05477115235490502,0.0627270048962018,0.07913083778607513,0.0116455138253692,0.04763688045471415,0.04770059943421429,0.06489429917211662,0.03280233276998608,0.036814913473759064,0.06814683716383846,0.033083487884339555,0.007115553458222158,0.05547179320741942,0.051668479018221816,0.03862706374113626,0.034349090847717555,0.043654538554186564,0.054860599492539415,0.05261050315171212,0.05247195735786395,0.03123805561027382,0.0018863861985429402,0.040771326899098834,0.05348812837675222,0.02296543861502473,0.03486763241438186,0.03289206736785951,0.037615207884786166,0.1052235479462129,0.10545212315736237,0.010134691034469507,0.005663357478006661,0.0006128379716686888,0.23199430019283226,0.0469287817008004,0.012359346831839967,0.007952868135101166,0.06017923682092151,0.05409055957163906,0.10812296659333759,0.052197692952353866,0.05423764523506778,0.039731757770462145,-0.010160968277733768,-0.014304398561792444,-0.0130730030193254
Operating Cash Flow per Share,0.0348688811558459,0.04737214054080624,0.05714707697079285,0.04292913961272837,0.14080301666021838,0.012066437156387281,0.031174035740068697,0.009647127264082355,0.07165044091980362,0.3319600659050852,0.015410115820333416,-0.007958865021359193,0.03259159709218255,0.03320051453820607,0.05011444437197169,0.0449040281816648,0.1449638043561311,0.06996819758640331,0.1321296640524756,0.11805329867407575,0.11824003526990345,0.08206651589365328,0.07815730012999178,0.011346226155806344,0.09873473319577146,0.0943195333196646,0.09599667075172812,0.13053782581250045,0.0979453525736498,0.12227397290871744,0.07409102369798765,0.014568563243809554,0.06550514476308106,0.07286651099164665,0.029365534857300084,0.0246627224461325,0.04790645597227095,0.041539526752301895,0.08606147289329888,0.04816581028938593,-0.007642050273344305,0.03749093942818634,0.018801104339784238,0.03746743277480389,0.10415750633128934,0.10942014148947302,0.014681367282280578,0.02702127128205059,0.08931816558020425,0.08719297340965701,0.010591553417338345,0.09399781826990698,0.06778188541378159,0.3378728621698969,0.11701291026795062,0.01742192764515832,0.10648372277628373,0.05937658889561263,0.03881837684945729,0.10403126882923967,0.03599835638467299,0.08881661508003492,0.021581481548343752,-0.03014304464636154,0.10611860517955392,0.09827944891439876
Cash per Share,0.07483512303081055,0.07360235874345811,0.007114548190040302,0.054970346705795196,0.13005979735852902,0.007762178740008441,0.008498170598714097,0.017124437009058323,0.04143962920972685,0.14538629123889996,-0.004372083549842717,-0.0008355244707209221,-0.02048129123540894,-0.00018036463796859952,0.05860608461039277,-0.02309888661260878,0.03902334924927976,0.04790953425768537,0.04625766481474624,0.017233799931432897,0.045170863713400775,0.07153568749689586,0.06567674291814263,0.06818708711188524,0.07854667132814627,0.07738348375787055,0.08415882458898544,0.0600089149749478,0.062180127516704126,0.0584220974171569,0.08137024306456603,0.04519842723409906,0.029318806202544224,0.07041843357096288,0.04723577113668163,0.00013683111800120822,0.05898695166956327,0.012016727597819257,0.07711573789840967,0.05030258896204993,0.01793264217863652,0.027520060366338545,0.030384052188276483,0.026148661660279675,-0.006481537875829051,0.005759776819461589,0.014190589572545141,0.01539130943278573,0.06695158961864067,0.050469931909142986,0.038403090146634365,0.03786948577355904,-0.0023236422697183257,0.14470776464457902,0.01768706579863562,-0.0156360293329441,0.03488770795032323,0.003479288365162452,0.002123874580400616,0.06509534717689494,0.006820177099885622,0.01023080278337858,0.04972780831080992,-0.022409915958086248,0.09046220111950176,0.12015598084645705
