,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Property Expenses and Hotel Operating Cost,Other Costof Revenue,Operating Income/Expenses,"Selling, General and Administrative Expenses",Staff Costs,Wages and Salaries,Social Security Costs,Pension and Other Employee Benefits Costs,Directors' Remuneration,"Legal, Accounting, Auditing and Consulting Fee",Other Professional Accounting and Consulting Fees,Telecommunication Expense,Insurance and Claims,Rent Expense,Selling and Marketing Expenses,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Provisions,Other Provisions,"Other Income/Expense, Operating","Other Income, Operating","Other Expenses, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Net Investment Income,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Other Investment Income,Irregular Income/Expense,Fixed Asset Disposals,Write Off/Write Down of Other Assets,Litigation Income/Expense,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental","Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,3.15,2.94,2.94,0.2,0.2,0.0,0.0,-1.56,-4.46,-3.79,-3.36,-0.36,,-0.07,-0.08,-0.08,-0.05,-0.04,-0.27,-0.23,-0.1,-0.1,0.14,0.14,2.86,3.48,-0.62,1.59,0.46,-0.48,-0.48,-0.5,0.02,2.07,0.52,0.52,1.55,-1.14,,-0.01,-1.12,,2.05,-0.13,-0.12,,1.92,1.92,1.92,1.92,1.92,,,2.94,,,,0.19,0.19,0.19,0.19,10.1,10.1,0.19,0.19,10.1,10.1
2018,2.14,2.36,2.36,-0.22,-0.09,0.0,-0.13,-4.87,-4.45,-3.78,-3.36,-0.35,,-0.07,-0.1,-0.1,-0.04,-0.08,-0.28,-0.17,-0.09,-0.09,0.09,0.09,-0.42,0.46,-0.88,-2.73,-0.27,-0.63,-0.63,-0.78,0.16,1.26,0.01,0.01,1.25,-0.91,,-0.01,-0.89,,-3.0,4.75,4.75,,1.74,1.74,1.74,1.74,1.74,,,2.36,,,,0.15,0.15,0.15,0.15,11.63,11.63,0.15,0.15,11.63,11.63
2019,6.78,6.67,6.67,0.11,0.11,0.0,0.0,-8.85,-3.15,-3.15,-2.79,-0.36,,,,,,,,,-0.08,-0.08,,,-5.62,0.31,-5.92,-2.06,-0.23,-0.74,-0.74,-0.87,0.13,0.51,0.02,0.02,0.49,0.0,,0.0,,,-2.3,1.54,1.54,,-0.75,-0.75,-0.75,-0.75,-0.75,,,6.67,,,,-0.066061,-0.066061,-0.066061,-0.066061,11.38,11.38,-0.0661,-0.066061,11.38,11.38
2020,2.26,2.55,2.55,-0.29,-0.29,,,-5.28,-3.16,-3.16,-2.75,-0.41,,,,,,,,,-0.06,-0.06,,,-2.06,0.54,-2.59,-3.02,-1.45,-0.77,-0.77,-0.87,0.1,0.19,0.0,0.0,0.19,-0.87,,-0.87,,,-4.47,-2.14,-2.14,,-6.61,-6.61,-6.61,-6.61,-6.61,,,2.55,,,,-0.528775,-0.528775,-0.528775,-0.528775,12.5,12.5,-0.5288,-0.528775,12.5,12.5
2021,1.54,1.47,1.47,0.07,0.07,,,-4.62,-4.0,-3.41,-2.61,-0.41,0.0,-0.39,-0.1,,-0.04,-0.06,-0.28,-0.1,-0.06,-0.06,0.01,0.01,-0.57,0.47,-1.04,-3.07,0.03,-0.67,-0.67,-0.96,0.3,0.18,0.01,0.01,0.17,0.52,0.25,0.36,-0.32,0.23,-3.04,0.04,0.0,0.04,-3.0,-3.0,-3.0,-3.0,-3.0,,,1.47,,-0.06,-0.06,-0.240324,-0.240324,-0.240324,-0.240324,12.5,12.5,-0.2403,-0.240324,12.5,12.5
