,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Short Term Investments,Other Short Term Investments,"Cash Restricted or Pledged, Current",Inventories,"Trade and Other Receivables, Current","Other Receivables, Current","Loans Receivable, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current","Assets Held for Sale/Discontinued Operations, Current","Derivative Investment and Hedging Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Leased Property, Plant and Equipment","Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Leased Property, Plant and Equipment","Accumulated Depreciation of Other Property, Plant and Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Software and Technology,Customer Relationships,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Other Financial Assets, Non-Current",Long Term Equity Investments,Net Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Accrued Expenses, Current","Discontinued Operations Liabilities, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Derivative and Hedging Liabilities, Current","Provisions, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,"Capital Lease Obligations, Non-Current",Other Non-Current Liabilities,"Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Reserves/Accumulated Comprehensive Income/Losses,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Other Equity Interest,Non-Controlling/Minority Interests in Equity
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,10.11,9.68,3.75,2.59,1.15,,0.03,,0.0,0.0,,,0.07,5.84,,0.43,0.0,,,,,,,,,,,,,,,,,,0.43,,,0.43,,3.67,3.67,0.42,0.32,0.25,0.07,0.1,2.2,0.72,,,,,0.72,0.33,,0.0,,,,0.0,,,6.44,6.44,79.64,79.64,0.64,79.0,10.51,10.51,-83.71,
2018,19.55,16.48,8.75,1.49,7.25,,0.38,,0.32,0.3,0.02,,1.31,5.72,,3.07,0.01,,,,,,,,,,,,,,,,,,3.06,,,3.06,,3.04,3.04,0.82,0.44,0.26,0.18,0.38,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,16.51,16.51,94.62,94.62,1.23,93.39,11.86,11.86,-89.98,
2019,7.66,3.61,2.9,2.84,0.05,0.05,0.04,,0.6,0.6,0.0,,0.0,0.06,,4.05,0.01,,,,,,,,0.48,0.48,0.48,,,,,,,,3.56,3.56,,0.0,,0.79,0.79,0.26,0.22,0.12,0.1,0.04,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,6.87,6.87,98.1,98.1,3.44,94.66,11.73,11.73,-102.96,
2020,5.95,1.55,0.95,0.95,0.0,0.0,0.17,,0.43,0.43,0.0,,0.0,0.0,0.0,4.4,0.0,,,,,,,,,,,,,,,,,,4.4,4.4,,0.0,,0.32,0.32,0.32,0.1,0.05,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,5.63,5.63,98.21,98.21,3.5,94.71,10.65,10.65,-103.23,
2021,35.62,11.57,3.99,3.99,0.0,,0.34,6.83,0.4,0.4,,,0.0,0.0,,24.05,3.8,4.38,0.32,4.06,-0.57,-0.57,-0.09,-0.48,0.25,0.35,0.35,0.07,0.28,-0.1,-0.1,-0.1,-0.02,-0.09,20.0,20.0,,,,12.25,2.32,2.32,1.98,0.96,1.02,0.35,0.0,,,,,,,,,9.93,0.22,0.22,0.22,9.7,,,23.37,23.82,121.06,121.06,10.69,110.37,10.31,10.31,-107.55,-0.45
