,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Impairment of Goodwill, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Prepayments and Deposits,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Current Liabilities,"Interest Paid, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Dividends Received/Paid, CFI","Interest Received/Paid, CFI","Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Issuance of/Repayments for Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,25.99,25.99,40.18,37.22,8.09,7.55,7.55,7.55,0.19,0.39,-0.04,-0.04,,,,,,-5.14,-5.83,3.49,3.49,-1.06,-0.7,-0.7,-0.7,-1.03,-0.73,-13.46,-11.54,-11.54,-11.34,-11.4,0.06,,,,0.0,0.5,-0.7,-1.0,0.3,-11.42,-11.42,-1.17,,-7.92,-7.92,-0.08,-3.26,-3.26,1.0,48.83,3.03,-0.99,46.78,,3.03
2018,35.59,35.59,46.51,38.81,8.72,7.99,7.99,7.99,-0.15,0.37,0.0,0.0,0.51,,,0.43,0.07,-1.01,-2.69,-3.17,-3.17,3.79,1.99,1.99,1.99,-0.93,-0.52,-10.41,-14.92,-14.92,-15.46,-15.67,0.21,,,,,0.72,-0.18,-0.18,0.0,-10.64,-10.64,-5.52,,-4.34,-4.34,-0.2,-4.53,-4.53,3.95,58.23,10.03,-0.62,48.83,,10.03
2019,55.05,55.05,65.71,48.2,9.97,9.15,9.15,9.15,-0.15,0.99,-0.02,-0.02,0.0,,,0.0,0.0,7.54,4.11,-0.68,-0.68,2.45,2.29,2.29,2.29,-0.63,-0.74,-9.92,-23.14,-23.14,-21.57,-21.62,0.05,-2.31,-2.51,0.2,,0.74,0.0,0.0,,-13.02,-13.02,-3.87,,-0.32,-0.32,-1.22,-9.62,-9.62,2.0,77.03,18.89,-0.08,58.23,,18.89
2020,41.52,41.52,51.22,59.39,9.96,9.6,9.6,9.6,-0.15,0.36,-0.14,-0.14,0.3,0.3,0.3,,,-18.13,-6.69,-6.71,-6.71,-2.09,-2.97,-2.97,-2.97,0.34,-0.71,-8.99,-23.63,-23.63,-15.08,-15.31,0.22,-9.37,-12.66,3.29,,0.82,,,,-13.94,-13.94,-1.53,-1.53,-1.96,-1.96,-1.25,-12.4,-12.4,3.2,79.09,3.94,-1.89,77.03,,3.94
2021,18.04,18.04,29.89,67.69,10.59,8.86,8.86,8.86,-0.17,1.84,0.06,0.06,,,,,,-48.39,-27.55,-22.5,-22.5,-12.58,11.3,11.3,11.3,2.93,-0.23,-11.62,-23.62,-23.62,-23.55,-23.59,0.05,-0.69,-10.63,9.94,0.01,0.6,,,,-18.9,-18.9,-13.3,,-3.52,-3.52,-1.14,-1.49,-1.49,0.55,56.21,-24.48,1.6,79.09,,-24.48
