,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,"Other Income/Expense, Operating","Income from Grants Received, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Losson Investment Properties,Fair Value Gain/Loss on Investment Properties,Gain/Loss on Foreign Currency Exchange,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Irregular Income/Expense,Disposal of Businesses,Other Irregular Income/Expense,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.10936655936360391,-0.06909517581893541,-0.07549472347753027,-0.009579844758053756,-0.010069471903944721,-0.008026274823177412,-0.007933852869648862,0.0009131369900695773,-0.006569445220426198,-0.037733454835132324,-0.0395883352096489,-0.11043823417521174,-0.0018428324349790426,-0.128367824805151,-0.11063708887840794,-0.10131161015726264,-0.049339620154124006,-0.049339620154124006,-0.00906821431551084,-0.058199289515519774,-0.08488563651775395,-0.011298655145269705,-0.011260428403792768,-0.09824509191942325,-0.0011863031230087571,-0.0011863031230087571,-0.103125787227171,-0.03877720987745489,-0.03726222479594557,-0.0011863031230087571,-0.04108158854218377,-0.10176614401630188,-0.12841091934862062,-0.10207524767533468,-0.10207524767533468,-0.1305240775322989,-0.12754151045234713,-0.12016298557019338,-0.11977440862454317,-0.03632956511325777,-0.036165222862455104,-0.07572181542933812,-0.10907405543641008,-0.0030007003542760462,-0.00906821431551084,-0.00013926659741711304,-0.001967043399668646,0.002116550787664892,-0.00010045996025048406,-0.0003422809396309824,0.006924482492347689,0.007687835350230967,-0.0003006097711729782,-0.0007929610966617723,-0.008550336566397733,0.0009764100737658882
Revenue per Share,0.02059348235700787,0.26964693921057165,0.2314660533374741,0.19612238190711156,0.06258742794859634,0.16720716716035489,0.14974773757371884,0.12034920168081405,0.1144476629267207,0.10823639603827157,0.02571443556324111,0.05250661178504024,0.15772712055953148,0.06594501748869278,0.0589646540462836,-0.01053378123428526,0.10028413616691383,0.022051274736046317,0.1583410226065591,-0.0033631060300575275,0.03779592131466037,-0.040639797676396916,-0.051790699723459045,0.008118761159993633,0.09918168566970388,0.11408172376045718,0.03750205781424371,0.04146134876395668,0.05849899147771534,0.04946473115591228,0.06941527881203598,-0.0358134054807102,0.020966039218784715,-0.03307544804314538,-0.03217395193856096,0.002608869620681545,0.06132685283714876,0.06593883564041687,0.05031403398541968,0.05780217783130816,0.1011292301357221,0.22697447169800097,0.017956613384222227,0.06614563798262,0.08750925553941157,0.07182882377477513,0.08922742635500096,0.12982910939401893,0.1284326581752608,0.13386769912297822,0.1429654466083298,0.14505533915044813,0.06822765278483489,0.07055329827871869,0.060742483156254565,0.09404014003572155
EBITDA per Share,0.004456760770080432,0.02118376581201369,0.027835433519118567,0.15281258280756926,0.14739576690824127,0.14795351515110364,0.1481451148130003,0.1810182617334103,0.17996398902476496,0.017754482866265787,0.013375164468877099,0.021236773652309145,0.05919730207101699,0.030167097546099152,0.012962861730332547,0.012981167594797137,0.05690210957304059,0.06485959061594496,0.05282037257662802,0.04227499392500041,0.06721805796344381,0.012523591121327633,0.008368857912141023,0.03439349146197042,0.030991480358901875,0.04278453838289133,0.039103820312194004,0.036916454431936294,0.06088669317193826,0.04241388647561829,0.056495421891037206,0.004183392281591109,0.02996096193660732,-0.00855636240700289,-0.006981336633789444,0.017671946825650733,0.017554850639448803,0.020165430770765103,0.007836736825676453,0.010615999227182283,0.015698627911639774,0.02479998535605311,-0.00147462934914147,0.04495254280832318,0.06856964258070578,0.050292376730508556,0.0695550348816271,0.19816505588790806,0.21035372152626777,0.06652259383668403,0.0654580901967238,0.06555104314150335,0.05113859765783974,0.05541602433817451,0.17131519116858548,0.1704653547679612
EBIT per Share,0.007042753173698707,0.018563853691795085,0.02622037681421449,0.15557680280780437,0.15512777903159894,0.15358320554016336,0.15707099460174612,0.18277908795039877,0.17656200484321824,0.018078569910101185,0.013727483086233852,0.007896515284980235,0.05284821710771245,0.027133309723118518,0.017460040220518922,0.012739535044600646,0.061689409953068985,0.07155381628532355,0.05674725791175596,0.044416197596434226,0.06863289543394373,0.020688733298661218,0.008132112570599086,0.03369736315981031,0.035145087749297484,0.054874158387274066,0.0438645001729037,0.04348790936291215,0.06637771088961524,0.04443378764746784,0.05756581363239285,0.004399767781792791,0.02852055823173749,-0.008263935201362184,-0.0068536083587953465,-0.01107621681291722,0.018588275432713512,0.016679261238795026,0.006536610474828005,0.02081855470464246,0.016291381136642337,0.017912371724675503,-0.004086246801831389,0.04665719783875058,0.06075946788993709,0.05169688897318866,0.0517366131884206,0.20295085510512717,0.20743400725406969,0.07045962887024002,0.0612819401621619,0.06304502851202043,0.04907669496928732,0.06021885144670627,0.16658761408887898,0.14623551254489434
Earnings per Share (Diluted),0.10527698886700099,0.0893041461771839,0.10407274371978166,0.12426805944234708,0.14539353300388794,0.2304124189440077,0.13963569143588114,0.15894210703820857,0.17247803359941344,0.10303778767415506,0.10264152658683738,0.11997203958634531,0.26568767252088443,0.12489853089550398,0.11742139799369274,0.0665793526759446,0.07656869529603114,0.0834315953456635,0.25195692411991144,0.11554124281900069,0.14123018201455362,0.07366027554035479,0.07981423617537348,0.044129402231857184,0.14341009721865758,0.1629726723363784,0.042041038277179144,0.09823396527977314,0.09387286578517753,0.09721765232216081,0.08278043630053854,-0.0259312829265502,0.07242558644036148,0.06361832602290723,0.04172151306359238,0.07608007016962742,0.12387397601614364,0.08295380432925793,0.19657357224290412,0.11848011443988568,0.16651737446858839,0.1069519186249271,0.07533270468150921,0.13457070195387422,0.19184108510535325,0.21194638460997903,0.2280040194381728,0.27423227172733494,0.271628672173656,0.3121095154539201,0.16001818502475387,0.16097067931353826,0.16166847563612932,0.2135138122060646,0.07018630872209745,0.18525061509753046
EPS without NRI,0.03956498083581167,0.019641278679564868,0.018355417892992172,0.1079088962756386,0.10237276877049173,0.06756921352582755,0.05713619808421037,0.1099546599078239,0.08235749903455737,0.07963745511105184,0.02449692399331585,0.027773556328201117,0.12881126341319257,0.007963565653223603,0.027712529248501802,0.027152201132262806,0.015814593758149365,0.0498372986984695,0.14250845097208312,-0.01830943645982071,0.020939506392235588,-0.007227975694163829,-0.04773708952007257,-0.015921862292460932,0.02611930355513235,0.059603160350547496,0.019583486754284146,0.0737218341010653,0.07558483074423364,0.09087006123636447,0.07853263292534014,-0.01861276390300982,0.03140029107020901,-0.05034905384461015,-0.06568858459284965,0.03772220988499544,0.005012363630005837,0.003098634964973448,0.006138253898420332,0.04741445202964575,0.06939169572577299,-0.01639045440240187,-0.027533626697185266,0.20969498989943117,0.2697932939093885,0.2753172073848056,0.26750270804801674,0.11967644630157004,0.12553625802319857,0.051089327889929786,0.04987543297712425,0.04988223033592613,0.26373514163995154,0.29921999439282965,0.1489452834622849,0.13084705419777018
Owner Earnings per Share (TTM),0.07443713373816295,0.010209461110846613,0.04187600653508071,0.1436370147974239,0.18986527887399907,0.2751127953255595,0.20177915592434448,0.1139040364895055,0.10407102242066403,0.052798906320226845,0.058192205506308096,0.11690983354954516,0.10023430732028346,0.0803660439239925,0.046789197873105856,0.04189919128294942,0.11484154560597497,0.11872095544104894,0.1438679800327972,0.08668424960384026,0.1217025765236602,0.09846727492390514,0.08737027646462546,0.07906378592855764,0.1569028844547546,0.16716193472221705,0.08877032341894038,0.09463821754478521,0.09598417850426351,0.10807253407480706,0.11742683578705479,-0.007570033336223443,0.0766976996598156,0.03806886420756021,0.04277618757583052,0.07783656571887068,0.07728572788145795,0.11642040253135022,0.11257001648557872,0.05646328321413947,0.05342758866314196,0.06430179446796024,0.0974440568015412,0.04115921275720615,0.08892990116182396,0.024688929793074976,0.09050766817451882,0.18658509213079105,0.18728061819636144,0.17554639881673445,0.1890417671913788,0.1891559318368142,0.02429796929370838,0.03755656004342005,0.027533558752471793,0.03292283068964841
Free Cash Flow per Share,0.012472789380174647,0.009932610365909578,0.012008926342922123,0.1669787680010109,0.1705125373613216,0.16258476851325054,0.1716885186718922,0.1728060328721495,0.17648502275352357,0.006999452467442893,-0.0035270175622671477,0.007367520806241232,0.043278021993276176,0.010644815863235055,-0.004420448017980579,-0.0026641687180980725,0.06420578182311891,0.07580717749443175,0.022437905698846586,0.06030958929375952,0.07977322234873045,-0.009917394229213373,-0.013257258316818767,0.04188726714881291,0.07705223944553935,0.1415729007262216,0.03672112500618459,0.033753809936664866,0.05670243924782085,0.0491759644255544,0.07674761119585212,-0.01482319994887835,0.02362607300726683,-0.017622504263383743,-0.013531921603401009,0.027777827580764386,0.009433000533643226,0.0775031162129244,0.07736492050933032,0.010134691034469507,0.005663357478006661,0.01588288559230612,-0.0009137471904748619,0.0009094948065528838,0.026479462011787615,-0.0040579771236115975,0.02676901803794025,0.20545019243668594,0.2020880447117886,0.14948644237158795,0.1528606096606573,0.09766013911716291,0.0033063857003860497,-0.003272309395363853,0.13291004699824185,0.13376020952955794
Operating Cash Flow per Share,0.03480876884098403,0.05887759288861234,0.06869061199805739,0.14080301666021838,0.15006245527064882,0.30863185308443863,0.16769789905471974,0.20700302777925703,0.20861201087552977,0.10966673701944135,0.036163042942725473,0.09562456521474051,0.2826282254831589,0.08334259542847185,0.019213664384089904,0.014320954844352776,0.06847453420260907,0.06151366502288358,0.20717948729631652,0.11036039001940313,0.07753494664323732,0.025788521390598458,0.006947395825048468,0.03269335360618856,0.11391687887374316,0.12010762994877472,0.034378254055040816,0.04928005765616032,0.052396292179342815,0.04105166476330708,0.08961505601944507,-0.017230283689211152,0.029352355206211725,0.07934884695917187,0.07797308802559695,0.010185252908200257,0.020528102364835425,0.07889338095228202,0.07887136088221966,0.010591553417338345,0.09399781826990698,0.0782561299862405,0.08647542963001938,0.09788237583945035,0.17816342895658466,0.0861539877489025,0.1804657469120284,0.23248833639442734,0.20431313420127767,0.13410536273062068,0.1426460933088138,0.09058919199410462,0.09279795606820856,0.07066958087642738,0.1499982709508356,0.12703308988260542
Cash per Share,0.07541680737630127,0.05528463679514391,-0.012430712229008583,0.13005979735852902,0.11489368363884986,0.1310082772887334,0.10386052494977421,0.11877964474531745,0.11930614471832449,0.0236120224121729,0.03301451266284067,0.01595758460055538,0.1139267993710545,0.016322947098353534,0.014722741451771708,-0.0032403689968511142,0.04046284878254635,0.04764695657656042,0.11373891788458744,0.025106267821380573,0.035781797746245285,-0.028136471390794164,-0.04135866774945572,0.01568529668585498,0.03360244166953212,0.1149217757646451,0.004295837701060803,0.048647583645371875,0.054591053725525945,0.029841760228359576,0.052800602241675904,-0.036453974097555804,0.019838706936403522,-0.061249132207919645,-0.052569051423535074,0.010352201870608906,0.009454698696758076,0.05948722767008859,0.04283198384179942,0.038403090146634365,0.03786948577355904,-0.020993279869891475,-0.03811768340821183,0.1201010122061399,0.09569716839136118,0.1115705206498103,0.09599409503505651,0.1730834792003553,0.16722013094043792,0.16057293067603962,0.16752722923423619,0.16752722923423619,0.1171188924061503,0.11302830302827346,0.09885923404118659,0.1286878391950054
