,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses",General and Administrative Expenses,Selling and Marketing Expenses,"Other Income/Expense, Operating","Income from Grants Received, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Losson Investment Properties,Fair Value Gain/Loss on Investment Properties,Gain/Loss on Foreign Currency Exchange,"Income from Associates, JointVentures and Other Participating Interests",Share of Profit and Interest from Associates,Irregular Income/Expense,Disposal of Businesses,Other Irregular Income/Expense,Write Off/Write Down of Other Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,642.04,1009.26,1009.26,-367.22,-367.22,-378.07,-378.07,-160.1,-217.97,,,263.97,108.15,-19.12,-12.31,-12.31,-6.81,-6.81,122.24,44.99,,81.14,81.14,-3.75,-0.13,-0.13,,,,,5.03,372.12,-61.93,310.19,310.19,-27.99,282.2,282.2,282.2,,,1009.26,374.86,0.1354,0.1354,0.1354,0.1354,2084.89,2084.89,0.0,0.0,0.0,0.1354,0.1354,2084.89,2084.89
2018,488.84,733.56,733.56,-244.72,-244.72,-306.01,-306.01,-169.29,-136.72,,,182.83,369.76,-20.6,-17.16,-17.16,-3.44,-3.44,348.91,17.69,,333.22,333.22,-2.0,0.0,0.0,-5.29,,,-5.29,46.73,552.59,-32.04,520.55,520.55,0.08,520.63,520.63,520.63,,,733.56,507.7,0.2574,0.2574,0.2574,0.2574,2022.28,2022.28,0.0,0.0,0.0,0.2574,0.2574,2022.28,2022.28
2019,426.54,622.57,622.57,-196.03,-196.03,-262.79,-262.79,-162.75,-100.04,,,163.75,283.07,-23.44,-21.61,-21.61,-1.83,-1.83,297.56,37.1,,261.34,261.34,-0.88,,,0.0,,,0.0,8.96,446.82,-49.42,397.4,397.4,19.32,416.72,416.72,416.72,,,622.57,441.71,0.2021,0.2021,0.2021,0.2021,2061.99,2061.99,0.0,0.0,0.0,0.2021,0.2021,2061.99,2061.99
2020,370.71,536.32,536.32,-165.61,-165.61,-223.24,-229.38,-140.63,-88.74,6.13,6.13,147.47,-629.26,-17.49,-16.06,-16.06,-1.43,-1.43,-634.41,15.07,,-647.5,-647.5,-1.97,,,,,,,22.64,-481.79,-40.7,-522.49,-522.49,14.89,-507.6,-507.6,-507.6,,,536.32,-482.59,-0.2409,-0.2409,-0.2409,-0.2409,2107.5,2107.5,0.0,0.0,0.0,-0.2409,-0.2409,2107.5,2107.5
2021,523.88,860.76,860.76,-336.88,-336.88,-300.02,-305.93,-137.59,-168.34,5.91,5.91,223.86,-228.64,-13.51,-11.75,-11.75,-1.76,-1.76,-216.14,-7.55,-4.47,-204.13,-204.13,0.0,,,1.4,1.4,0.0,,-0.39,-4.78,-21.81,-26.59,-26.59,-22.84,-49.43,-49.43,-49.43,,,860.76,9.38,-0.0236,-0.0236,-0.0236,-0.0236,2090.09,2090.09,0.0,0.0,0.0,-0.0236,-0.0236,2090.09,2090.09
