,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Other Irregular Income/Loss, Non-Cash Adjustment",Other Non-Cash Items,"Other Provisions, Non-Cash Adjustment",Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Operating Capital,"Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Other Non-Current Assets, Net",Sales of Other Non-Current Assets,Increase/Decrease in Restricted Cash and Cash Equivalents,"Interest Received/Paid, CFI","Purchase/Sale of Investments, Net",Sale of Investments,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Repayments for Short Term Debt,"Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Cash Dividends and Interest Paid,"Interest Paid, CFF",Cash Dividends Paid,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Total Net Change in Cash
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,771.8,771.8,854.68,-1244.59,1119.01,281.89,281.89,281.89,15.08,626.74,,,0.0,0.0,0.0,,,,,26.7,168.6,980.25,-86.01,1239.85,-173.59,-173.59,-173.59,,-82.88,2.21,2.21,-4.14,-4.14,0.0,,,,6.35,,,-765.21,-765.21,-551.54,-304.91,50.0,-354.91,-246.63,-241.84,-4.79,,,-118.26,-114.65,-3.61,-95.4,11.67,8.8,2.87,,8.8,
2019,-276.45,-276.45,-281.33,-1956.0,1118.35,292.43,292.43,292.43,24.21,478.14,,,293.04,,,,,293.04,,30.54,0.0,556.32,354.43,258.29,-56.4,-56.4,-56.4,,4.88,341.7,341.7,-13.62,-13.62,,353.13,353.13,,2.19,,,-68.64,-68.64,-59.77,6.08,50.0,-43.92,-65.85,-65.85,,,,-32.6,-29.08,-3.52,23.73,4.08,-3.39,7.47,,-3.39,
2020,-168.24,-168.24,-152.04,-212.18,-1084.22,210.85,210.85,210.85,3.84,551.61,,,-1850.51,-1274.71,-1274.71,,,-293.04,-282.76,0.0,,1144.37,392.15,710.93,41.28,41.28,41.28,,-16.2,1701.77,1701.77,96.88,-1.72,98.6,1603.84,1603.84,,1.05,,,-1533.36,-1533.36,-1605.23,-49.9,0.0,-49.9,-1555.33,-1555.33,,-24.82,-24.82,-24.84,-20.79,-4.05,121.53,4.26,0.18,4.08,,0.18,
2021,112.28,112.28,19.75,-824.44,727.04,187.79,187.79,187.79,-0.2,365.58,,,172.47,-0.26,,-0.26,172.73,,,1.39,,117.15,15.29,52.11,49.75,49.75,49.75,,92.53,237.6,237.6,231.6,-8.74,240.34,0.49,0.49,,0.93,4.59,4.59,-352.62,-352.62,-325.11,-116.7,,-116.7,-208.41,-208.41,,-26.28,-26.28,-1.23,-1.23,,0.0,1.52,-2.73,4.26,,-2.73,
2022,67.34,67.34,30.16,-245.98,213.29,134.18,134.18,134.18,0.0,16.96,0.12,0.12,60.64,60.01,60.01,,0.63,,,1.39,,62.85,10.0,0.63,52.22,52.22,52.22,,37.18,14.3,14.3,0.0,0.0,0.0,8.6,8.6,4.31,1.39,,,-25.44,-25.44,1.17,1.17,1.17,,0.0,0.0,,-26.28,-26.28,-0.33,-0.33,,,57.72,56.2,1.52,,56.2,
