,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Dividend and Interest Income, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Investment Properties, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Business, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Loans Receivable,Change in Other Receivables,Change in Cash Restricted or Pledged,Change in Other Current Assets,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Other Current Liabilities,Change in Provisions,Change in Other Operating Capital,"Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Other Operating Cash Flow,"Interest Paid, CFO Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment",Purchase/Sale of Equity Investments,Sale of Joint Venture/Associate,Purchase of Joint Venture/Associate,"Dividends Received/Paid, CFI","Purchase/Sale of Investment Properties, Net",Sale of Investment Properties,Other Investing Cash Flow,"Purchase/Sale of Intangibles, Net","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Interest Received/Paid, CFI",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Proceeds from Lease Financing,Cash Dividends and Interest Paid,Cash Dividends Paid,"Interest Paid, CFF","Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,"Issuance of/Repayments for Short Term Debt, Net",Repayments for Short Term Debt,Proceeds from Issuance of Short Term Debt,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Other Financing Cash Flow,"Issuance of/Payments for Preferred Stock, Net",Proceeds from Issuance of Preferred Stock,Cash Dividends Paid to Non-Controlling/Minority Interests,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Other Changes,Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental",Total Net Change in Cash
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,-112.82,-112.82,-155.95,-470.71,251.75,5.89,5.89,5.89,,77.99,-30.43,0.0,,,,-30.43,-55.38,-45.15,0.0,,-45.15,-10.23,,219.55,34.13,63.0,465.93,-245.15,-191.39,-53.76,,,36.95,133.17,133.17,133.17,-199.46,-123.29,-5.14,18.87,-4.29,28.55,,-62.03,-62.03,-45.82,-45.82,0.0,,,,0.0,0.0,0.0,0.0,,-21.99,-30.95,8.96,5.78,-107.44,-107.44,,,,-180.05,0.0,-180.05,72.6,118.26,0.0,118.26,-45.66,-45.66,,,,,,,,267.44,-282.29,173.46,376.28,,-282.29,
2019,-72.43,-72.43,-122.72,-459.59,322.91,0.69,0.69,0.69,,-135.12,605.76,-0.01,161.01,444.76,0.0,,28.14,-2.14,-2.14,,,30.25,0.03,-84.32,-92.25,13.96,-1.38,7.21,7.21,,,0.58,3.86,-0.27,-0.27,-0.27,3.96,,,27.59,-8.3,31.0,,93.48,93.48,79.46,,79.46,,,,0.01,17.14,17.14,-3.6,0.0,-5.0,-5.0,,5.47,-10.46,-10.46,,,,-1.28,-0.58,-0.7,-9.18,-9.18,-9.18,,,,,,,,,,,21.56,10.59,10.96,,,10.59,
2020,-53.63,-53.63,-101.22,-450.41,340.98,94.96,94.96,,,-136.71,406.73,-0.01,272.85,219.83,-85.94,,37.41,-0.07,-0.07,,,37.47,,-0.08,-61.33,8.21,-4.05,2.33,2.33,,,0.58,-0.82,1.08,1.08,1.08,9.1,,,39.33,8.26,0.0,,52.85,52.85,-1.28,-1.41,0.14,-5.0,,-5.0,0.01,68.87,68.87,-9.75,,,,,,-5.14,-5.14,-4.56,-4.56,,-0.58,-0.58,0.0,0.0,0.0,0.0,,,,,,,,,,,15.63,-5.92,21.56,,,-5.92,
2021,-12.31,-12.31,-62.71,-467.65,429.7,7.04,7.04,,,-105.91,515.6,0.0,61.83,453.78,0.0,,12.96,-0.55,-0.55,,,13.51,,0.0,,-24.75,0.0,-0.51,-0.51,,,0.65,-18.91,-1.37,-1.37,-1.37,-4.61,,,39.0,11.4,,,-3.93,-3.93,-13.94,-13.94,0.0,10.0,10.0,,0.0,,,,,,,,,10.21,10.21,10.86,,10.86,-0.65,-0.65,,,,,,,,,,,,,,,9.6,-6.03,15.63,,,-6.03,
2022,-2240.03,-2240.03,-2307.85,356.31,-393.15,9.76,9.76,,,-103.84,435.53,-0.01,31.91,403.63,,,-734.6,-716.51,0.0,-716.51,,-18.09,,,,-2271.01,9.21,-3.8,,,,0.74,-2282.64,1.38,1.38,,4.1,,,32.51,6.82,28.5,,2246.23,2246.23,-3.78,-3.78,,2250.0,2250.0,,0.01,,,,,,,,,-6.8,-6.8,-6.06,-6.06,,-0.74,-0.74,,,,,,,,,,,,,,,9.01,-0.59,9.6,,,-0.59,
