,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Short Term Investments,Other Short Term Investments,"Cash Restricted or Pledged, Current",Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Loans Receivable, Current","Accrued Interest Receivable, Current","Other Receivables, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment",Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Other Intangible Assets,Total Long Term Investments,"Investment in Financial Assets, Non-Current","Debt Securities, Non-Current","Other Financial Assets, Non-Current","Trade and Other Receivables, Non-Current","Loans Receivable, Non-Current","Prepayments and Deposits, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Taxes Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Borrowings from Associates and Related Parties, Current Debt",Other Current Liabilities,"Provisions, Current",Total Non-Current Liabilities,Preferred Securities Outside Stock Equity,"Financial Liabilities, Non-Current","Other Financial Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,11.53,0.2,0.08,0.08,,,,,0.0,0.12,,0.12,,,,11.33,0.08,,,,,,,,,,,,,,,,,,,,0.03,,,,10.32,10.32,,,0.9,2.16,2.16,0.02,0.02,0.02,,,2.14,2.14,,,,0.0,0.0,,,,9.37,9.37,14.9,14.9,,,,-5.53,,
2018,11.56,0.24,0.11,0.11,0.11,,,,0.0,0.0,0.0,,,,0.12,11.33,0.08,0.08,,,,,,0.0,0.08,,,,,,,,0.0,0.0,0.0,0.0,10.35,10.35,,10.35,0.0,0.0,,,0.9,4.68,2.78,0.05,0.05,0.05,,,2.73,2.73,2.73,,0.0,,1.9,,1.9,1.9,6.89,6.89,13.0,13.0,13.0,,,-6.12,,
2019,11.53,0.2,,,,,0.0,,0.0,,0.0,,,,0.12,11.33,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,10.35,,0.0,,,0.9,5.86,,,,,,,,,,,,,,,,,5.67,,,,,0.0,,,,
2021,11.52,0.19,0.06,0.06,0.06,0.0,0.0,0.01,0.0,0.12,0.0,0.0,0.0,0.12,,11.33,0.08,0.08,,,,,,0.0,0.08,,,,,,,,0.0,0.0,0.0,0.0,0.03,0.03,0.03,,0.0,0.0,10.32,10.32,0.9,7.64,5.74,0.75,0.75,0.6,0.0,0.14,4.99,4.99,4.99,4.99,,,1.9,1.9,,,3.88,3.88,13.0,13.0,13.0,0.0,-9.17,0.05,0.05,0.0
2022,11.42,0.09,0.08,0.08,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,11.33,0.08,0.38,0.29,0.29,0.09,0.05,0.03,0.0,,-0.29,-0.29,-0.21,-0.21,-0.09,-0.05,-0.03,0.0,0.0,0.0,0.0,0.03,0.03,0.03,,0.0,0.0,10.32,10.32,0.9,8.82,6.92,1.03,1.03,0.99,0.01,0.04,5.89,5.89,5.89,5.89,,,1.9,1.9,,,2.59,2.59,13.0,13.0,13.0,0.0,-10.46,0.05,0.05,0.0
