,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Cash Equivalents,Short Term Investments,Other Short Term Investments,"Cash Restricted or Pledged, Current","Derivative Investment and Hedging Assets, Current",Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Other Inventories,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Taxes Receivable, Current","Accrued Interest Receivable, Current","Other Receivables, Current","Loans Receivable, Current","Prepayments and Deposits, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment","Flight, Fleet, Vehicle and Related Equipment",Other Equipment,Construction in Progress and Advance Payments,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Depreciation of Properties,Accumulated Depreciation of Land and Improvements,Accumulated Depreciation of Buildings,Accumulated Depreciation of Leasehold and Improvements,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,"Accumulated Depreciation of Furniture, Fixtures and Office Equipment","Accumulated Depreciation of Flight, Fleet, Vehicle and Related Equipments",Accumulated Depreciation of Other Equipment,"Accumulated Depreciation of Other Property, Plant and Equipment",Investment Properties and Properties Held for Development,Gross Investment Properties and Properties Held for Development,Accumulated Depreciation of Investment Properties and Properties Held for Development,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Licenses and Rights,Research and Development,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Licences and Rights,Accumulated Impairment of Intangible Assets,Accumulated Impairment of Goodwill,Total Long Term Investments,Long Term Equity Investments,Investments in Joint Ventures,"Investment in Financial Assets, Non-Current","Equity Securities/Shares, Non-Current","Financial Investment Securities, Available-for-Sale & Held-to-Maturity, Non-Current","Available-for-Sale Securities, Non-Current","Other Financial Assets, Non-Current","Other Investments, Non-Current","Prepayments and Deposits, Non-Current","Prepayments, Non-Current","Deposits Paid for Business and Fixed Assets, Non-Current","Trade and Other Receivables, Non-Current","Taxes Receivable, Non-Current","Loans Receivable, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Other Payable, Current","Taxes Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Bank/Credit Facilities, Current Debt","Other Loans, Current Debt",Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Bank/Institutional Loans, Current Portion of LT Debt",Other Current Portion of LT Debt,"Capital Lease Obligations, Current","Other Financial Liabilities, Current","Derivative and Hedging Liabilities, Current","Provisions, Current","Provision for Employee Entitlements, Current","Other Employee-Related Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Bank/Institutional Loans, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current","Other Financial Liabilities, Non-Current","Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Deferred Liabilities, Non-Current","Other Deferred Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Surplus/Revenue Reserve,Capital/Share Premium Reserve,Other Reserves/Accum.Comp.Inc,Other Equity Interest,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 5,Debt - Interests Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 5,Total Contractual Obligations - Interests Charges and Other Adjustments
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,2296.01,964.93,9.35,9.35,9.35,,0.0,0.0,2.39,0.0,335.42,183.54,40.14,109.94,1.81,572.52,515.2,515.97,-0.77,49.81,2.78,4.74,0.0,39.68,5.56,1331.08,1268.51,2371.98,738.66,99.35,639.32,,1559.71,1460.79,75.44,23.48,,22.21,51.4,-1103.47,-1103.47,-139.91,-5.99,-133.92,,-932.67,-872.58,-53.52,-6.58,,-30.89,11.19,13.82,-2.64,4.2,25.25,24.28,,21.76,1.11,1.41,0.98,-21.05,-20.08,-20.08,,-19.69,-0.38,-0.98,-0.98,8.32,2.11,2.11,0.74,,0.71,0.71,0.03,5.47,38.82,10.09,28.73,0.0,0.0,,0.03,1055.32,773.79,175.09,175.09,157.15,1.05,2.34,10.81,3.74,531.44,518.72,322.33,,322.33,196.39,196.39,196.39,0.0,,8.12,4.6,29.28,29.28,29.28,5.88,5.88,32.11,281.54,53.36,53.36,53.36,53.36,,0.0,0.0,7.15,7.15,219.72,219.72,1.3,1.3,,1240.69,1240.68,17.5,17.5,13.33,4.17,562.49,660.59,650.93,5.33,4.33,0.1,0.0,,,,,,,,
2019,2467.8,1178.79,44.03,44.03,44.03,,,,2.1,13.02,342.84,191.45,52.07,98.09,1.23,744.68,657.33,658.52,-1.2,77.77,1.79,7.8,,26.74,5.39,1289.01,1217.58,2432.05,741.32,99.3,642.02,,1623.55,1521.89,77.77,23.9,,9.73,57.45,-1214.47,-1214.47,-159.98,-7.14,-152.84,,-1018.31,-952.58,-58.81,-6.92,,-36.19,10.96,13.82,-2.87,3.3,24.31,24.31,0.26,21.76,1.11,1.18,,-21.0,-21.0,-21.0,0.0,-20.51,-0.49,,,6.15,0.0,0.0,6.15,5.47,0.64,0.64,0.03,,51.02,16.38,34.64,,,,0.0,1169.69,920.45,232.51,232.51,217.03,0.78,2.06,9.91,2.73,628.26,617.41,431.65,,431.65,185.76,185.76,185.76,,,10.73,0.11,0.35,0.35,0.35,0.98,0.98,58.36,249.24,28.93,28.93,28.93,28.93,,,,5.45,5.45,213.76,213.76,1.1,1.1,,1298.11,1298.11,17.5,17.5,13.33,4.17,613.75,666.76,650.93,5.33,10.5,0.1,0.0,,,,,,,,
2020,2688.39,1408.85,82.46,82.46,82.46,,,,1.97,1.06,463.61,279.65,68.75,114.68,0.52,805.1,652.0,653.02,-1.02,140.88,2.33,9.89,,50.54,4.11,1279.54,1225.09,2567.96,747.49,99.3,648.19,,1749.33,1623.83,79.96,45.55,,13.36,57.78,-1342.87,-1342.87,-180.11,-8.35,-171.76,,-1121.01,-1042.15,-64.46,-14.4,,-41.75,10.72,13.82,-3.1,4.67,26.31,26.31,0.26,21.8,1.11,3.15,,-21.65,-21.65,-21.65,-0.05,-20.98,-0.62,,,6.61,0.0,0.0,6.61,6.31,0.27,0.27,0.03,,26.8,2.58,24.22,,,,,1416.41,1128.46,247.47,247.47,234.5,0.63,2.99,9.35,0.0,784.9,745.11,518.7,,518.7,226.42,221.1,221.1,,5.32,11.33,28.46,10.61,10.61,10.61,0.56,0.56,84.92,287.96,123.35,123.35,114.8,114.8,8.54,,,6.59,6.59,157.02,157.02,1.0,1.0,,1271.97,1271.97,17.5,17.5,13.33,4.17,621.72,632.65,650.93,5.33,-23.62,0.1,0.0,854.6,745.11,123.35,-13.86,854.6,745.11,123.35,-13.86
2021,2477.29,1324.28,137.37,137.37,42.72,94.64,,,0.93,21.4,425.68,265.28,59.79,99.7,0.92,694.69,639.09,640.11,-1.02,46.23,2.1,7.26,,36.29,7.93,1153.01,1107.78,2525.63,748.56,99.3,649.26,,1703.11,1583.16,80.71,39.24,,16.18,57.78,-1417.85,-1417.85,-200.42,-9.55,-190.88,,-1170.32,-1082.58,-68.79,-18.95,,-47.11,10.49,13.82,-3.33,4.3,26.31,26.31,0.26,21.8,1.11,3.15,,-22.01,-22.01,-22.01,-0.71,-21.16,-0.14,,,1.75,0.0,0.0,1.75,1.35,0.37,0.37,0.04,,28.69,2.18,26.51,0.0,0.0,,,1161.48,835.69,169.01,169.01,157.83,0.57,2.17,8.44,,566.62,558.03,516.34,516.34,,41.69,37.31,37.31,,4.38,8.6,0.0,10.16,10.16,10.16,1.65,1.65,88.24,325.79,160.92,160.92,157.27,157.27,3.65,,,7.43,7.43,156.55,156.55,0.9,0.9,,1315.81,1315.81,17.5,17.5,13.33,4.17,638.41,659.8,650.93,5.33,3.53,0.1,0.0,718.95,558.03,160.92,0.0,718.95,558.03,160.92,0.0
2022,2957.52,1690.64,156.7,2.96,2.96,0.0,153.74,153.74,1.4,21.52,521.53,258.8,61.61,191.37,9.74,942.93,860.08,863.19,-3.12,62.87,1.82,18.16,,33.15,13.42,1266.88,1208.39,2726.06,826.97,124.11,702.86,,1832.96,1707.04,82.73,43.19,,1.37,64.76,-1517.68,-1517.68,-220.75,-10.85,-209.91,,-1245.37,-1152.52,-71.63,-21.22,,-51.55,10.26,13.82,-3.56,0.99,23.18,23.18,0.26,21.8,1.11,0.02,,-22.19,-22.19,-22.19,-0.21,-21.16,-0.82,,,1.94,0.0,0.0,1.94,1.35,0.56,0.56,0.04,,45.3,17.21,28.09,,,,,1595.28,1126.36,262.13,262.13,251.41,0.47,3.59,6.67,,712.45,701.18,632.21,632.21,,68.96,65.3,65.3,,3.66,11.27,,8.15,8.15,8.15,8.41,8.41,135.21,468.93,304.69,304.69,299.15,299.15,5.54,,,23.71,23.71,139.73,139.73,0.8,0.8,,1362.23,1362.23,17.5,17.5,13.33,4.17,681.34,663.29,650.93,5.33,7.03,0.1,0.0,996.66,701.18,304.69,-9.21,996.66,701.18,304.69,-9.21
